player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Concussion
Alexei Yashin (C),New York Islanders,78,32,43,75,0.96,25,-3,https://www.eliteprospects.com/player/8695/alexei-yashin,2001-02,nhl,Alexei Yashin ,C,FW,0,0
Craig Conroy (C),Calgary Flames,81,27,48,75,0.93,32,24,https://www.eliteprospects.com/player/9121/craig-conroy,2001-02,nhl,Craig Conroy ,C,FW,0,0
Jason Allison (C),Los Angeles Kings,73,19,55,74,1.01,68,2,https://www.eliteprospects.com/player/9064/jason-allison,2001-02,nhl,Jason Allison ,C,FW,0,0
Eric Lindros (C),New York Rangers,72,37,36,73,1.01,138,19,https://www.eliteprospects.com/player/8998/eric-lindros,2001-02,nhl,Eric Lindros ,C,FW,0,0
Miroslav Satan (RW),Buffalo Sabres,82,37,36,73,0.89,33,14,https://www.eliteprospects.com/player/666/miroslav-satan,2001-02,nhl,Miroslav Satan ,RW,FW,0,0
Glen Murray (RW),totals,82,41,30,71,0.87,40,31,https://www.eliteprospects.com/player/8576/glen-murray,2001-02,nhl,Glen Murray ,RW,FW,0,0
Daniel Alfredsson (RW),Ottawa Senators,78,37,34,71,0.91,45,3,https://www.eliteprospects.com/player/702/daniel-alfredsson,2001-02,nhl,Daniel Alfredsson ,RW,FW,0,0
Peter Bondra (RW),Washington Capitals,77,39,31,70,0.91,80,-2,https://www.eliteprospects.com/player/8553/peter-bondra,2001-02,nhl,Peter Bondra ,RW,FW,0,0
Éric Dazé (LW),Chicago Blackhawks,82,38,32,70,0.85,36,17,https://www.eliteprospects.com/player/9131/eric-daze,2001-02,nhl,Éric Dazé ,LW,FW,0,0
Sergei Samsonov (LW),Boston Bruins,74,29,41,70,0.95,27,21,https://www.eliteprospects.com/player/8667/sergei-samsonov,2001-02,nhl,Sergei Samsonov ,LW,FW,0,0
Radek Bonk (C),Ottawa Senators,82,25,45,70,0.85,52,3,https://www.eliteprospects.com/player/8671/radek-bonk,2001-02,nhl,Radek Bonk ,C,FW,0,0
Pavel Bure (RW),totals,68,34,35,69,1.01,62,-5,https://www.eliteprospects.com/player/16140/pavel-bure,2001-02,nhl,Pavel Bure ,RW,FW,0,0
Sami Kapanen (LW),Carolina Hurricanes,77,27,42,69,0.90,23,9,https://www.eliteprospects.com/player/2657/sami-kapanen,2001-02,nhl,Sami Kapanen ,LW,FW,0,0
Andrew Brunette (LW),Minnesota Wild,81,21,48,69,0.85,18,-4,https://www.eliteprospects.com/player/9101/andrew-brunette,2001-02,nhl,Andrew Brunette ,LW,FW,0,0
Sergei Fedorov (C),Detroit Red Wings,81,31,37,68,0.84,36,20,https://www.eliteprospects.com/player/8619/sergei-fedorov,2001-02,nhl,Sergei Fedorov ,C,FW,0,0
Joe Thornton (C),Boston Bruins,66,22,46,68,1.03,127,7,https://www.eliteprospects.com/player/3670/joe-thornton,2001-02,nhl,Joe Thornton ,C,FW,0,0
Marián Gáborík (RW/LW),Minnesota Wild,78,30,37,67,0.86,34,0,https://www.eliteprospects.com/player/3665/marian-gaborik,2001-02,nhl,Marián Gáborík ,RW/LW,FW,0,0
Dany Heatley (LW/RW),Atlanta Thrashers,82,26,41,67,0.82,56,-19,https://www.eliteprospects.com/player/3664/dany-heatley,2001-02,nhl,Dany Heatley ,LW/RW,FW,0,0
Brendan Morrison (C),Vancouver Canucks,82,23,44,67,0.82,26,18,https://www.eliteprospects.com/player/4321/brendan-morrison,2001-02,nhl,Brendan Morrison ,C,FW,0,0
Alexei Zhamnov (C),Chicago Blackhawks,77,22,45,67,0.87,67,8,https://www.eliteprospects.com/player/8572/alexei-zhamnov,2001-02,nhl,Alexei Zhamnov ,C,FW,0,0
Jeremy Roenick (C),Philadelphia Flyers,75,21,46,67,0.89,74,32,https://www.eliteprospects.com/player/8929/jeremy-roenick,2001-02,nhl,Jeremy Roenick ,C,FW,0,0
Bill Guerin (RW),Boston Bruins,78,41,25,66,0.85,91,-1,https://www.eliteprospects.com/player/9053/bill-guerin,2001-02,nhl,Bill Guerin ,RW,FW,0,0
Simon Gagné (LW),Philadelphia Flyers,79,33,33,66,0.84,32,31,https://www.eliteprospects.com/player/8828/simon-gagne,2001-02,nhl,Simon Gagné ,LW,FW,0,0
Marián Hossa (RW),Ottawa Senators,80,31,35,66,0.83,50,11,https://www.eliteprospects.com/player/4720/marian-hossa,2001-02,nhl,Marián Hossa ,RW,FW,0,0
Tony Amonte (RW),Chicago Blackhawks,82,27,39,66,0.80,67,11,https://www.eliteprospects.com/player/9065/tony-amonte,2001-02,nhl,Tony Amonte ,RW,FW,0,0
Owen Nolan (RW),San Jose Sharks,75,23,43,66,0.88,93,7,https://www.eliteprospects.com/player/9674/owen-nolan,2001-02,nhl,Owen Nolan ,RW,FW,0,0
Jeff O'Neill (RW),Carolina Hurricanes,76,31,33,64,0.84,63,-5,https://www.eliteprospects.com/player/8938/jeff-o-neill,2001-02,nhl,Jeff O'Neill ,RW,FW,0,0
Mark Recchi (RW),Philadelphia Flyers,80,22,42,64,0.80,46,5,https://www.eliteprospects.com/player/8869/mark-recchi,2001-02,nhl,Mark Recchi ,RW,FW,0,0
Brett Hull (RW),Detroit Red Wings,82,30,33,63,0.77,35,18,https://www.eliteprospects.com/player/21341/brett-hull,2001-02,nhl,Brett Hull ,RW,FW,0,0
Theo Fleury (RW),New York Rangers,82,24,39,63,0.77,216,0,https://www.eliteprospects.com/player/21306/theo-fleury,2001-02,nhl,Theo Fleury ,RW,FW,0,0
Brian Rolston (LW),Boston Bruins,82,31,31,62,0.76,30,11,https://www.eliteprospects.com/player/8927/brian-rolston,2001-02,nhl,Brian Rolston ,LW,FW,0,0
Adam Deadmarsh (RW),Los Angeles Kings,76,29,33,62,0.82,71,8,https://www.eliteprospects.com/player/21314/adam-deadmarsh,2001-02,nhl,Adam Deadmarsh ,RW,FW,0,0
Daymond Langkow (C),Phoenix Coyotes,80,27,35,62,0.78,36,18,https://www.eliteprospects.com/player/8986/daymond-langkow,2001-02,nhl,Daymond Langkow ,C,FW,0,0
Brad Richards (C),Tampa Bay Lightning,82,20,42,62,0.76,13,-18,https://www.eliteprospects.com/player/4723/brad-richards,2001-02,nhl,Brad Richards ,C,FW,0,0
Patrik Elias (LW),New Jersey Devils,75,29,32,61,0.81,36,4,https://www.eliteprospects.com/player/8698/patrik-elias,2001-02,nhl,Patrik Elias ,LW,FW,0,0
Ray Whitney (LW),Columbus Blue Jackets,67,21,40,61,0.91,12,-22,https://www.eliteprospects.com/player/8824/ray-whitney,2001-02,nhl,Ray Whitney ,LW,FW,0,0
Mike York (C),totals,81,20,41,61,0.75,16,7,https://www.eliteprospects.com/player/8730/mike-york,2001-02,nhl,Mike York ,C,FW,0,0
Michael Nylander (C),Chicago Blackhawks,82,15,46,61,0.74,50,28,https://www.eliteprospects.com/player/693/michael-nylander,2001-02,nhl,Michael Nylander ,C,FW,0,0
Mike Comrie (C),Edmonton Oilers,82,33,27,60,0.73,45,16,https://www.eliteprospects.com/player/4701/mike-comrie,2001-02,nhl,Mike Comrie ,C,FW,0,0
Daniel Brière (C),Phoenix Coyotes,78,32,28,60,0.77,52,6,https://www.eliteprospects.com/player/8770/daniel-briere,2001-02,nhl,Daniel Brière ,C,FW,0,0
Mark Parrish (RW),New York Islanders,78,30,30,60,0.77,32,10,https://www.eliteprospects.com/player/8905/mark-parrish,2001-02,nhl,Mark Parrish ,RW,FW,0,0
Anson Carter (RW),Edmonton Oilers,82,28,32,60,0.73,25,3,https://www.eliteprospects.com/player/9111/anson-carter,2001-02,nhl,Anson Carter ,RW,FW,0,0
Michael Peca (C),New York Islanders,80,25,35,60,0.75,62,19,https://www.eliteprospects.com/player/8910/michael-peca,2001-02,nhl,Michael Peca ,C,FW,0,0
Steve Sullivan (LW),Chicago Blackhawks,78,21,39,60,0.77,67,23,https://www.eliteprospects.com/player/8896/steve-sullivan,2001-02,nhl,Steve Sullivan ,LW,FW,0,0
Zigmund Pálffy (RW),Los Angeles Kings,63,32,27,59,0.94,26,5,https://www.eliteprospects.com/player/12627/zigmund-palffy,2001-02,nhl,Zigmund Pálffy ,RW,FW,0,0
Sergei Gonchar (D),Washington Capitals,76,26,33,59,0.78,58,-1,https://www.eliteprospects.com/player/8678/sergei-gonchar,2001-02,nhl,Sergei Gonchar ,D,DEF,0,0
Darcy Tucker (LW),Toronto Maple Leafs,77,24,35,59,0.77,92,24,https://www.eliteprospects.com/player/8859/darcy-tucker,2001-02,nhl,Darcy Tucker ,LW,FW,0,0
Nicklas Lidström (D),Detroit Red Wings,78,9,50,59,0.76,20,13,https://www.eliteprospects.com/player/722/nicklas-lidstrom,2001-02,nhl,Nicklas Lidström ,D,DEF,0,0
Joe Nieuwendyk (C),totals,81,25,33,58,0.72,22,0,https://www.eliteprospects.com/player/8950/joe-nieuwendyk,2001-02,nhl,Joe Nieuwendyk ,C,FW,0,0
Vincent Damphousse (C),San Jose Sharks,82,20,38,58,0.71,60,8,https://www.eliteprospects.com/player/21515/vincent-damphousse,2001-02,nhl,Vincent Damphousse ,C,FW,0,0
Jozef Stümpel (C),totals,81,8,50,58,0.72,18,22,https://www.eliteprospects.com/player/8649/jozef-stumpel,2001-02,nhl,Jozef Stümpel ,C,FW,0,0
Paul Kariya (LW),Mighty Ducks of Anaheim,82,32,25,57,0.70,28,-15,https://www.eliteprospects.com/player/9002/paul-kariya,2001-02,nhl,Paul Kariya ,LW,FW,0,0
Alexander Mogilny (RW),Toronto Maple Leafs,66,24,33,57,0.86,8,1,https://www.eliteprospects.com/player/21327/alexander-mogilny,2001-02,nhl,Alexander Mogilny ,RW,FW,0,0
Jan Hrdina (C),Pittsburgh Penguins,79,24,33,57,0.72,50,-7,https://www.eliteprospects.com/player/8623/jan-hrdina,2001-02,nhl,Jan Hrdina ,C,FW,0,0
Yanic Perreault (C),Montréal Canadiens,82,27,29,56,0.68,40,-3,https://www.eliteprospects.com/player/8912/yanic-perreault,2001-02,nhl,Yanic Perreault ,C,FW,0,0
Rob Blake (D),Colorado Avalanche,75,16,40,56,0.75,58,16,https://www.eliteprospects.com/player/8580/rob-blake,2001-02,nhl,Rob Blake ,D,DEF,0,0
Rod Brind'Amour (C),Carolina Hurricanes,81,23,32,55,0.68,40,3,https://www.eliteprospects.com/player/8784/rod-brind-amour,2001-02,nhl,Rod Brind'Amour ,C,FW,0,0
Václav Prospal (LW/C),Tampa Bay Lightning,81,18,37,55,0.68,38,-11,https://www.eliteprospects.com/player/8641/vaclav-prospal,2001-02,nhl,Václav Prospal ,LW/C,FW,0,0
Brian Leetch (D),New York Rangers,82,10,45,55,0.67,28,14,https://www.eliteprospects.com/player/8994/brian-leetch,2001-02,nhl,Brian Leetch ,D,DEF,0,0
Teemu Selänne (RW),San Jose Sharks,82,29,25,54,0.66,40,-11,https://www.eliteprospects.com/player/2683/teemu-selanne,2001-02,nhl,Teemu Selänne ,RW,FW,0,0
Bobby Holík (C),New Jersey Devils,81,25,29,54,0.67,97,7,https://www.eliteprospects.com/player/8545/bobby-holik,2001-02,nhl,Bobby Holík ,C,FW,0,0
Cliff Ronning (C),totals,81,19,35,54,0.67,32,0,https://www.eliteprospects.com/player/31529/cliff-ronning,2001-02,nhl,Cliff Ronning ,C,FW,0,0
Mike Ricci (C),San Jose Sharks,79,19,34,53,0.67,44,9,https://www.eliteprospects.com/player/8909/mike-ricci,2001-02,nhl,Mike Ricci ,C,FW,0,0
Kyle Calder (LW),Chicago Blackhawks,81,17,36,53,0.65,47,8,https://www.eliteprospects.com/player/5671/kyle-calder,2001-02,nhl,Kyle Calder ,LW,FW,0,0
Ulf Dahlén (RW),Washington Capitals,69,23,29,52,0.75,8,-5,https://www.eliteprospects.com/player/692/ulf-dahlen,2001-02,nhl,Ulf Dahlén ,RW,FW,0,0
Shawn Bates (C),New York Islanders,71,17,35,52,0.73,30,18,https://www.eliteprospects.com/player/9075/shawn-bates,2001-02,nhl,Shawn Bates ,C,FW,0,0
Mikael Renberg (RW),Toronto Maple Leafs,71,14,38,52,0.73,36,11,https://www.eliteprospects.com/player/734/mikael-renberg,2001-02,nhl,Mikael Renberg ,RW,FW,0,0
Sandis Ozolins (D),totals,83,14,38,52,0.63,58,-7,https://www.eliteprospects.com/player/8690/sandis-ozolins,2001-02,nhl,Sandis Ozolins ,D,DEF,0,0
Ilya Kovalchuk (LW/RW),Atlanta Thrashers,65,29,22,51,0.78,28,-19,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2001-02,nhl,Ilya Kovalchuk ,LW/RW,FW,0,0
John LeClair (LW),Philadelphia Flyers,82,25,26,51,0.62,30,5,https://www.eliteprospects.com/player/8992/john-leclair,2001-02,nhl,John LeClair ,LW,FW,0,0
Mariusz Czerkawski (RW),New York Islanders,82,22,29,51,0.62,48,-8,https://www.eliteprospects.com/player/1467/mariusz-czerkawski,2001-02,nhl,Mariusz Czerkawski ,RW,FW,0,0
Dean McAmmond (LW),Calgary Flames,73,21,30,51,0.70,60,2,https://www.eliteprospects.com/player/8972/dean-mcammond,2001-02,nhl,Dean McAmmond ,LW,FW,0,0
Robert Reichel (C),Toronto Maple Leafs,78,20,31,51,0.65,26,7,https://www.eliteprospects.com/player/10850/robert-reichel,2001-02,nhl,Robert Reichel ,C,FW,0,0
Luc Robitaille (LW),Detroit Red Wings,81,30,20,50,0.62,38,-2,https://www.eliteprospects.com/player/21334/luc-robitaille,2001-02,nhl,Luc Robitaille ,LW,FW,0,0
Martin Havlát (RW/LW),Ottawa Senators,72,22,28,50,0.69,66,-7,https://www.eliteprospects.com/player/8624/martin-havlat,2001-02,nhl,Martin Havlát ,RW/LW,FW,0,0
Todd White (C),Ottawa Senators,81,20,30,50,0.62,24,12,https://www.eliteprospects.com/player/5532/todd-white,2001-02,nhl,Todd White ,C,FW,0,0
Robert Lang (C),Pittsburgh Penguins,62,18,32,50,0.81,16,9,https://www.eliteprospects.com/player/8617/robert-lang,2001-02,nhl,Robert Lang ,C,FW,0,0
Ryan Smyth (LW),Edmonton Oilers,61,15,35,50,0.82,48,7,https://www.eliteprospects.com/player/8888/ryan-smyth,2001-02,nhl,Ryan Smyth ,LW,FW,0,0
Andrew Cassels (C),Vancouver Canucks,53,11,39,50,0.94,22,5,https://www.eliteprospects.com/player/42363/andrew-cassels,2001-02,nhl,Andrew Cassels ,C,FW,0,0
Jere Lehtinen (LW),Dallas Stars,73,25,24,49,0.67,14,27,https://www.eliteprospects.com/player/2687/jere-lehtinen,2001-02,nhl,Jere Lehtinen ,LW,FW,0,0
Alexei Morozov (RW),Pittsburgh Penguins,72,20,29,49,0.68,16,-7,https://www.eliteprospects.com/player/11044/alexei-morozov,2001-02,nhl,Alexei Morozov ,RW,FW,0,0
Shane Doan (RW),Phoenix Coyotes,81,20,29,49,0.60,61,11,https://www.eliteprospects.com/player/9137/shane-doan,2001-02,nhl,Shane Doan ,RW,FW,0,0
Doug Weight (C),St. Louis Blues,61,15,34,49,0.80,40,20,https://www.eliteprospects.com/player/8733/doug-weight,2001-02,nhl,Doug Weight ,C,FW,0,0
Gary Roberts (LW),Toronto Maple Leafs,69,21,27,48,0.70,63,-4,https://www.eliteprospects.com/player/8936/gary-roberts,2001-02,nhl,Gary Roberts ,LW,FW,0,0
Petr Sýkora (RW),New Jersey Devils,73,21,27,48,0.66,44,12,https://www.eliteprospects.com/player/8692/petr-sykora,2001-02,nhl,Petr Sýkora ,RW,FW,0,0
Keith Primeau (C),Philadelphia Flyers,75,19,29,48,0.64,128,-3,https://www.eliteprospects.com/player/8863/keith-primeau,2001-02,nhl,Keith Primeau ,C,FW,0,0
Matt Cullen (C),Mighty Ducks of Anaheim,79,18,30,48,0.61,24,-1,https://www.eliteprospects.com/player/8754/matt-cullen,2001-02,nhl,Matt Cullen ,C,FW,0,0
Stu Barnes (C),Buffalo Sabres,68,17,31,48,0.71,26,6,https://www.eliteprospects.com/player/9074/stu-barnes,2001-02,nhl,Stu Barnes ,C,FW,0,0
Ed Jovanovski (D),Vancouver Canucks,82,17,31,48,0.59,101,-7,https://www.eliteprospects.com/player/9035/ed-jovanovski,2001-02,nhl,Ed Jovanovski ,D,DEF,0,0
Steve Yzerman (C),Detroit Red Wings,52,13,35,48,0.92,18,11,https://www.eliteprospects.com/player/18904/steve-yzerman,2001-02,nhl,Steve Yzerman ,C,FW,0,0
Alex Tanguay (LW),Colorado Avalanche,70,13,35,48,0.69,36,8,https://www.eliteprospects.com/player/8779/alex-tanguay,2001-02,nhl,Alex Tanguay ,LW,FW,0,0
Teppo Numminen (D),Phoenix Coyotes,76,13,35,48,0.63,20,13,https://www.eliteprospects.com/player/2684/teppo-numminen,2001-02,nhl,Teppo Numminen ,D,DEF,0,0
Scott Gomez (C),New Jersey Devils,76,10,38,48,0.63,36,-4,https://www.eliteprospects.com/player/9050/scott-gomez,2001-02,nhl,Scott Gomez ,C,FW,0,0
Pierre Turgeon (C),Dallas Stars,66,15,32,47,0.71,16,-4,https://www.eliteprospects.com/player/8860/pierre-turgeon,2001-02,nhl,Pierre Turgeon ,C,FW,0,0
Jonas Höglund (RW),Toronto Maple Leafs,82,13,34,47,0.57,26,11,https://www.eliteprospects.com/player/468/jonas-hoglund,2001-02,nhl,Jonas Höglund ,RW,FW,0,0
Brian Rafalski (D),New Jersey Devils,76,7,40,47,0.62,18,15,https://www.eliteprospects.com/player/1635/brian-rafalski,2001-02,nhl,Brian Rafalski ,D,DEF,0,0
Chris Pronger (D),St. Louis Blues,78,7,40,47,0.60,120,23,https://www.eliteprospects.com/player/8538/chris-pronger,2001-02,nhl,Chris Pronger ,D,DEF,0,0
Petr Nedved (C),New York Rangers,78,21,25,46,0.59,36,-8,https://www.eliteprospects.com/player/8684/petr-nedved,2001-02,nhl,Petr Nedved ,C,FW,0,0
Chris Drury (C),Colorado Avalanche,82,21,25,46,0.56,38,1,https://www.eliteprospects.com/player/8804/chris-drury,2001-02,nhl,Chris Drury ,C,FW,0,0
Bates Battaglia (LW),Carolina Hurricanes,82,21,25,46,0.56,44,-6,https://www.eliteprospects.com/player/10213/bates-battaglia,2001-02,nhl,Bates Battaglia ,LW,FW,0,0
Steven Reinprecht (C),Colorado Avalanche,67,19,27,46,0.69,18,14,https://www.eliteprospects.com/player/8725/steven-reinprecht,2001-02,nhl,Steven Reinprecht ,C,FW,0,0
Shawn McEachern (LW),Ottawa Senators,80,15,31,46,0.58,52,9,https://www.eliteprospects.com/player/5675/shawn-mceachern,2001-02,nhl,Shawn McEachern ,LW,FW,0,0
Al MacInnis (D),St. Louis Blues,71,11,35,46,0.65,52,3,https://www.eliteprospects.com/player/21307/al-macinnis,2001-02,nhl,Al MacInnis ,D,DEF,0,0
Jason Arnott (C),totals,73,25,20,45,0.62,65,2,https://www.eliteprospects.com/player/9068/jason-arnott,2001-02,nhl,Jason Arnott ,C,FW,0,0
Kristian Huselius (LW),Florida Panthers,79,23,22,45,0.57,14,-4,https://www.eliteprospects.com/player/691/kristian-huselius,2001-02,nhl,Kristian Huselius ,LW,FW,0,0
Cory Stillman (LW),St. Louis Blues,80,23,22,45,0.56,36,8,https://www.eliteprospects.com/player/8894/cory-stillman,2001-02,nhl,Cory Stillman ,LW,FW,0,0
Michal Handzus (C),Phoenix Coyotes,79,15,30,45,0.57,34,-8,https://www.eliteprospects.com/player/8683/michal-handzus,2001-02,nhl,Michal Handzus ,C,FW,0,0
Tim Connolly (C),Buffalo Sabres,82,10,35,45,0.55,34,4,https://www.eliteprospects.com/player/8775/tim-connolly,2001-02,nhl,Tim Connolly ,C,FW,0,0
Jean-Pierre Dumont (RW),Buffalo Sabres,76,23,21,44,0.58,42,-10,https://www.eliteprospects.com/player/8783/jean-pierre-dumont,2001-02,nhl,Jean-Pierre Dumont ,RW,FW,0,0
Richard Zednik (LW),Montréal Canadiens,82,22,22,44,0.54,59,-3,https://www.eliteprospects.com/player/8631/richard-zednik,2001-02,nhl,Richard Zednik ,LW,FW,0,0
Milan Hejduk (RW),Colorado Avalanche,62,21,23,44,0.71,24,0,https://www.eliteprospects.com/player/8603/milan-hejduk,2001-02,nhl,Milan Hejduk ,RW,FW,0,0
Patrick Marleau (LW),San Jose Sharks,79,21,23,44,0.56,40,9,https://www.eliteprospects.com/player/3671/patrick-marleau,2001-02,nhl,Patrick Marleau ,LW,FW,0,0
Mike Leclerc (LW),Mighty Ducks of Anaheim,82,20,24,44,0.54,107,-12,https://www.eliteprospects.com/player/8993/mike-leclerc,2001-02,nhl,Mike Leclerc ,LW,FW,0,0
Tony Hrkac (C),Atlanta Thrashers,80,18,26,44,0.55,12,-12,https://www.eliteprospects.com/player/33755/tony-hrkac,2001-02,nhl,Tony Hrkac ,C,FW,0,0
Greg Johnson (C),Nashville Predators,82,18,26,44,0.54,38,-14,https://www.eliteprospects.com/player/9032/greg-johnson,2001-02,nhl,Greg Johnson ,C,FW,0,0
Sergei Brylin (W/C),New Jersey Devils,76,16,28,44,0.58,10,21,https://www.eliteprospects.com/player/8697/sergei-brylin,2001-02,nhl,Sergei Brylin ,W/C,FW,0,0
Sergei Zubov (D),Dallas Stars,80,12,32,44,0.55,22,-4,https://www.eliteprospects.com/player/8508/sergei-zubov,2001-02,nhl,Sergei Zubov ,D,DEF,0,0
Janne Niinimaa (D),Edmonton Oilers,81,5,39,44,0.54,80,13,https://www.eliteprospects.com/player/2658/janne-niinimaa,2001-02,nhl,Janne Niinimaa ,D,DEF,0,0
Mike Sillinger (C),Columbus Blue Jackets,80,20,23,43,0.54,54,-35,https://www.eliteprospects.com/player/8881/mike-sillinger,2001-02,nhl,Mike Sillinger ,C,FW,0,0
Dainius Zubrus (W/C),Washington Capitals,71,17,26,43,0.61,38,5,https://www.eliteprospects.com/player/8632/dainius-zubrus,2001-02,nhl,Dainius Zubrus ,W/C,FW,0,0
Jeff Friesen (LW),Mighty Ducks of Anaheim,81,17,26,43,0.53,44,-1,https://www.eliteprospects.com/player/9159/jeff-friesen,2001-02,nhl,Jeff Friesen ,LW,FW,0,0
Bryan McCabe (D),Toronto Maple Leafs,82,17,26,43,0.52,129,19,https://www.eliteprospects.com/player/4727/bryan-mccabe,2001-02,nhl,Bryan McCabe ,D,DEF,0,0
Jim Dowd (C),Minnesota Wild,82,13,30,43,0.52,54,-14,https://www.eliteprospects.com/player/8739/jim-dowd,2001-02,nhl,Jim Dowd ,C,FW,0,0
Igor Larionov (C),Detroit Red Wings,70,11,32,43,0.61,50,-5,https://www.eliteprospects.com/player/7142/igor-larionov,2001-02,nhl,Igor Larionov ,C,FW,0,0
Scott Thornton (LW),San Jose Sharks,77,26,16,42,0.55,116,11,https://www.eliteprospects.com/player/5638/scott-thornton,2001-02,nhl,Scott Thornton ,LW,FW,0,0
Ladislav Nagy (LW/RW),Phoenix Coyotes,74,23,19,42,0.57,50,6,https://www.eliteprospects.com/player/5522/ladislav-nagy,2001-02,nhl,Ladislav Nagy ,LW/RW,FW,0,0
Denis Arkhipov (C),Nashville Predators,82,20,22,42,0.51,16,-18,https://www.eliteprospects.com/player/9595/denis-arkhipov,2001-02,nhl,Denis Arkhipov ,C,FW,0,0
Kimmo Timonen (D),Nashville Predators,82,13,29,42,0.51,28,2,https://www.eliteprospects.com/player/2664/kimmo-timonen,2001-02,nhl,Kimmo Timonen ,D,DEF,0,0
Espen Knutsen (C),Columbus Blue Jackets,77,11,31,42,0.55,47,-28,https://www.eliteprospects.com/player/721/espen-knutsen,2001-02,nhl,Espen Knutsen ,C,FW,0,0
Jaroslav Modrý (D),Los Angeles Kings,80,4,38,42,0.53,65,-4,https://www.eliteprospects.com/player/8593/jaroslav-modry,2001-02,nhl,Jaroslav Modrý ,D,DEF,0,0
Oleg Petrov (LW),Montréal Canadiens,75,24,17,41,0.55,12,-4,https://www.eliteprospects.com/player/10844/oleg-petrov,2001-02,nhl,Oleg Petrov ,LW,FW,0,0
Marco Sturm (LW),San Jose Sharks,77,21,20,41,0.53,32,23,https://www.eliteprospects.com/player/8573/marco-sturm,2001-02,nhl,Marco Sturm ,LW,FW,0,0
Brian Savage (LW),totals,77,20,21,41,0.53,38,-13,https://www.eliteprospects.com/player/8872/brian-savage,2001-02,nhl,Brian Savage ,LW,FW,0,0
Scott Young (RW),St. Louis Blues,67,19,22,41,0.61,26,11,https://www.eliteprospects.com/player/8797/scott-young,2001-02,nhl,Scott Young ,RW,FW,0,0
Claude Lemieux (RW),Phoenix Coyotes,82,16,25,41,0.50,70,-5,https://www.eliteprospects.com/player/24783/claude-lemieux,2001-02,nhl,Claude Lemieux ,RW,FW,0,0
Scott Mellanby (RW),St. Louis Blues,64,15,26,41,0.64,93,-5,https://www.eliteprospects.com/player/8570/scott-mellanby,2001-02,nhl,Scott Mellanby ,RW,FW,0,0
Scott Hartnell (LW),Nashville Predators,75,14,27,41,0.55,111,5,https://www.eliteprospects.com/player/8764/scott-hartnell,2001-02,nhl,Scott Hartnell ,LW,FW,0,0
Kim Johnsson (D),Philadelphia Flyers,82,11,30,41,0.50,42,12,https://www.eliteprospects.com/player/698/kim-johnsson,2001-02,nhl,Kim Johnsson ,D,DEF,0,0
Doug Gilmour (C),Montréal Canadiens,70,10,31,41,0.59,48,-7,https://www.eliteprospects.com/player/20597/doug-gilmour,2001-02,nhl,Doug Gilmour ,C,FW,0,0
