player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Concussion
Jarome Iginla (RW),Calgary Flames,82,52,44,96,1.17,77,27,https://www.eliteprospects.com/player/9036/jarome-iginla,2001-02,nhl,Jarome Iginla ,RW,FW,0,0
Markus Näslund (LW),Vancouver Canucks,81,40,50,90,1.11,50,22,https://www.eliteprospects.com/player/697/markus-naslund,2001-02,nhl,Markus Näslund ,LW,FW,0,0
Todd Bertuzzi (RW/LW),Vancouver Canucks,72,36,49,85,1.18,110,21,https://www.eliteprospects.com/player/9081/todd-bertuzzi,2001-02,nhl,Todd Bertuzzi ,RW/LW,FW,0,0
Mats Sundin (C),Toronto Maple Leafs,82,41,39,80,0.98,94,6,https://www.eliteprospects.com/player/467/mats-sundin,2001-02,nhl,Mats Sundin ,C,FW,0,0
Jaromír Jágr (RW),Washington Capitals,69,31,48,79,1.14,30,0,https://www.eliteprospects.com/player/8627/jaromir-jagr,2001-02,nhl,Jaromír Jágr ,RW,FW,0,0
Joe Sakic (C),Colorado Avalanche,82,26,53,79,0.96,18,12,https://www.eliteprospects.com/player/8862/joe-sakic,2001-02,nhl,Joe Sakic ,C,FW,0,0
Pavol Demitra (C),St. Louis Blues,82,35,43,78,0.95,46,13,https://www.eliteprospects.com/player/8596/pavol-demitra,2001-02,nhl,Pavol Demitra ,C,FW,0,0
Adam Oates (C),totals,80,14,64,78,0.98,28,-4,https://www.eliteprospects.com/player/21367/adam-oates,2001-02,nhl,Adam Oates ,C,FW,0,0
Mike Modano (C),Dallas Stars,78,34,43,77,0.99,38,14,https://www.eliteprospects.com/player/8965/mike-modano,2001-02,nhl,Mike Modano ,C,FW,0,0
Ron Francis (C),Carolina Hurricanes,80,27,50,77,0.96,18,4,https://www.eliteprospects.com/player/21347/ron-francis,2001-02,nhl,Ron Francis ,C,FW,0,0
Alexei Kovalev (RW),Pittsburgh Penguins,67,32,44,76,1.13,80,2,https://www.eliteprospects.com/player/8670/alexei-kovalev,2001-02,nhl,Alexei Kovalev ,RW,FW,0,0
Keith Tkachuk (LW),St. Louis Blues,73,38,37,75,1.03,117,21,https://www.eliteprospects.com/player/8856/keith-tkachuk,2001-02,nhl,Keith Tkachuk ,LW,FW,0,0
Brendan Shanahan (LW),Detroit Red Wings,80,37,38,75,0.94,118,23,https://www.eliteprospects.com/player/8693/brendan-shanahan,2001-02,nhl,Brendan Shanahan ,LW,FW,0,0
