player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Concussion
Tyson Nash (LW),St. Louis Blues,57,8,7,15,0.26,110,8,https://www.eliteprospects.com/player/8948/tyson-nash,2000-01,nhl,Tyson Nash ,LW,FW,0,0
Kevin Dineen (RW),Columbus Blue Jackets,66,8,7,15,0.23,126,2,https://www.eliteprospects.com/player/22687/kevin-dineen,2000-01,nhl,Kevin Dineen ,RW,FW,0,0
Jody Hull (RW),Philadelphia Flyers,71,7,8,15,0.21,10,-1,https://www.eliteprospects.com/player/54340/jody-hull,2000-01,nhl,Jody Hull ,RW,FW,0,0
Clarke Wilm (C),Calgary Flames,81,7,8,15,0.19,69,-11,https://www.eliteprospects.com/player/8829/clarke-wilm,2000-01,nhl,Clarke Wilm ,C,FW,0,0
Kyle Calder (LW),Chicago Blackhawks,43,5,10,15,0.35,14,-4,https://www.eliteprospects.com/player/5671/kyle-calder,2000-01,nhl,Kyle Calder ,LW,FW,0,0
Roman Simicek (C),totals,57,5,10,15,0.26,51,-9,https://www.eliteprospects.com/player/13654/roman-simicek,2000-01,nhl,Roman Simicek ,C,FW,0,0
Dan Hinote (RW),Colorado Avalanche,76,5,10,15,0.20,51,1,https://www.eliteprospects.com/player/5534/dan-hinote,2000-01,nhl,Dan Hinote ,RW,FW,0,0
Kent Manderville (C),Philadelphia Flyers,82,5,10,15,0.18,47,-2,https://www.eliteprospects.com/player/3722/kent-manderville,2000-01,nhl,Kent Manderville ,C,FW,0,0
Andrew Ference (D),Pittsburgh Penguins,36,4,11,15,0.42,28,6,https://www.eliteprospects.com/player/8711/andrew-ference,2000-01,nhl,Andrew Ference ,D,DEF,0,0
Frantisek Kaberle (D),Atlanta Thrashers,51,4,11,15,0.29,18,11,https://www.eliteprospects.com/player/1919/frantisek-kaberle,2000-01,nhl,Frantisek Kaberle ,D,DEF,0,0
Jon Klemm (D),Colorado Avalanche,78,4,11,15,0.19,54,22,https://www.eliteprospects.com/player/9017/jon-klemm,2000-01,nhl,Jon Klemm ,D,DEF,0,0
Adam Foote (D),Colorado Avalanche,35,3,12,15,0.43,42,6,https://www.eliteprospects.com/player/9157/adam-foote,2000-01,nhl,Adam Foote ,D,DEF,0,0
Richard Smehlik (D),Buffalo Sabres,56,3,12,15,0.27,4,6,https://www.eliteprospects.com/player/26113/richard-smehlik,2000-01,nhl,Richard Smehlik ,D,DEF,0,0
Marcus Ragnarsson (D),San Jose Sharks,68,3,12,15,0.22,44,2,https://www.eliteprospects.com/player/733/marcus-ragnarsson,2000-01,nhl,Marcus Ragnarsson ,D,DEF,0,0
Alexander Karpovtsev (D),Chicago Blackhawks,53,2,13,15,0.28,39,-4,https://www.eliteprospects.com/player/19560/alexander-karpovtsev,2000-01,nhl,Alexander Karpovtsev ,D,DEF,0,0
Sylvain Lefebvre (D),New York Rangers,71,2,13,15,0.21,55,3,https://www.eliteprospects.com/player/27892/sylvain-lefebvre,2000-01,nhl,Sylvain Lefebvre ,D,DEF,0,0
Brad Bombardir (D),Minnesota Wild,70,0,15,15,0.21,42,-6,https://www.eliteprospects.com/player/25131/brad-bombardir,2000-01,nhl,Brad Bombardir ,D,DEF,0,0
Rob Valicevic (RW),Nashville Predators,60,8,6,14,0.23,26,-2,https://www.eliteprospects.com/player/12676/rob-valicevic,2000-01,nhl,Rob Valicevic ,RW,FW,0,0
Vladimir Tsyplakov (LW),Buffalo Sabres,36,7,7,14,0.39,10,2,https://www.eliteprospects.com/player/43116/vladimir-tsyplakov,2000-01,nhl,Vladimir Tsyplakov ,LW,FW,0,0
Milan Kraft (C),Pittsburgh Penguins,42,7,7,14,0.33,8,-6,https://www.eliteprospects.com/player/9630/milan-kraft,2000-01,nhl,Milan Kraft ,C,FW,0,0
Joe Sacco (RW),Washington Capitals,69,7,7,14,0.20,48,4,https://www.eliteprospects.com/player/51691/joe-sacco,2000-01,nhl,Joe Sacco ,RW,FW,0,0
Bob Corkum (C),totals,75,7,7,14,0.19,22,-8,https://www.eliteprospects.com/player/31260/bob-corkum,2000-01,nhl,Bob Corkum ,C,FW,0,0
Ladislav Kohn (RW),totals,77,7,7,14,0.18,86,-27,https://www.eliteprospects.com/player/3573/ladislav-kohn,2000-01,nhl,Ladislav Kohn ,RW,FW,0,0
Petr Tenkrát (RW/LW),Mighty Ducks of Anaheim,46,5,9,14,0.30,16,-11,https://www.eliteprospects.com/player/3730/petr-tenkrat,2000-01,nhl,Petr Tenkrát ,RW/LW,FW,0,0
Andy Delmore (D),Philadelphia Flyers,66,5,9,14,0.21,16,2,https://www.eliteprospects.com/player/11566/andy-delmore,2000-01,nhl,Andy Delmore ,D,DEF,0,0
Patrick Traverse (D),totals,71,5,9,14,0.20,30,-10,https://www.eliteprospects.com/player/10639/patrick-traverse,2000-01,nhl,Patrick Traverse ,D,DEF,0,0
Niclas Hävelid (D),Mighty Ducks of Anaheim,47,4,10,14,0.30,34,-6,https://www.eliteprospects.com/player/713/niclas-havelid,2000-01,nhl,Niclas Hävelid ,D,DEF,0,0
Stéphane Yelle (C),Colorado Avalanche,50,4,10,14,0.28,20,-3,https://www.eliteprospects.com/player/8795/stephane-yelle,2000-01,nhl,Stéphane Yelle ,C,FW,0,0
Brent Sopel (D),Vancouver Canucks,52,4,10,14,0.27,10,4,https://www.eliteprospects.com/player/10229/brent-sopel,2000-01,nhl,Brent Sopel ,D,DEF,0,0
Brad Lukowich (D),Dallas Stars,80,4,10,14,0.18,76,28,https://www.eliteprospects.com/player/9000/brad-lukowich,2000-01,nhl,Brad Lukowich ,D,DEF,0,0
Gord Murphy (D),Atlanta Thrashers,27,3,11,14,0.52,12,-11,https://www.eliteprospects.com/player/67359/gord-murphy,2000-01,nhl,Gord Murphy ,D,DEF,0,0
Benoit Brunet (LW),Montréal Canadiens,35,3,11,14,0.40,12,-4,https://www.eliteprospects.com/player/69479/benoit-brunet,2000-01,nhl,Benoit Brunet ,LW,FW,0,0
Scott Lachance (D),Vancouver Canucks,76,3,11,14,0.18,46,5,https://www.eliteprospects.com/player/21483/scott-lachance,2000-01,nhl,Scott Lachance ,D,DEF,0,0
Chris Phillips (D),Ottawa Senators,73,2,12,14,0.19,31,8,https://www.eliteprospects.com/player/4719/chris-phillips,2000-01,nhl,Chris Phillips ,D,DEF,0,0
Chris Therien (D),Philadelphia Flyers,73,2,12,14,0.19,48,22,https://www.eliteprospects.com/player/8849/chris-therien,2000-01,nhl,Chris Therien ,D,DEF,0,0
Igor Kravchuk (D),totals,52,1,13,14,0.27,18,-8,https://www.eliteprospects.com/player/27220/igor-kravchuk,2000-01,nhl,Igor Kravchuk ,D,DEF,0,0
Bill Lindsay (LW),totals,68,1,13,14,0.21,126,-6,https://www.eliteprospects.com/player/27298/bill-lindsay,2000-01,nhl,Bill Lindsay ,LW,FW,0,0
Daniel Corso (C),St. Louis Blues,28,10,3,13,0.46,14,0,https://www.eliteprospects.com/player/11573/daniel-corso,2000-01,nhl,Daniel Corso ,C,FW,0,0
Jeff Cowan (LW),Calgary Flames,51,9,4,13,0.25,74,-8,https://www.eliteprospects.com/player/9125/jeff-cowan,2000-01,nhl,Jeff Cowan ,LW,FW,0,0
Denis Arkhipov (C),Nashville Predators,40,6,7,13,0.33,4,0,https://www.eliteprospects.com/player/9595/denis-arkhipov,2000-01,nhl,Denis Arkhipov ,C,FW,0,0
Jeff Odgers (RW),Atlanta Thrashers,82,6,7,13,0.16,226,-8,https://www.eliteprospects.com/player/60871/jeff-odgers,2000-01,nhl,Jeff Odgers ,RW,FW,0,0
Lubos Bartecko (LW),St. Louis Blues,50,5,8,13,0.26,12,-1,https://www.eliteprospects.com/player/5854/lubos-bartecko,2000-01,nhl,Lubos Bartecko ,LW,FW,0,0
Matthew Barnaby (RW/LW),totals,76,5,8,13,0.17,265,-10,https://www.eliteprospects.com/player/9073/matthew-barnaby,2000-01,nhl,Matthew Barnaby ,RW/LW,FW,0,0
Marty Reasoner (C),St. Louis Blues,41,4,9,13,0.32,14,-5,https://www.eliteprospects.com/player/8708/marty-reasoner,2000-01,nhl,Marty Reasoner ,C,FW,0,0
James Patrick (D),Buffalo Sabres,54,4,9,13,0.24,12,9,https://www.eliteprospects.com/player/32586/james-patrick,2000-01,nhl,James Patrick ,D,DEF,0,0
Cam Stewart (LW),Minnesota Wild,54,4,9,13,0.24,18,-3,https://www.eliteprospects.com/player/25626/cam-stewart,2000-01,nhl,Cam Stewart ,LW,FW,0,0
Darren Van Impe (D),Boston Bruins,31,3,10,13,0.42,41,-9,https://www.eliteprospects.com/player/22093/darren-van-impe,2000-01,nhl,Darren Van Impe ,D,DEF,0,0
Jamie Pushor (D),Columbus Blue Jackets,75,3,10,13,0.17,94,7,https://www.eliteprospects.com/player/11563/jamie-pushor,2000-01,nhl,Jamie Pushor ,D,DEF,0,0
Jeff Norton (D),totals,42,2,11,13,0.31,28,12,https://www.eliteprospects.com/player/31339/jeff-norton,2000-01,nhl,Jeff Norton ,D,DEF,0,0
John LeClair (LW),Philadelphia Flyers,16,7,5,12,0.75,0,2,https://www.eliteprospects.com/player/8992/john-leclair,2000-01,nhl,John LeClair ,LW,FW,0,0
Stéphane Robidas (D),Montréal Canadiens,65,6,6,12,0.18,14,0,https://www.eliteprospects.com/player/8731/stephane-robidas,2000-01,nhl,Stéphane Robidas ,D,DEF,0,0
Éric Messier (D/LW),Colorado Avalanche,64,5,7,12,0.19,26,-3,https://www.eliteprospects.com/player/24171/eric-messier,2000-01,nhl,Éric Messier ,D/LW,DEF,0,0
Yannick Tremblay (D),Atlanta Thrashers,46,4,8,12,0.26,30,-6,https://www.eliteprospects.com/player/11032/yannick-tremblay,2000-01,nhl,Yannick Tremblay ,D,DEF,0,0
Manny Malhotra (C),New York Rangers,50,4,8,12,0.24,31,-10,https://www.eliteprospects.com/player/5528/manny-malhotra,2000-01,nhl,Manny Malhotra ,C,FW,0,0
Denis Pederson (C),Vancouver Canucks,61,4,8,12,0.20,65,0,https://www.eliteprospects.com/player/10193/denis-pederson,2000-01,nhl,Denis Pederson ,C,FW,0,0
Don Sweeney (D),Boston Bruins,72,2,10,12,0.17,26,-1,https://www.eliteprospects.com/player/32732/don-sweeney,2000-01,nhl,Don Sweeney ,D,DEF,0,0
Karlis Skrastins (D),Nashville Predators,82,1,11,12,0.15,30,-12,https://www.eliteprospects.com/player/5531/karlis-skrastins,2000-01,nhl,Karlis Skrastins ,D,DEF,0,0
Denis Hamel (LW),Buffalo Sabres,41,8,3,11,0.27,22,-2,https://www.eliteprospects.com/player/9039/denis-hamel,2000-01,nhl,Denis Hamel ,LW,FW,0,0
Maxim Sushinsky (RW),Minnesota Wild,30,7,4,11,0.37,29,-7,https://www.eliteprospects.com/player/9179/maxim-sushinsky,2000-01,nhl,Maxim Sushinsky ,RW,FW,0,0
Dean Sylvester (RW),Atlanta Thrashers,43,5,6,11,0.26,8,-16,https://www.eliteprospects.com/player/45496/dean-sylvester,2000-01,nhl,Dean Sylvester ,RW,FW,0,0
Boyd Devereaux (LW),Detroit Red Wings,55,5,6,11,0.20,14,1,https://www.eliteprospects.com/player/9135/boyd-devereaux,2000-01,nhl,Boyd Devereaux ,LW,FW,0,0
Jim Cummins (RW),Mighty Ducks of Anaheim,79,5,6,11,0.14,167,-11,https://www.eliteprospects.com/player/20596/jim-cummins,2000-01,nhl,Jim Cummins ,RW,FW,0,0
Daniel Tkaczuk (C),Calgary Flames,19,4,7,11,0.58,14,1,https://www.eliteprospects.com/player/3732/daniel-tkaczuk,2000-01,nhl,Daniel Tkaczuk ,C,FW,0,0
Éric Landry (C),Montréal Canadiens,51,4,7,11,0.22,43,-9,https://www.eliteprospects.com/player/10821/eric-landry,2000-01,nhl,Éric Landry ,C,FW,0,0
Dave Manson (D),Toronto Maple Leafs,74,4,7,11,0.15,93,13,https://www.eliteprospects.com/player/21480/dave-manson,2000-01,nhl,Dave Manson ,D,DEF,0,0
Kip Miller (LW),Pittsburgh Penguins,33,3,8,11,0.33,6,0,https://www.eliteprospects.com/player/24270/kip-miller,2000-01,nhl,Kip Miller ,LW,FW,0,0
Mark Eaton (D),Nashville Predators,34,3,8,11,0.32,14,7,https://www.eliteprospects.com/player/9143/mark-eaton,2000-01,nhl,Mark Eaton ,D,DEF,0,0
Sheldon Souray (D),Montréal Canadiens,52,3,8,11,0.21,95,-11,https://www.eliteprospects.com/player/4505/sheldon-souray,2000-01,nhl,Sheldon Souray ,D,DEF,0,0
Jeff Nielsen (RW),Minnesota Wild,59,3,8,11,0.19,4,-16,https://www.eliteprospects.com/player/25837/jeff-nielsen,2000-01,nhl,Jeff Nielsen ,RW,FW,0,0
Todd Gill (D),Detroit Red Wings,68,3,8,11,0.16,53,17,https://www.eliteprospects.com/player/69416/todd-gill,2000-01,nhl,Todd Gill ,D,DEF,0,0
Murray Baron (D),Vancouver Canucks,82,3,8,11,0.13,63,-13,https://www.eliteprospects.com/player/70103/murray-baron,2000-01,nhl,Murray Baron ,D,DEF,0,0
Rich Pilon (D),New York Rangers,69,2,9,11,0.16,175,-2,https://www.eliteprospects.com/player/31881/rich-pilon,2000-01,nhl,Rich Pilon ,D,DEF,0,0
Joe Reekie (D),Washington Capitals,74,2,9,11,0.15,77,14,https://www.eliteprospects.com/player/69418/joe-reekie,2000-01,nhl,Joe Reekie ,D,DEF,0,0
Mattias Timander (D),Columbus Blue Jackets,76,2,9,11,0.14,24,-8,https://www.eliteprospects.com/player/743/mattias-timander,2000-01,nhl,Mattias Timander ,D,DEF,0,0
Mike Crowley (D),Mighty Ducks of Anaheim,39,1,10,11,0.28,20,-16,https://www.eliteprospects.com/player/39747/mike-crowley,2000-01,nhl,Mike Crowley ,D,DEF,0,0
Sean Hill (D),St. Louis Blues,48,1,10,11,0.23,51,5,https://www.eliteprospects.com/player/9054/sean-hill,2000-01,nhl,Sean Hill ,D,DEF,0,0
Jay McKee (D),Buffalo Sabres,74,1,10,11,0.15,76,9,https://www.eliteprospects.com/player/8977/jay-mckee,2000-01,nhl,Jay McKee ,D,DEF,0,0
Vitali Vishnevski (D),Mighty Ducks of Anaheim,76,1,10,11,0.14,99,-1,https://www.eliteprospects.com/player/8522/vitali-vishnevski,2000-01,nhl,Vitali Vishnevski ,D,DEF,0,0
Hal Gill (D),Boston Bruins,80,1,10,11,0.14,71,-2,https://www.eliteprospects.com/player/8718/hal-gill,2000-01,nhl,Hal Gill ,D,DEF,0,0
Kevin Dean (D),Chicago Blackhawks,69,0,11,11,0.16,30,-16,https://www.eliteprospects.com/player/32591/kevin-dean,2000-01,nhl,Kevin Dean ,D,DEF,0,0
Mike Rathje (D),San Jose Sharks,81,0,11,11,0.14,48,7,https://www.eliteprospects.com/player/8844/mike-rathje,2000-01,nhl,Mike Rathje ,D,DEF,0,0
Pascal Trépanier (D),Mighty Ducks of Anaheim,57,6,4,10,0.18,73,-12,https://www.eliteprospects.com/player/12796/pascal-trepanier,2000-01,nhl,Pascal Trépanier ,D,DEF,0,0
Steve Dubinsky (C),Chicago Blackhawks,60,6,4,10,0.17,33,-4,https://www.eliteprospects.com/player/25895/steve-dubinsky,2000-01,nhl,Steve Dubinsky ,C,FW,0,0
Todd Fedoruk (LW),Philadelphia Flyers,53,5,5,10,0.19,109,0,https://www.eliteprospects.com/player/8528/todd-fedoruk,2000-01,nhl,Todd Fedoruk ,LW,FW,0,0
Rob Ray (RW),Buffalo Sabres,63,4,6,10,0.16,210,2,https://www.eliteprospects.com/player/42518/rob-ray,2000-01,nhl,Rob Ray ,RW,FW,0,0
Dave Karpa (D),Carolina Hurricanes,80,4,6,10,0.13,159,-19,https://www.eliteprospects.com/player/25709/dave-karpa,2000-01,nhl,Dave Karpa ,D,DEF,0,0
Benoit Hogue (C),Dallas Stars,34,3,7,10,0.29,26,-1,https://www.eliteprospects.com/player/31877/benoit-hogue,2000-01,nhl,Benoit Hogue ,C,FW,0,0
Wyatt Smith (C),Phoenix Coyotes,42,3,7,10,0.24,13,7,https://www.eliteprospects.com/player/8885/wyatt-smith,2000-01,nhl,Wyatt Smith ,C,FW,0,0
Peter Worrell (LW),Florida Panthers,71,3,7,10,0.14,248,-10,https://www.eliteprospects.com/player/69474/peter-worrell,2000-01,nhl,Peter Worrell ,LW,FW,0,0
Jarno Kultanen (D),Boston Bruins,62,2,8,10,0.16,26,-3,https://www.eliteprospects.com/player/2668/jarno-kultanen,2000-01,nhl,Jarno Kultanen ,D,DEF,0,0
Jeff Finley (D),St. Louis Blues,72,2,8,10,0.14,38,7,https://www.eliteprospects.com/player/44026/jeff-finley,2000-01,nhl,Jeff Finley ,D,DEF,0,0
Bryce Salvador (D),St. Louis Blues,75,2,8,10,0.13,69,-4,https://www.eliteprospects.com/player/8864/bryce-salvador,2000-01,nhl,Bryce Salvador ,D,DEF,0,0
Nathan Dempsey (D),Toronto Maple Leafs,25,1,9,10,0.40,4,13,https://www.eliteprospects.com/player/8741/nathan-dempsey,2000-01,nhl,Nathan Dempsey ,D,DEF,0,0
Willie Mitchell (D),totals,33,1,9,10,0.30,40,4,https://www.eliteprospects.com/player/8548/willie-mitchell,2000-01,nhl,Willie Mitchell ,D,DEF,0,0
Kirk Muller (C),Dallas Stars,55,1,9,10,0.18,26,-4,https://www.eliteprospects.com/player/22413/kirk-muller,2000-01,nhl,Kirk Muller ,C,FW,0,0
Dave Reid (LW),Colorado Avalanche,73,1,9,10,0.14,21,1,https://www.eliteprospects.com/player/67436/dave-reid,2000-01,nhl,Dave Reid ,LW,FW,0,0
Dan Bylsma (RW),Mighty Ducks of Anaheim,82,1,9,10,0.12,22,-12,https://www.eliteprospects.com/player/32585/dan-bylsma,2000-01,nhl,Dan Bylsma ,RW,FW,0,0
Radoslav Suchý (D),Phoenix Coyotes,72,0,10,10,0.14,22,1,https://www.eliteprospects.com/player/8621/radoslav-suchy,2000-01,nhl,Radoslav Suchý ,D,DEF,0,0
Roman Lyashenko (C),Dallas Stars,60,6,3,9,0.15,45,-1,https://www.eliteprospects.com/player/28790/roman-lyashenko,2000-01,nhl,Roman Lyashenko ,C,FW,0,0
Yves Sarault (LW),Atlanta Thrashers,20,5,4,9,0.45,26,-9,https://www.eliteprospects.com/player/12584/yves-sarault,2000-01,nhl,Yves Sarault ,LW,FW,0,0
Mike Sullivan (C),Phoenix Coyotes,72,5,4,9,0.13,16,-6,https://www.eliteprospects.com/player/60109/mike-sullivan,2000-01,nhl,Mike Sullivan ,C,FW,0,0
Herberts Vasiljevs (C),Atlanta Thrashers,21,4,5,9,0.43,14,-11,https://www.eliteprospects.com/player/10958/herberts-vasiljevs,2000-01,nhl,Herberts Vasiljevs ,C,FW,0,0
Craig Johnson (LW),Los Angeles Kings,26,4,5,9,0.35,16,0,https://www.eliteprospects.com/player/14815/craig-johnson,2000-01,nhl,Craig Johnson ,LW,FW,0,0
Chris Nielsen (RW),Columbus Blue Jackets,29,4,5,9,0.31,4,4,https://www.eliteprospects.com/player/29019/chris-nielsen,2000-01,nhl,Chris Nielsen ,RW,FW,0,0
Ronald Petrovicky (RW),Calgary Flames,30,4,5,9,0.30,54,0,https://www.eliteprospects.com/player/5673/ronald-petrovicky,2000-01,nhl,Ronald Petrovicky ,RW,FW,0,0
Domenic Pittis (C),Edmonton Oilers,47,4,5,9,0.19,49,-5,https://www.eliteprospects.com/player/10655/domenic-pittis,2000-01,nhl,Domenic Pittis ,C,FW,0,0
Tony Granato (LW),San Jose Sharks,60,4,5,9,0.15,65,-1,https://www.eliteprospects.com/player/21440/tony-granato,2000-01,nhl,Tony Granato ,LW,FW,0,0
Aaron Ward (D),Detroit Red Wings,73,4,5,9,0.12,57,-4,https://www.eliteprospects.com/player/8744/aaron-ward,2000-01,nhl,Aaron Ward ,D,DEF,0,0
Samuel Påhlsson (C),totals,76,4,5,9,0.12,20,-14,https://www.eliteprospects.com/player/732/samuel-pahlsson,2000-01,nhl,Samuel Påhlsson ,C,FW,0,0
Ivan Novoseltsev (LW),Florida Panthers,38,3,6,9,0.24,16,-5,https://www.eliteprospects.com/player/12236/ivan-novoseltsev,2000-01,nhl,Ivan Novoseltsev ,LW,FW,0,0
Frantisek Kucera (D),totals,55,2,7,9,0.16,12,-7,https://www.eliteprospects.com/player/31928/frantisek-kucera,2000-01,nhl,Frantisek Kucera ,D,DEF,0,0
Jere Karalahti (D),Los Angeles Kings,56,2,7,9,0.16,38,8,https://www.eliteprospects.com/player/3317/jere-karalahti,2000-01,nhl,Jere Karalahti ,D,DEF,0,0
Curtis Leschyshyn (D),totals,65,2,7,9,0.14,19,5,https://www.eliteprospects.com/player/32198/curtis-leschyshyn,2000-01,nhl,Curtis Leschyshyn ,D,DEF,0,0
Zdeno Chára (D),New York Islanders,82,2,7,9,0.11,157,-27,https://www.eliteprospects.com/player/4530/zdeno-chara,2000-01,nhl,Zdeno Chára ,D,DEF,0,0
Ricard Persson (D),Ottawa Senators,33,1,8,9,0.27,35,8,https://www.eliteprospects.com/player/731/ricard-persson,2000-01,nhl,Ricard Persson ,D,DEF,0,0
Alexei Gusarov (D),totals,51,1,8,9,0.18,18,-3,https://www.eliteprospects.com/player/21401/alexei-gusarov,2000-01,nhl,Alexei Gusarov ,D,DEF,0,0
Jiri Fischer (D),Detroit Red Wings,55,1,8,9,0.16,59,3,https://www.eliteprospects.com/player/8616/jiri-fischer,2000-01,nhl,Jiri Fischer ,D,DEF,0,0
Brent Gilchrist (LW),Detroit Red Wings,60,1,8,9,0.15,41,-8,https://www.eliteprospects.com/player/69480/brent-gilchrist,2000-01,nhl,Brent Gilchrist ,LW,FW,0,0
Cory Sarich (D),Tampa Bay Lightning,73,1,8,9,0.12,106,-26,https://www.eliteprospects.com/player/8867/cory-sarich,2000-01,nhl,Cory Sarich ,D,DEF,0,0
Tommy Westlund (RW),Carolina Hurricanes,79,5,3,8,0.10,23,-9,https://www.eliteprospects.com/player/746/tommy-westlund,2000-01,nhl,Tommy Westlund ,RW,FW,0,0
Jean-Yves Leroux (LW),Chicago Blackhawks,59,4,4,8,0.14,22,-9,https://www.eliteprospects.com/player/30060/jean-yves-leroux,2000-01,nhl,Jean-Yves Leroux ,LW,FW,0,0
Steve Rucchin (C),Mighty Ducks of Anaheim,16,3,5,8,0.50,0,-5,https://www.eliteprospects.com/player/8555/steve-rucchin,2000-01,nhl,Steve Rucchin ,C,FW,0,0
Dmitri Mironov (D),Washington Capitals,36,3,5,8,0.22,6,-7,https://www.eliteprospects.com/player/27195/dmitri-mironov,2000-01,nhl,Dmitri Mironov ,D,DEF,0,0
Cory Cross (D),Toronto Maple Leafs,41,3,5,8,0.20,50,7,https://www.eliteprospects.com/player/43326/cory-cross,2000-01,nhl,Cory Cross ,D,DEF,0,0
Richard Lintner (D),Nashville Predators,50,3,5,8,0.16,22,2,https://www.eliteprospects.com/player/580/richard-lintner,2000-01,nhl,Richard Lintner ,D,DEF,0,0
Jeff Toms (C),totals,54,3,5,8,0.15,10,-10,https://www.eliteprospects.com/player/10652/jeff-toms,2000-01,nhl,Jeff Toms ,C,FW,0,0
André Roy (LW),Ottawa Senators,64,3,5,8,0.13,169,1,https://www.eliteprospects.com/player/8924/andre-roy,2000-01,nhl,André Roy ,LW,FW,0,0
Toby Petersen (C),Pittsburgh Penguins,12,2,6,8,0.67,4,3,https://www.eliteprospects.com/player/8915/toby-petersen,2000-01,nhl,Toby Petersen ,C,FW,0,0
Todd Reirden (D),St. Louis Blues,38,2,4,8,0.21,43,-2,https://www.eliteprospects.com/player/27406/todd-reirden,2000-01,nhl,Todd Reirden ,D,DEF,0,0
Mike Stapleton (C),totals,52,2,6,8,0.15,10,-11,https://www.eliteprospects.com/player/1710/mike-stapleton,2000-01,nhl,Mike Stapleton ,C,FW,0,0
Denis Gauthier (D),Calgary Flames,62,2,6,8,0.13,78,3,https://www.eliteprospects.com/player/8861/denis-gauthier,2000-01,nhl,Denis Gauthier ,D,DEF,0,0
Luke Richardson (D),Philadelphia Flyers,82,2,6,8,0.10,131,23,https://www.eliteprospects.com/player/8933/luke-richardson,2000-01,nhl,Luke Richardson ,D,DEF,0,0
Ken Sutton (D),New Jersey Devils,53,1,7,8,0.15,37,9,https://www.eliteprospects.com/player/68049/ken-sutton,2000-01,nhl,Ken Sutton ,D,DEF,0,0
Pavel Trnka (D),Mighty Ducks of Anaheim,59,1,7,8,0.14,42,-12,https://www.eliteprospects.com/player/7303/pavel-trnka,2000-01,nhl,Pavel Trnka ,D,DEF,0,0
Denny Lambert (LW),Atlanta Thrashers,67,1,7,8,0.12,215,-5,https://www.eliteprospects.com/player/67108/denny-lambert,2000-01,nhl,Denny Lambert ,LW,FW,0,0
Cale Hulse (D),Nashville Predators,82,1,7,8,0.10,128,-5,https://www.eliteprospects.com/player/9059/cale-hulse,2000-01,nhl,Cale Hulse ,D,DEF,0,0
Aris Brimanis (D),New York Islanders,56,0,8,8,0.14,26,-12,https://www.eliteprospects.com/player/10830/aris-brimanis,2000-01,nhl,Aris Brimanis ,D,DEF,0,0
Juraj Kolnik (RW),New York Islanders,29,4,3,7,0.24,12,-8,https://www.eliteprospects.com/player/8654/juraj-kolnik,2000-01,nhl,Juraj Kolnik ,RW,FW,0,0
Mats Lindgren (C),New York Islanders,20,3,4,7,0.35,10,4,https://www.eliteprospects.com/player/724/mats-lindgren,2000-01,nhl,Mats Lindgren ,C,FW,0,0
Valeri Zelepukin (LW),Chicago Blackhawks,36,3,4,7,0.19,18,-14,https://www.eliteprospects.com/player/27526/valeri-zelepukin,2000-01,nhl,Valeri Zelepukin ,LW,FW,0,0
Mark Lawrence (RW),New York Islanders,36,3,4,7,0.19,32,-9,https://www.eliteprospects.com/player/26299/mark-lawrence,2000-01,nhl,Mark Lawrence ,RW,FW,0,0
Shawn Heins (D),San Jose Sharks,38,3,4,7,0.18,57,2,https://www.eliteprospects.com/player/10827/shawn-heins,2000-01,nhl,Shawn Heins ,D,DEF,0,0
Ian Moran (D),Pittsburgh Penguins,40,3,4,7,0.18,28,5,https://www.eliteprospects.com/player/5085/ian-moran,2000-01,nhl,Ian Moran ,D,DEF,0,0
Marc Chouinard (C),Mighty Ducks of Anaheim,44,3,4,7,0.16,12,-5,https://www.eliteprospects.com/player/8547/marc-chouinard,2000-01,nhl,Marc Chouinard ,C,FW,0,0
Juha Lind (LW),Montréal Canadiens,47,3,4,7,0.15,4,-4,https://www.eliteprospects.com/player/259/juha-lind,2000-01,nhl,Juha Lind ,LW,FW,0,0
Jason Marshall (D),totals,55,3,4,7,0.13,122,-13,https://www.eliteprospects.com/player/8533/jason-marshall,2000-01,nhl,Jason Marshall ,D,DEF,0,0
Aki Berg (D),totals,59,3,4,7,0.12,45,-3,https://www.eliteprospects.com/player/2667/aki-berg,2000-01,nhl,Aki Berg ,D,DEF,0,0
Andy Sutton (D),Minnesota Wild,69,3,4,7,0.10,131,-11,https://www.eliteprospects.com/player/8554/andy-sutton,2000-01,nhl,Andy Sutton ,D,DEF,0,0
Greg Hawgood (D),Vancouver Canucks,16,2,5,7,0.44,6,8,https://www.eliteprospects.com/player/8489/greg-hawgood,2000-01,nhl,Greg Hawgood ,D,DEF,0,0
Tim Taylor (C),New York Rangers,38,2,5,7,0.18,16,-6,https://www.eliteprospects.com/player/8848/tim-taylor,2000-01,nhl,Tim Taylor ,C,FW,0,0
Tyler Bouck (LW),Dallas Stars,48,2,5,7,0.15,29,-3,https://www.eliteprospects.com/player/8717/tyler-bouck,2000-01,nhl,Tyler Bouck ,LW,FW,0,0
P.J. Stock (D/C),totals,51,2,5,7,0.14,110,-3,https://www.eliteprospects.com/player/67426/p.j.-stock,2000-01,nhl,P.J. Stock ,D/C,DEF,0,0
