player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Martin St-Louis (RW),Tampa Bay Lightning,82,38,56,94,1.15,24,35,https://www.eliteprospects.com/player/8772/martin-st-louis,2003-04,nhl,Martin St-Louis,RW,FW,0.0,0.0,0
Ilya Kovalchuk (LW/RW),Atlanta Thrashers,81,41,46,87,1.07,63,-10,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2003-04,nhl,Ilya Kovalchuk,LW/RW,FW,0.0,0.0,0
Joe Sakic (C),Colorado Avalanche,81,33,54,87,1.07,42,11,https://www.eliteprospects.com/player/8862/joe-sakic,2003-04,nhl,Joe Sakic,C,FW,0.0,0.0,0
Markus Näslund (LW),Vancouver Canucks,78,35,49,84,1.08,58,24,https://www.eliteprospects.com/player/697/markus-naslund,2003-04,nhl,Markus Näslund,LW,FW,0.0,0.0,0
Marián Hossa (RW),Ottawa Senators,81,36,46,82,1.01,46,4,https://www.eliteprospects.com/player/4720/marian-hossa,2003-04,nhl,Marián Hossa,RW,FW,0.0,0.0,0
Patrik Elias (LW),New Jersey Devils,82,38,43,81,0.99,44,26,https://www.eliteprospects.com/player/8698/patrik-elias,2003-04,nhl,Patrik Elias,LW,FW,0.0,0.0,0
Daniel Alfredsson (RW),Ottawa Senators,77,32,48,80,1.04,24,12,https://www.eliteprospects.com/player/702/daniel-alfredsson,2003-04,nhl,Daniel Alfredsson,RW,FW,0.0,0.0,0
Cory Stillman (LW),Tampa Bay Lightning,81,25,55,80,0.99,36,18,https://www.eliteprospects.com/player/8894/cory-stillman,2003-04,nhl,Cory Stillman,LW,FW,0.0,0.0,0
Robert Lang (C),totals,69,30,49,79,1.14,26,4,https://www.eliteprospects.com/player/8617/robert-lang,2003-04,nhl,Robert Lang,C,FW,0.0,0.0,0
Brad Richards (C),Tampa Bay Lightning,82,26,53,79,0.96,12,14,https://www.eliteprospects.com/player/4723/brad-richards,2003-04,nhl,Brad Richards,C,FW,0.0,0.0,0
Alex Tanguay (LW),Colorado Avalanche,69,25,54,79,1.14,42,30,https://www.eliteprospects.com/player/8779/alex-tanguay,2003-04,nhl,Alex Tanguay,LW,FW,0.0,0.0,0
Milan Hejduk (RW),Colorado Avalanche,82,35,40,75,0.91,20,19,https://www.eliteprospects.com/player/8603/milan-hejduk,2003-04,nhl,Milan Hejduk,RW,FW,0.0,0.0,0
Mats Sundin (C),Toronto Maple Leafs,81,31,44,75,0.93,52,11,https://www.eliteprospects.com/player/467/mats-sundin,2003-04,nhl,Mats Sundin,C,FW,0.0,0.0,0
Mark Recchi (RW),Philadelphia Flyers,82,26,49,75,0.91,47,18,https://www.eliteprospects.com/player/8869/mark-recchi,2003-04,nhl,Mark Recchi,RW,FW,0.0,0.0,0
Jaromír Jágr (RW),totals,77,31,43,74,0.96,38,-5,https://www.eliteprospects.com/player/8627/jaromir-jagr,2003-04,nhl,Jaromír Jágr,RW,FW,0.0,0.0,0
Jarome Iginla (RW),Calgary Flames,81,41,32,73,0.90,84,21,https://www.eliteprospects.com/player/9036/jarome-iginla,2003-04,nhl,Jarome Iginla,RW,FW,0.0,0.0,0
Steve Sullivan (LW),totals,80,24,49,73,0.91,48,1,https://www.eliteprospects.com/player/8896/steve-sullivan,2003-04,nhl,Steve Sullivan,LW,FW,0.0,0.0,0
Joe Thornton (C),Boston Bruins,77,23,50,73,0.95,98,18,https://www.eliteprospects.com/player/3670/joe-thornton,2003-04,nhl,Joe Thornton,C,FW,0.0,0.0,0
Keith Tkachuk (LW),St. Louis Blues,75,33,38,71,0.95,83,8,https://www.eliteprospects.com/player/8856/keith-tkachuk,2003-04,nhl,Keith Tkachuk,LW,FW,0.0,0.0,0
Scott Gomez (C),New Jersey Devils,80,14,56,70,0.88,70,18,https://www.eliteprospects.com/player/9050/scott-gomez,2003-04,nhl,Scott Gomez,C,FW,0.0,0.0,0
Bill Guerin (RW),Dallas Stars,82,34,35,69,0.84,109,14,https://www.eliteprospects.com/player/9053/bill-guerin,2003-04,nhl,Bill Guerin,RW,FW,0.0,0.0,0
Martin Havlát (RW/LW),Ottawa Senators,68,31,37,68,1.00,46,12,https://www.eliteprospects.com/player/8624/martin-havlat,2003-04,nhl,Martin Havlát,RW/LW,FW,0.0,0.0,0
Pavel Datsyuk (C),Detroit Red Wings,75,30,38,68,0.91,35,-2,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2003-04,nhl,Pavel Datsyuk,C,FW,0.0,0.0,0
Shane Doan (RW),Phoenix Coyotes,79,27,41,68,0.86,47,-11,https://www.eliteprospects.com/player/9137/shane-doan,2003-04,nhl,Shane Doan,RW,FW,0.0,0.0,0
Brett Hull (RW),Detroit Red Wings,81,25,43,68,0.84,12,-4,https://www.eliteprospects.com/player/21341/brett-hull,2003-04,nhl,Brett Hull,RW,FW,0.0,0.0,0
Scott Walker (RW),Nashville Predators,75,25,42,67,0.89,94,4,https://www.eliteprospects.com/player/8801/scott-walker,2003-04,nhl,Scott Walker,RW,FW,0.0,0.0,0
Vincent Lecavalier (C),Tampa Bay Lightning,81,32,34,66,0.81,52,23,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2003-04,nhl,Vincent Lecavalier,C,FW,0.0,0.0,0
Sergei Fedorov (C),Mighty Ducks of Anaheim,80,31,34,65,0.81,42,-5,https://www.eliteprospects.com/player/8619/sergei-fedorov,2003-04,nhl,Sergei Fedorov,C,FW,0.0,0.0,0
Daniel Brière (C),Buffalo Sabres,82,28,37,65,0.79,70,-7,https://www.eliteprospects.com/player/8770/daniel-briere,2003-04,nhl,Daniel Brière,C,FW,0.0,0.0,0
