player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Peter Forsberg (C),Colorado Avalanche,75,29,77,106,1.41,70,52,https://www.eliteprospects.com/player/710/peter-forsberg,2002-03,nhl,Peter Forsberg,C,FW,0,0.0,0
Markus Näslund (LW),Vancouver Canucks,82,48,56,104,1.27,52,6,https://www.eliteprospects.com/player/697/markus-naslund,2002-03,nhl,Markus Näslund,LW,FW,0,0.0,0
Joe Thornton (C),Boston Bruins,77,36,65,101,1.31,109,12,https://www.eliteprospects.com/player/3670/joe-thornton,2002-03,nhl,Joe Thornton,C,FW,0,0.0,0
Milan Hejduk (RW),Colorado Avalanche,82,50,48,98,1.20,32,52,https://www.eliteprospects.com/player/8603/milan-hejduk,2002-03,nhl,Milan Hejduk,RW,FW,0,0.0,0
Todd Bertuzzi (RW/LW),Vancouver Canucks,82,46,51,97,1.18,144,2,https://www.eliteprospects.com/player/9081/todd-bertuzzi,2002-03,nhl,Todd Bertuzzi,RW/LW,FW,0,0.0,0
Pavol Demitra (C),St. Louis Blues,78,36,57,93,1.19,32,0,https://www.eliteprospects.com/player/8596/pavol-demitra,2002-03,nhl,Pavol Demitra,C,FW,0,0.0,0
Glen Murray (RW),Boston Bruins,82,44,48,92,1.12,64,9,https://www.eliteprospects.com/player/8576/glen-murray,2002-03,nhl,Glen Murray,RW,FW,0,0.0,0
Mario Lemieux (C),Pittsburgh Penguins,67,28,63,91,1.36,43,-25,https://www.eliteprospects.com/player/9679/mario-lemieux,2002-03,nhl,Mario Lemieux,C,FW,0,0.0,0
Dany Heatley (LW/RW),Atlanta Thrashers,77,41,48,89,1.16,58,-8,https://www.eliteprospects.com/player/3664/dany-heatley,2002-03,nhl,Dany Heatley,LW/RW,FW,0,0.0,0
Zigmund Pálffy (RW),Los Angeles Kings,76,37,48,85,1.12,47,22,https://www.eliteprospects.com/player/12627/zigmund-palffy,2002-03,nhl,Zigmund Pálffy,RW,FW,0,0.0,0
Mike Modano (C),Dallas Stars,79,28,57,85,1.08,30,34,https://www.eliteprospects.com/player/8965/mike-modano,2002-03,nhl,Mike Modano,C,FW,0,0.0,0
Sergei Fedorov (C),Detroit Red Wings,80,36,47,83,1.04,52,15,https://www.eliteprospects.com/player/8619/sergei-fedorov,2002-03,nhl,Sergei Fedorov,C,FW,0,0.0,0
Paul Kariya (LW),Mighty Ducks of Anaheim,82,25,56,81,0.99,48,-3,https://www.eliteprospects.com/player/9002/paul-kariya,2002-03,nhl,Paul Kariya,LW,FW,0,0.0,0
Marián Hossa (RW),Ottawa Senators,80,45,35,80,1.00,34,8,https://www.eliteprospects.com/player/4720/marian-hossa,2002-03,nhl,Marián Hossa,RW,FW,0,0.0,0
Alexander Mogilny (RW),Toronto Maple Leafs,73,33,46,79,1.08,12,4,https://www.eliteprospects.com/player/21327/alexander-mogilny,2002-03,nhl,Alexander Mogilny,RW,FW,0,0.0,0
Václav Prospal (LW/C),Tampa Bay Lightning,80,22,57,79,0.99,53,9,https://www.eliteprospects.com/player/8641/vaclav-prospal,2002-03,nhl,Václav Prospal,LW/C,FW,0,0.0,0
Vincent Lecavalier (C),Tampa Bay Lightning,80,33,45,78,0.98,39,0,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2002-03,nhl,Vincent Lecavalier,C,FW,0,0.0,0
Daniel Alfredsson (RW),Ottawa Senators,78,27,51,78,1.00,42,15,https://www.eliteprospects.com/player/702/daniel-alfredsson,2002-03,nhl,Daniel Alfredsson,RW,FW,0,0.0,0
Alexei Kovalev (RW),totals,78,37,40,77,0.99,70,-9,https://www.eliteprospects.com/player/8670/alexei-kovalev,2002-03,nhl,Alexei Kovalev,RW,FW,0,0.0,0
Jaromír Jágr (RW),Washington Capitals,75,36,41,77,1.03,38,5,https://www.eliteprospects.com/player/8627/jaromir-jagr,2002-03,nhl,Jaromír Jágr,RW,FW,0,0.0,0
Brett Hull (RW),Detroit Red Wings,82,37,39,76,0.93,22,11,https://www.eliteprospects.com/player/21341/brett-hull,2002-03,nhl,Brett Hull,RW,FW,0,0.0,0
Ray Whitney (LW),Columbus Blue Jackets,81,24,52,76,0.94,22,-26,https://www.eliteprospects.com/player/8824/ray-whitney,2002-03,nhl,Ray Whitney,LW,FW,0,0.0,0
Miroslav Satan (RW),Buffalo Sabres,79,26,49,75,0.95,20,-3,https://www.eliteprospects.com/player/666/miroslav-satan,2002-03,nhl,Miroslav Satan,RW,FW,0,0.0,0
Brad Richards (C),Tampa Bay Lightning,80,17,57,74,0.93,24,3,https://www.eliteprospects.com/player/4723/brad-richards,2002-03,nhl,Brad Richards,C,FW,0,0.0,0
