player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Mats Sundin (C),Toronto Maple Leafs,75,37,35,72,0.96,58,1,https://www.eliteprospects.com/player/467/mats-sundin,2002-03,nhl,Mats Sundin,C,FW,0,0.0,0
Brendan Morrison (C),Vancouver Canucks,82,25,46,71,0.87,36,18,https://www.eliteprospects.com/player/4321/brendan-morrison,2002-03,nhl,Brendan Morrison,C,FW,0,0.0,0
Saku Koivu (C),Montréal Canadiens,82,21,50,71,0.87,72,5,https://www.eliteprospects.com/player/2669/saku-koivu,2002-03,nhl,Saku Koivu,C,FW,Saku Koivu,1.0,1
Martin St-Louis (RW),Tampa Bay Lightning,82,33,37,70,0.85,32,10,https://www.eliteprospects.com/player/8772/martin-st-louis,2002-03,nhl,Martin St-Louis,RW,FW,0,0.0,0
Vyacheslav Kozlov (LW),Atlanta Thrashers,79,21,49,70,0.89,66,-10,https://www.eliteprospects.com/player/8544/vyacheslav-kozlov,2002-03,nhl,Vyacheslav Kozlov,LW,FW,0,0.0,0
Robert Lang (C),Washington Capitals,82,22,47,69,0.84,22,12,https://www.eliteprospects.com/player/8617/robert-lang,2002-03,nhl,Robert Lang,C,FW,0,0.0,0
Brendan Shanahan (LW),Detroit Red Wings,78,30,38,68,0.87,103,5,https://www.eliteprospects.com/player/8693/brendan-shanahan,2002-03,nhl,Brendan Shanahan,LW,FW,0,0.0,0
Andrew Cassels (C),Columbus Blue Jackets,79,20,48,68,0.86,30,-4,https://www.eliteprospects.com/player/42363/andrew-cassels,2002-03,nhl,Andrew Cassels,C,FW,0,0.0,0
Al MacInnis (D),St. Louis Blues,80,16,52,68,0.85,61,22,https://www.eliteprospects.com/player/21307/al-macinnis,2002-03,nhl,Al MacInnis,D,DEF,Al MacInnis,79.0,1
Ilya Kovalchuk (LW/RW),Atlanta Thrashers,81,38,29,67,0.83,57,-24,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2002-03,nhl,Ilya Kovalchuk,LW/RW,FW,0,0.0,0
Jarome Iginla (RW),Calgary Flames,75,35,32,67,0.89,49,-10,https://www.eliteprospects.com/player/9036/jarome-iginla,2002-03,nhl,Jarome Iginla,RW,FW,0,0.0,0
Geoff Sanderson (LW),Columbus Blue Jackets,82,34,33,67,0.82,34,-4,https://www.eliteprospects.com/player/8780/geoff-sanderson,2002-03,nhl,Geoff Sanderson,LW,FW,0,0.0,0
Alex Tanguay (LW),Colorado Avalanche,82,26,41,67,0.82,36,34,https://www.eliteprospects.com/player/8779/alex-tanguay,2002-03,nhl,Alex Tanguay,LW,FW,0,0.0,0
Cory Stillman (LW),St. Louis Blues,79,24,43,67,0.85,56,12,https://www.eliteprospects.com/player/8894/cory-stillman,2002-03,nhl,Cory Stillman,LW,FW,0,0.0,0
Sergei Gonchar (D),Washington Capitals,82,18,49,67,0.82,52,13,https://www.eliteprospects.com/player/8678/sergei-gonchar,2002-03,nhl,Sergei Gonchar,D,DEF,0,0.0,0
Doug Weight (C),St. Louis Blues,70,15,52,67,0.96,52,-6,https://www.eliteprospects.com/player/8733/doug-weight,2002-03,nhl,Doug Weight,C,FW,0,0.0,0
Olli Jokinen (C),Florida Panthers,81,36,29,65,0.80,79,-17,https://www.eliteprospects.com/player/2679/olli-jokinen,2002-03,nhl,Olli Jokinen,C,FW,0,0.0,0
Marián Gáborík (RW/LW),Minnesota Wild,81,30,35,65,0.80,46,12,https://www.eliteprospects.com/player/3665/marian-gaborik,2002-03,nhl,Marián Gáborík,RW/LW,FW,0,0.0,0
Alexei Yashin (C),New York Islanders,81,26,39,65,0.80,32,-12,https://www.eliteprospects.com/player/8695/alexei-yashin,2002-03,nhl,Alexei Yashin,C,FW,0,0.0,0
Teemu Selänne (RW),San Jose Sharks,82,28,36,64,0.78,30,-6,https://www.eliteprospects.com/player/2683/teemu-selanne,2002-03,nhl,Teemu Selänne,RW,FW,0,0.0,0
Mike Johnson (RW),Phoenix Coyotes,82,23,40,63,0.77,47,9,https://www.eliteprospects.com/player/5687/mike-johnson,2002-03,nhl,Mike Johnson,RW,FW,0,0.0,0
Nicklas Lidström (D),Detroit Red Wings,82,18,44,62,0.76,38,40,https://www.eliteprospects.com/player/722/nicklas-lidstrom,2002-03,nhl,Nicklas Lidström,D,DEF,0,0.0,0
Jeff O'Neill (RW),Carolina Hurricanes,82,30,31,61,0.74,38,-21,https://www.eliteprospects.com/player/8938/jeff-o-neill,2002-03,nhl,Jeff O'Neill,RW,FW,0,0.0,0
Ryan Smyth (LW),Edmonton Oilers,66,27,34,61,0.92,67,5,https://www.eliteprospects.com/player/8888/ryan-smyth,2002-03,nhl,Ryan Smyth,LW,FW,0,0.0,0
Steve Sullivan (LW),Chicago Blackhawks,82,26,35,61,0.74,42,15,https://www.eliteprospects.com/player/8896/steve-sullivan,2002-03,nhl,Steve Sullivan,LW,FW,0,0.0,0
Vincent Damphousse (C),San Jose Sharks,82,23,38,61,0.74,66,-13,https://www.eliteprospects.com/player/21515/vincent-damphousse,2002-03,nhl,Vincent Damphousse,C,FW,0,0.0,0
Anson Carter (RW),totals,79,26,34,60,0.76,26,-11,https://www.eliteprospects.com/player/9111/anson-carter,2002-03,nhl,Anson Carter,RW,FW,0,0.0,0
Todd White (C),Ottawa Senators,80,25,35,60,0.75,28,19,https://www.eliteprospects.com/player/5532/todd-white,2002-03,nhl,Todd White,C,FW,0,0.0,0
Todd Marchant (C),Edmonton Oilers,77,20,40,60,0.78,48,13,https://www.eliteprospects.com/player/8532/todd-marchant,2002-03,nhl,Todd Marchant,C,FW,0,0.0,0
Michael Nylander (C),totals,80,17,43,60,0.75,40,3,https://www.eliteprospects.com/player/693/michael-nylander,2002-03,nhl,Michael Nylander,C,FW,0,0.0,0
Petr Sýkora (RW),Mighty Ducks of Anaheim,82,34,25,59,0.72,24,-7,https://www.eliteprospects.com/player/8692/petr-sykora,2002-03,nhl,Petr Sýkora,RW,FW,0,0.0,0
Mike Knuble (RW),Boston Bruins,75,30,29,59,0.79,45,18,https://www.eliteprospects.com/player/4322/mike-knuble,2002-03,nhl,Mike Knuble,RW,FW,0,0.0,0
Jeremy Roenick (C),Philadelphia Flyers,79,27,32,59,0.75,75,20,https://www.eliteprospects.com/player/8929/jeremy-roenick,2002-03,nhl,Jeremy Roenick,C,FW,Jeremy Roenick,19.0,1
Brian Rolston (LW),Boston Bruins,81,27,32,59,0.73,32,1,https://www.eliteprospects.com/player/8927/brian-rolston,2002-03,nhl,Brian Rolston,LW,FW,0,0.0,0
Martin Havlát (RW/LW),Ottawa Senators,67,24,35,59,0.88,30,20,https://www.eliteprospects.com/player/8624/martin-havlat,2002-03,nhl,Martin Havlát,RW/LW,FW,0,0.0,0
Craig Conroy (C),Calgary Flames,79,22,37,59,0.75,36,-4,https://www.eliteprospects.com/player/9121/craig-conroy,2002-03,nhl,Craig Conroy,C,FW,0,0.0,0
Petr Nedved (C),New York Rangers,78,27,31,58,0.74,64,-4,https://www.eliteprospects.com/player/8684/petr-nedved,2002-03,nhl,Petr Nedved,C,FW,0,0.0,0
Joe Sakic (C),Colorado Avalanche,58,26,32,58,1.00,24,4,https://www.eliteprospects.com/player/8862/joe-sakic,2002-03,nhl,Joe Sakic,C,FW,Joe Sakic,1.0,1
Daniel Brière (C),totals,82,24,34,58,0.71,62,-20,https://www.eliteprospects.com/player/8770/daniel-briere,2002-03,nhl,Daniel Brière,C,FW,0,0.0,0
Shane Doan (RW),Phoenix Coyotes,82,21,37,58,0.71,86,3,https://www.eliteprospects.com/player/9137/shane-doan,2002-03,nhl,Shane Doan,RW,FW,0,0.0,0
Steve Rucchin (C),Mighty Ducks of Anaheim,82,20,38,58,0.71,12,-14,https://www.eliteprospects.com/player/8555/steve-rucchin,2002-03,nhl,Steve Rucchin,C,FW,0,0.0,0
Alexei Zhamnov (C),Chicago Blackhawks,74,15,43,58,0.78,70,0,https://www.eliteprospects.com/player/8572/alexei-zhamnov,2002-03,nhl,Alexei Zhamnov,C,FW,0,0.0,0
Patrik Elias (LW),New Jersey Devils,81,28,29,57,0.70,22,17,https://www.eliteprospects.com/player/8698/patrik-elias,2002-03,nhl,Patrik Elias,LW,FW,0,0.0,0
Patrick Marleau (LW),San Jose Sharks,82,28,29,57,0.70,33,-10,https://www.eliteprospects.com/player/3671/patrick-marleau,2002-03,nhl,Patrick Marleau,LW,FW,0,0.0,0
Scott Mellanby (RW),St. Louis Blues,80,26,31,57,0.71,176,1,https://www.eliteprospects.com/player/8570/scott-mellanby,2002-03,nhl,Scott Mellanby,RW,FW,Scott Mellanby,4.0,1
Ladislav Nagy (LW/RW),Phoenix Coyotes,80,22,35,57,0.71,92,17,https://www.eliteprospects.com/player/5522/ladislav-nagy,2002-03,nhl,Ladislav Nagy,LW/RW,FW,Ladislav Nagy,2.0,1
Ron Francis (C),Carolina Hurricanes,82,22,35,57,0.70,30,-22,https://www.eliteprospects.com/player/21347/ron-francis,2002-03,nhl,Ron Francis,C,FW,0,0.0,0
Peter Bondra (RW),Washington Capitals,76,30,26,56,0.74,52,-3,https://www.eliteprospects.com/player/8553/peter-bondra,2002-03,nhl,Peter Bondra,RW,FW,0,0.0,0
Viktor Kozlov (C/RW),Florida Panthers,74,22,34,56,0.76,18,-8,https://www.eliteprospects.com/player/8699/viktor-kozlov,2002-03,nhl,Viktor Kozlov,C/RW,FW,Viktor Kozlov,8.0,1
Viktor Kozlov (C/RW),Florida Panthers,74,22,34,56,0.76,18,-8,https://www.eliteprospects.com/player/8699/viktor-kozlov,2002-03,nhl,Viktor Kozlov,C/RW,FW,Viktor Kozlov,4.0,1
Viktor Kozlov (C/RW),Florida Panthers,74,22,34,56,0.76,18,-8,https://www.eliteprospects.com/player/8699/viktor-kozlov,2002-03,nhl,Viktor Kozlov,C/RW,FW,Viktor Kozlov,7.0,1
Keith Tkachuk (LW),St. Louis Blues,56,31,24,55,0.98,139,1,https://www.eliteprospects.com/player/8856/keith-tkachuk,2002-03,nhl,Keith Tkachuk,LW,FW,0,0.0,0
Jason Blake (LW/C),New York Islanders,81,25,30,55,0.68,58,16,https://www.eliteprospects.com/player/8782/jason-blake,2002-03,nhl,Jason Blake,LW/C,FW,0,0.0,0
Jamie Langenbrunner (RW),New Jersey Devils,78,22,33,55,0.71,65,17,https://www.eliteprospects.com/player/8742/jamie-langenbrunner,2002-03,nhl,Jamie Langenbrunner,RW,FW,0,0.0,0
Scott Gomez (C),New Jersey Devils,80,13,42,55,0.69,48,17,https://www.eliteprospects.com/player/9050/scott-gomez,2002-03,nhl,Scott Gomez,C,FW,0,0.0,0
Sergei Zubov (D),Dallas Stars,82,11,44,55,0.67,26,21,https://www.eliteprospects.com/player/8508/sergei-zubov,2002-03,nhl,Sergei Zubov,D,DEF,0,0.0,0
Owen Nolan (RW),totals,75,29,25,54,0.72,107,-3,https://www.eliteprospects.com/player/9674/owen-nolan,2002-03,nhl,Owen Nolan,RW,FW,Owen Nolan,12.0,1
Radek Bonk (C),Ottawa Senators,70,22,32,54,0.77,36,6,https://www.eliteprospects.com/player/8671/radek-bonk,2002-03,nhl,Radek Bonk,C,FW,0,0.0,0
Chris Drury (C),Calgary Flames,80,23,30,53,0.66,33,-9,https://www.eliteprospects.com/player/8804/chris-drury,2002-03,nhl,Chris Drury,C,FW,Chris Drury,2.0,1
Eric Lindros (C),New York Rangers,81,19,34,53,0.65,141,5,https://www.eliteprospects.com/player/8998/eric-lindros,2002-03,nhl,Eric Lindros,C,FW,Eric Lindros,16.0,1
Eric Lindros (C),New York Rangers,81,19,34,53,0.65,141,5,https://www.eliteprospects.com/player/8998/eric-lindros,2002-03,nhl,Eric Lindros,C,FW,Eric Lindros,4.0,1
Dan Boyle (D),Tampa Bay Lightning,77,13,40,53,0.69,44,9,https://www.eliteprospects.com/player/5369/dan-boyle,2002-03,nhl,Dan Boyle,D,DEF,Dan Boyle,4.0,1
Martin Gélinas (LW),Calgary Flames,81,21,31,52,0.64,51,-3,https://www.eliteprospects.com/player/8787/martin-gelinas,2002-03,nhl,Martin Gélinas,LW,FW,0,0.0,0
Mark Recchi (RW),Philadelphia Flyers,79,20,32,52,0.66,35,0,https://www.eliteprospects.com/player/8869/mark-recchi,2002-03,nhl,Mark Recchi,RW,FW,0,0.0,0
Daymond Langkow (C),Phoenix Coyotes,82,20,32,52,0.63,56,20,https://www.eliteprospects.com/player/8986/daymond-langkow,2002-03,nhl,Daymond Langkow,C,FW,0,0.0,0
Jeff Friesen (LW),New Jersey Devils,81,23,28,51,0.63,26,23,https://www.eliteprospects.com/player/9159/jeff-friesen,2002-03,nhl,Jeff Friesen,LW,FW,0,0.0,0
Mike York (C),Edmonton Oilers,71,22,29,51,0.72,10,-8,https://www.eliteprospects.com/player/8730/mike-york,2002-03,nhl,Mike York,C,FW,0,0.0,0
Mike Comrie (C),Edmonton Oilers,69,20,31,51,0.74,90,-18,https://www.eliteprospects.com/player/4701/mike-comrie,2002-03,nhl,Mike Comrie,C,FW,0,0.0,0
Tony Amonte (RW),totals,72,20,31,51,0.71,28,0,https://www.eliteprospects.com/player/9065/tony-amonte,2002-03,nhl,Tony Amonte,RW,FW,0,0.0,0
Steven Reinprecht (C),Colorado Avalanche,77,18,33,51,0.66,18,-6,https://www.eliteprospects.com/player/8725/steven-reinprecht,2002-03,nhl,Steven Reinprecht,C,FW,0,0.0,0
Jozef Stümpel (C),Boston Bruins,78,14,37,51,0.65,12,0,https://www.eliteprospects.com/player/8649/jozef-stumpel,2002-03,nhl,Jozef Stümpel,C,FW,0,0.0,0
Pavel Datsyuk (C),Detroit Red Wings,64,12,39,51,0.80,20,20,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2002-03,nhl,Pavel Datsyuk,C,FW,0,0.0,0
Bill Guerin (RW),Dallas Stars,64,25,25,50,0.78,113,5,https://www.eliteprospects.com/player/9053/bill-guerin,2002-03,nhl,Bill Guerin,RW,FW,0,0.0,0
Marc Savard (C),totals,67,17,33,50,0.75,85,-14,https://www.eliteprospects.com/player/8574/marc-savard,2002-03,nhl,Marc Savard,C,FW,Marc Savard,3.0,1
Mathieu Schneider (D),totals,78,16,34,50,0.64,73,2,https://www.eliteprospects.com/player/8875/mathieu-schneider,2002-03,nhl,Mathieu Schneider,D,DEF,0,0.0,0
Kip Miller (LW),Washington Capitals,72,12,38,50,0.69,18,-1,https://www.eliteprospects.com/player/24270/kip-miller,2002-03,nhl,Kip Miller,LW,FW,0,0.0,0
Richard Zednik (LW),Montréal Canadiens,80,30,19,49,0.61,79,4,https://www.eliteprospects.com/player/8631/richard-zednik,2002-03,nhl,Richard Zednik,LW,FW,0,0.0,0
Eric Boguniecki (C/RW),St. Louis Blues,80,22,27,49,0.61,38,22,https://www.eliteprospects.com/player/8790/eric-boguniecki,2002-03,nhl,Eric Boguniecki,C/RW,FW,Eric Boguniecki,18.0,1
Jere Lehtinen (LW),Dallas Stars,80,31,17,48,0.60,20,39,https://www.eliteprospects.com/player/2687/jere-lehtinen,2002-03,nhl,Jere Lehtinen,LW,FW,0,0.0,0
Marco Sturm (LW),San Jose Sharks,82,28,20,48,0.59,16,9,https://www.eliteprospects.com/player/8573/marco-sturm,2002-03,nhl,Marco Sturm,LW,FW,0,0.0,0
Mark Parrish (RW),New York Islanders,81,23,25,48,0.59,28,-11,https://www.eliteprospects.com/player/8905/mark-parrish,2002-03,nhl,Mark Parrish,RW,FW,0,0.0,0
Pascal Dupuis (LW),Minnesota Wild,80,20,28,48,0.60,44,17,https://www.eliteprospects.com/player/8789/pascal-dupuis,2002-03,nhl,Pascal Dupuis,LW,FW,0,0.0,0
David Legwand (C),Nashville Predators,64,17,31,48,0.75,34,-2,https://www.eliteprospects.com/player/3668/david-legwand,2002-03,nhl,David Legwand,C,FW,0,0.0,0
Cliff Ronning (C),Minnesota Wild,80,17,31,48,0.60,24,-6,https://www.eliteprospects.com/player/31529/cliff-ronning,2002-03,nhl,Cliff Ronning,C,FW,0,0.0,0
Derek Morris (D),Colorado Avalanche,75,11,37,48,0.64,68,16,https://www.eliteprospects.com/player/8963/derek-morris,2002-03,nhl,Derek Morris,D,DEF,0,0.0,0
Tom Poti (D),New York Rangers,80,11,37,48,0.60,58,-6,https://www.eliteprospects.com/player/8918/tom-poti,2002-03,nhl,Tom Poti,D,DEF,0,0.0,0
Jason Arnott (C),Dallas Stars,72,23,24,47,0.65,51,9,https://www.eliteprospects.com/player/9068/jason-arnott,2002-03,nhl,Jason Arnott,C,FW,0,0.0,0
Tomas Kaberle (D),Toronto Maple Leafs,82,11,36,47,0.57,30,20,https://www.eliteprospects.com/player/8542/tomas-kaberle,2002-03,nhl,Tomas Kaberle,D,DEF,0,0.0,0
Yanic Perreault (C),Montréal Canadiens,73,24,22,46,0.63,30,-11,https://www.eliteprospects.com/player/8912/yanic-perreault,2002-03,nhl,Yanic Perreault,C,FW,0,0.0,0
Bryan Smolinski (C),totals,68,21,25,46,0.68,20,0,https://www.eliteprospects.com/player/8887/bryan-smolinski,2002-03,nhl,Bryan Smolinski,C,FW,0,0.0,0
David Výborný (C),Columbus Blue Jackets,79,20,26,46,0.58,16,12,https://www.eliteprospects.com/player/1920/david-vyborny,2002-03,nhl,David Výborný,C,FW,0,0.0,0
Keith Primeau (C),Philadelphia Flyers,80,19,27,46,0.58,93,4,https://www.eliteprospects.com/player/8863/keith-primeau,2002-03,nhl,Keith Primeau,C,FW,Keith Primeau,21.0,1
Martin Straka (C),Pittsburgh Penguins,60,18,28,46,0.77,12,-18,https://www.eliteprospects.com/player/8689/martin-straka,2002-03,nhl,Martin Straka,C,FW,0,0.0,0
Andrew Brunette (LW),Minnesota Wild,82,18,28,46,0.56,30,-10,https://www.eliteprospects.com/player/9101/andrew-brunette,2002-03,nhl,Andrew Brunette,LW,FW,0,0.0,0
Ed Jovanovski (D),Vancouver Canucks,67,6,40,46,0.69,113,19,https://www.eliteprospects.com/player/9035/ed-jovanovski,2002-03,nhl,Ed Jovanovski,D,DEF,0,0.0,0
Dave Scatchard (C),New York Islanders,81,27,18,45,0.56,108,9,https://www.eliteprospects.com/player/8873/dave-scatchard,2002-03,nhl,Dave Scatchard,C,FW,0,0.0,0
Rob Blake (D),Colorado Avalanche,79,17,28,45,0.57,57,20,https://www.eliteprospects.com/player/8580/rob-blake,2002-03,nhl,Rob Blake,D,DEF,0,0.0,0
Joe Nieuwendyk (C),New Jersey Devils,80,17,28,45,0.56,56,10,https://www.eliteprospects.com/player/8950/joe-nieuwendyk,2002-03,nhl,Joe Nieuwendyk,C,FW,0,0.0,0
Nikolai Antropov (C/RW),Toronto Maple Leafs,72,16,29,45,0.63,124,11,https://www.eliteprospects.com/player/8657/nikolai-antropov,2002-03,nhl,Nikolai Antropov,C/RW,FW,0,0.0,0
Chris Gratton (C),totals,80,15,30,45,0.56,107,-16,https://www.eliteprospects.com/player/9167/chris-gratton,2002-03,nhl,Chris Gratton,C,FW,0,0.0,0
Wade Redden (D),Ottawa Senators,76,10,35,45,0.59,70,23,https://www.eliteprospects.com/player/8931/wade-redden,2002-03,nhl,Wade Redden,D,DEF,0,0.0,0
Adam Oates (C),Mighty Ducks of Anaheim,67,9,36,45,0.67,16,-1,https://www.eliteprospects.com/player/21367/adam-oates,2002-03,nhl,Adam Oates,C,FW,0,0.0,0
Jaroslav Spacek (D),Columbus Blue Jackets,81,9,36,45,0.56,80,-23,https://www.eliteprospects.com/player/1668/jaroslav-spacek,2002-03,nhl,Jaroslav Spacek,D,DEF,0,0.0,0
Robert Svehla (D),Toronto Maple Leafs,82,7,38,45,0.55,46,13,https://www.eliteprospects.com/player/1909/robert-svehla,2002-03,nhl,Robert Svehla,D,DEF,0,0.0,0
Michal Handzus (C),Philadelphia Flyers,82,23,21,44,0.54,46,13,https://www.eliteprospects.com/player/8683/michal-handzus,2002-03,nhl,Michal Handzus,C,FW,0,0.0,0
Éric Dazé (LW),Chicago Blackhawks,54,22,22,44,0.81,14,10,https://www.eliteprospects.com/player/9131/eric-daze,2002-03,nhl,Éric Dazé,LW,FW,0,0.0,0
Henrik Zetterberg (C),Detroit Red Wings,79,22,22,44,0.56,8,6,https://www.eliteprospects.com/player/285/henrik-zetterberg,2002-03,nhl,Henrik Zetterberg,C,FW,0,0.0,0
Sandis Ozolins (D),totals,82,12,32,44,0.54,56,-6,https://www.eliteprospects.com/player/8690/sandis-ozolins,2002-03,nhl,Sandis Ozolins,D,DEF,0,0.0,0
Brenden Morrow (LW),Dallas Stars,71,21,22,43,0.61,134,20,https://www.eliteprospects.com/player/8960/brenden-morrow,2002-03,nhl,Brenden Morrow,LW,FW,0,0.0,0
Kristian Huselius (LW),Florida Panthers,78,20,23,43,0.55,20,-6,https://www.eliteprospects.com/player/691/kristian-huselius,2002-03,nhl,Kristian Huselius,LW,FW,0,0.0,0
Mike Sillinger (C),Columbus Blue Jackets,75,18,25,43,0.57,52,-21,https://www.eliteprospects.com/player/8881/mike-sillinger,2002-03,nhl,Mike Sillinger,C,FW,0,0.0,0
Jan Hrdina (C),totals,61,14,29,43,0.70,42,4,https://www.eliteprospects.com/player/8623/jan-hrdina,2002-03,nhl,Jan Hrdina,C,FW,0,0.0,0
Igor Larionov (C),Detroit Red Wings,74,10,33,43,0.58,48,-7,https://www.eliteprospects.com/player/7142/igor-larionov,2002-03,nhl,Igor Larionov,C,FW,0,0.0,0
Scott Young (RW),Dallas Stars,79,23,19,42,0.53,30,24,https://www.eliteprospects.com/player/8797/scott-young,2002-03,nhl,Scott Young,RW,FW,0,0.0,0
Sergejs Zoltoks (C),Minnesota Wild,78,16,26,42,0.54,18,1,https://www.eliteprospects.com/player/42946/sergejs-zoltoks,2002-03,nhl,Sergejs Zoltoks,C,FW,0,0.0,0
Kyle Calder (LW),Chicago Blackhawks,82,15,27,42,0.51,40,-6,https://www.eliteprospects.com/player/5671/kyle-calder,2002-03,nhl,Kyle Calder,LW,FW,0,0.0,0
Matt Cooke (LW),Vancouver Canucks,82,15,27,42,0.51,82,21,https://www.eliteprospects.com/player/8549/matt-cooke,2002-03,nhl,Matt Cooke,LW,FW,0,0.0,0
Michael Peca (C),New York Islanders,66,13,29,42,0.64,43,-4,https://www.eliteprospects.com/player/8910/michael-peca,2002-03,nhl,Michael Peca,C,FW,0,0.0,0
Shawn Bates (C),New York Islanders,74,13,29,42,0.57,52,-9,https://www.eliteprospects.com/player/9075/shawn-bates,2002-03,nhl,Shawn Bates,C,FW,0,0.0,0
Pierre Turgeon (C),Dallas Stars,65,12,30,42,0.65,18,4,https://www.eliteprospects.com/player/8860/pierre-turgeon,2002-03,nhl,Pierre Turgeon,C,FW,0,0.0,0
Robert Reichel (C),Toronto Maple Leafs,81,12,30,42,0.52,26,7,https://www.eliteprospects.com/player/10850/robert-reichel,2002-03,nhl,Robert Reichel,C,FW,0,0.0,0
Trevor Linden (C),Vancouver Canucks,71,19,22,41,0.58,30,-1,https://www.eliteprospects.com/player/8551/trevor-linden,2002-03,nhl,Trevor Linden,C,FW,0,0.0,0
