player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Daniel Sedin (LW),Vancouver Canucks,82,41,63,104,1.27,32,30,https://www.eliteprospects.com/player/737/daniel-sedin,2010-11,nhl,Daniel Sedin,LW,FW,Daniel Sedin,9.0,1
Martin St-Louis (RW),Tampa Bay Lightning,82,31,68,99,1.21,12,0,https://www.eliteprospects.com/player/8772/martin-st-louis,2010-11,nhl,Martin St-Louis,RW,FW,0,0.0,0
Corey Perry (RW),Anaheim Ducks,82,50,48,98,1.20,104,9,https://www.eliteprospects.com/player/8541/corey-perry,2010-11,nhl,Corey Perry,RW,FW,0,0.0,0
Henrik Sedin (C),Vancouver Canucks,82,19,75,94,1.15,40,26,https://www.eliteprospects.com/player/738/henrik-sedin,2010-11,nhl,Henrik Sedin,C,FW,0,0.0,0
Steven Stamkos (C/W),Tampa Bay Lightning,82,45,46,91,1.11,74,3,https://www.eliteprospects.com/player/11113/steven-stamkos,2010-11,nhl,Steven Stamkos,C/W,FW,0,0.0,0
Jarome Iginla (RW),Calgary Flames,82,43,43,86,1.05,40,0,https://www.eliteprospects.com/player/9036/jarome-iginla,2010-11,nhl,Jarome Iginla,RW,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,79,32,53,85,1.08,41,24,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2010-11,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Teemu Selänne (RW),Anaheim Ducks,73,31,49,80,1.10,49,6,https://www.eliteprospects.com/player/2683/teemu-selanne,2010-11,nhl,Teemu Selänne,RW,FW,0,0.0,0
Henrik Zetterberg (C),Detroit Red Wings,80,24,56,80,1.00,40,-1,https://www.eliteprospects.com/player/285/henrik-zetterberg,2010-11,nhl,Henrik Zetterberg,C,FW,0,0.0,0
Brad Richards (C),Dallas Stars,72,28,49,77,1.07,24,1,https://www.eliteprospects.com/player/4723/brad-richards,2010-11,nhl,Brad Richards,C,FW,0,0.0,0
Eric Staal (C),Carolina Hurricanes,81,33,43,76,0.94,72,-10,https://www.eliteprospects.com/player/3656/eric-staal,2010-11,nhl,Eric Staal,C,FW,0,0.0,0
Jonathan Toews (C),Chicago Blackhawks,80,32,44,76,0.95,26,25,https://www.eliteprospects.com/player/8792/jonathan-toews,2010-11,nhl,Jonathan Toews,C,FW,0,0.0,0
Claude Giroux (W/C),Philadelphia Flyers,82,25,51,76,0.93,47,20,https://www.eliteprospects.com/player/10437/claude-giroux,2010-11,nhl,Claude Giroux,W/C,FW,Claude Giroux,4.0,1
Ryan Getzlaf (C),Anaheim Ducks,67,19,57,76,1.13,35,14,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2010-11,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Ryan Kesler (C),Vancouver Canucks,82,41,32,73,0.89,66,24,https://www.eliteprospects.com/player/9014/ryan-kesler,2010-11,nhl,Ryan Kesler,C,FW,0,0.0,0
Patrick Marleau (LW),San Jose Sharks,82,37,36,73,0.89,16,-3,https://www.eliteprospects.com/player/3671/patrick-marleau,2010-11,nhl,Patrick Marleau,LW,FW,0,0.0,0
Thomas Vanek (LW/RW),Buffalo Sabres,80,32,41,73,0.91,24,2,https://www.eliteprospects.com/player/8493/thomas-vanek,2010-11,nhl,Thomas Vanek,LW/RW,FW,0,0.0,0
Patrick Kane (RW),Chicago Blackhawks,73,27,46,73,1.00,28,7,https://www.eliteprospects.com/player/9326/patrick-kane,2010-11,nhl,Patrick Kane,RW,FW,0,0.0,0
Loui Eriksson (LW/RW),Dallas Stars,79,27,46,73,0.92,8,10,https://www.eliteprospects.com/player/683/loui-eriksson,2010-11,nhl,Loui Eriksson,LW/RW,FW,0,0.0,0
