player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Jamie Benn (LW),Dallas Stars,82,35,52,87,1.06,64,1,https://www.eliteprospects.com/player/15399/jamie-benn,2014-15,nhl,Jamie Benn,LW,FW,0,0.0,0
John Tavares (C),New York Islanders,82,38,48,86,1.05,46,5,https://www.eliteprospects.com/player/9223/john-tavares,2014-15,nhl,John Tavares,C,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,77,28,56,84,1.09,47,5,https://www.eliteprospects.com/player/6146/sidney-crosby,2014-15,nhl,Sidney Crosby,C,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,81,53,28,81,1.00,58,10,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2014-15,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Jakub Voracek (RW),Philadelphia Flyers,82,22,59,81,0.99,78,1,https://www.eliteprospects.com/player/9285/jakub-voracek,2014-15,nhl,Jakub Voracek,RW,FW,0,0.0,0
Nicklas Bäckström (C),Washington Capitals,82,18,60,78,0.95,40,5,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2014-15,nhl,Nicklas Bäckström,C,FW,0,0.0,0
Tyler Seguin (C/RW),Dallas Stars,71,37,40,77,1.08,20,-1,https://www.eliteprospects.com/player/23807/tyler-seguin,2014-15,nhl,Tyler Seguin,C/RW,FW,0,0.0,0
Jiri Hudler (LW),Calgary Flames,78,31,45,76,0.97,14,17,https://www.eliteprospects.com/player/6665/jiri-hudler,2014-15,nhl,Jiri Hudler,LW,FW,0,0.0,0
Daniel Sedin (LW),Vancouver Canucks,82,20,56,76,0.93,18,5,https://www.eliteprospects.com/player/737/daniel-sedin,2014-15,nhl,Daniel Sedin,LW,FW,0,0.0,0
Vladimir Tarasenko (RW),St. Louis Blues,77,37,36,73,0.95,31,27,https://www.eliteprospects.com/player/24787/vladimir-tarasenko,2014-15,nhl,Vladimir Tarasenko,RW,FW,0,0.0,0
Nick Foligno (LW/RW),Columbus Blue Jackets,79,31,42,73,0.92,50,16,https://www.eliteprospects.com/player/10675/nick-foligno,2014-15,nhl,Nick Foligno,LW/RW,FW,0,0.0,0
Claude Giroux (W/C),Philadelphia Flyers,81,25,48,73,0.90,36,-3,https://www.eliteprospects.com/player/10437/claude-giroux,2014-15,nhl,Claude Giroux,W/C,FW,0,0.0,0
Henrik Sedin (C),Vancouver Canucks,82,18,55,73,0.89,22,11,https://www.eliteprospects.com/player/738/henrik-sedin,2014-15,nhl,Henrik Sedin,C,FW,0,0.0,0
Steven Stamkos (C/W),Tampa Bay Lightning,82,43,29,72,0.88,49,2,https://www.eliteprospects.com/player/11113/steven-stamkos,2014-15,nhl,Steven Stamkos,C/W,FW,0,0.0,0
Tyler Johnson (C),Tampa Bay Lightning,77,29,43,72,0.94,24,33,https://www.eliteprospects.com/player/12078/tyler-johnson,2014-15,nhl,Tyler Johnson,C,FW,0,0.0,0
Ryan Johansen (C),Columbus Blue Jackets,82,26,45,71,0.87,40,-6,https://www.eliteprospects.com/player/45512/ryan-johansen,2014-15,nhl,Ryan Johansen,C,FW,0,0.0,0
Joe Pavelski (C/RW),San Jose Sharks,82,37,33,70,0.85,29,12,https://www.eliteprospects.com/player/10372/joe-pavelski,2014-15,nhl,Joe Pavelski,C/RW,FW,0,0.0,0
Yevgeni Malkin (C),Pittsburgh Penguins,69,28,42,70,1.01,60,-2,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2014-15,nhl,Yevgeni Malkin,C,FW,0,0.0,0
Ryan Getzlaf (C),Anaheim Ducks,77,25,45,70,0.91,62,15,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2014-15,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Rick Nash (LW/RW),New York Rangers,79,42,27,69,0.87,36,29,https://www.eliteprospects.com/player/3658/rick-nash,2014-15,nhl,Rick Nash,LW/RW,FW,0,0.0,0
Max Pacioretty (LW),Montréal Canadiens,80,37,30,67,0.84,32,38,https://www.eliteprospects.com/player/12461/max-pacioretty,2014-15,nhl,Max Pacioretty,LW,FW,0,0.0,0
Logan Couture (C),San Jose Sharks,82,27,40,67,0.82,12,-6,https://www.eliteprospects.com/player/11109/logan-couture,2014-15,nhl,Logan Couture,C,FW,0,0.0,0
Jonathan Toews (C),Chicago Blackhawks,81,28,38,66,0.81,36,30,https://www.eliteprospects.com/player/8792/jonathan-toews,2014-15,nhl,Jonathan Toews,C,FW,0,0.0,0
Erik Karlsson (D),Ottawa Senators,82,21,45,66,0.80,42,7,https://www.eliteprospects.com/player/9878/erik-karlsson,2014-15,nhl,Erik Karlsson,D,DEF,0,0.0,0
Henrik Zetterberg (C),Detroit Red Wings,77,17,49,66,0.86,32,-6,https://www.eliteprospects.com/player/285/henrik-zetterberg,2014-15,nhl,Henrik Zetterberg,C,FW,0,0.0,0
Nikita Kucherov (RW),Tampa Bay Lightning,82,29,36,65,0.79,37,38,https://www.eliteprospects.com/player/77237/nikita-kucherov,2014-15,nhl,Nikita Kucherov,RW,FW,0,0.0,0
