player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Yevgeni Malkin (C),Pittsburgh Penguins,75,50,59,109,1.45,70,18,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2011-12,nhl,Yevgeni Malkin,C,FW,0,0.0,0
Steven Stamkos (C/W),Tampa Bay Lightning,82,60,37,97,1.18,66,7,https://www.eliteprospects.com/player/11113/steven-stamkos,2011-12,nhl,Steven Stamkos,C/W,FW,0,0.0,0
Claude Giroux (W/C),Philadelphia Flyers,77,28,65,93,1.21,29,6,https://www.eliteprospects.com/player/10437/claude-giroux,2011-12,nhl,Claude Giroux,W/C,FW,0,0.0,0
Jason Spezza (C),Ottawa Senators,80,34,50,84,1.05,36,11,https://www.eliteprospects.com/player/3661/jason-spezza,2011-12,nhl,Jason Spezza,C,FW,0,0.0,0
Ilya Kovalchuk (LW/RW),New Jersey Devils,77,37,46,83,1.08,33,-9,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2011-12,nhl,Ilya Kovalchuk,LW/RW,FW,0,0.0,0
Phil Kessel (RW/C),Toronto Maple Leafs,82,37,45,82,1.00,20,-10,https://www.eliteprospects.com/player/8793/phil-kessel,2011-12,nhl,Phil Kessel,RW/C,FW,0,0.0,0
James Neal (LW/RW),Pittsburgh Penguins,80,40,41,81,1.01,87,6,https://www.eliteprospects.com/player/9362/james-neal,2011-12,nhl,James Neal,LW/RW,FW,James Neal,8.0,1
John Tavares (C),New York Islanders,82,31,50,81,0.99,26,-6,https://www.eliteprospects.com/player/9223/john-tavares,2011-12,nhl,John Tavares,C,FW,0,0.0,0
Henrik Sedin (C),Vancouver Canucks,82,14,67,81,0.99,52,23,https://www.eliteprospects.com/player/738/henrik-sedin,2011-12,nhl,Henrik Sedin,C,FW,0,0.0,0
Patrik Elias (LW),New Jersey Devils,81,26,52,78,0.96,16,-8,https://www.eliteprospects.com/player/8698/patrik-elias,2011-12,nhl,Patrik Elias,LW,FW,0,0.0,0
Erik Karlsson (D),Ottawa Senators,81,19,59,78,0.96,42,16,https://www.eliteprospects.com/player/9878/erik-karlsson,2011-12,nhl,Erik Karlsson,D,DEF,0,0.0,0
Marián Hossa (RW),Chicago Blackhawks,81,29,48,77,0.95,20,18,https://www.eliteprospects.com/player/4720/marian-hossa,2011-12,nhl,Marián Hossa,RW,FW,0,0.0,0
Ray Whitney (LW),Phoenix Coyotes,82,24,53,77,0.94,28,26,https://www.eliteprospects.com/player/8824/ray-whitney,2011-12,nhl,Ray Whitney,LW,FW,0,0.0,0
Joe Thornton (C),San Jose Sharks,82,18,59,77,0.94,31,17,https://www.eliteprospects.com/player/3670/joe-thornton,2011-12,nhl,Joe Thornton,C,FW,0,0.0,0
Marián Gáborík (RW/LW),New York Rangers,82,41,35,76,0.93,34,15,https://www.eliteprospects.com/player/3665/marian-gaborik,2011-12,nhl,Marián Gáborík,RW/LW,FW,0,0.0,0
