player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Jordan Eberle (RW),Edmonton Oilers,78,34,42,76,0.97,10,4,https://www.eliteprospects.com/player/11098/jordan-eberle,2011-12,nhl,Jordan Eberle,RW,FW,0,0.0,0
Anze Kopitar (C),Los Angeles Kings,82,25,51,76,0.93,20,12,https://www.eliteprospects.com/player/4233/anze-kopitar,2011-12,nhl,Anze Kopitar,C,FW,0,0.0,0
Martin St-Louis (RW),Tampa Bay Lightning,77,25,49,74,0.96,16,-3,https://www.eliteprospects.com/player/8772/martin-st-louis,2011-12,nhl,Martin St-Louis,RW,FW,0,0.0,0
Jason Pominville (RW),Buffalo Sabres,82,30,43,73,0.89,12,-7,https://www.eliteprospects.com/player/8809/jason-pominville,2011-12,nhl,Jason Pominville,RW,FW,Jason Pominville,2.0,1
Loui Eriksson (LW/RW),Dallas Stars,82,26,45,71,0.87,12,18,https://www.eliteprospects.com/player/683/loui-eriksson,2011-12,nhl,Loui Eriksson,LW/RW,FW,0,0.0,0
Eric Staal (C),Carolina Hurricanes,82,24,46,70,0.85,48,-20,https://www.eliteprospects.com/player/3656/eric-staal,2011-12,nhl,Eric Staal,C,FW,0,0.0,0
Matt Moulson (LW/RW),New York Islanders,82,36,33,69,0.84,6,1,https://www.eliteprospects.com/player/9744/matt-moulson,2011-12,nhl,Matt Moulson,LW/RW,FW,0,0.0,0
Patrick Sharp (LW/RW),Chicago Blackhawks,74,33,36,69,0.93,38,28,https://www.eliteprospects.com/player/8880/patrick-sharp,2011-12,nhl,Patrick Sharp,LW/RW,FW,0,0.0,0
Zach Parise (LW/RW),New Jersey Devils,82,31,38,69,0.84,32,-5,https://www.eliteprospects.com/player/8903/zach-parise,2011-12,nhl,Zach Parise,LW/RW,FW,0,0.0,0
Henrik Zetterberg (C),Detroit Red Wings,82,22,47,69,0.84,47,14,https://www.eliteprospects.com/player/285/henrik-zetterberg,2011-12,nhl,Henrik Zetterberg,C,FW,0,0.0,0
Scott Hartnell (LW),Philadelphia Flyers,82,37,30,67,0.82,136,19,https://www.eliteprospects.com/player/8764/scott-hartnell,2011-12,nhl,Scott Hartnell,LW,FW,0,0.0,0
Jarome Iginla (RW),Calgary Flames,82,32,35,67,0.82,43,-10,https://www.eliteprospects.com/player/9036/jarome-iginla,2011-12,nhl,Jarome Iginla,RW,FW,0,0.0,0
Daniel Sedin (LW),Vancouver Canucks,72,30,37,67,0.93,40,14,https://www.eliteprospects.com/player/737/daniel-sedin,2011-12,nhl,Daniel Sedin,LW,FW,0,0.0,0
Tyler Seguin (C/RW),Boston Bruins,81,29,38,67,0.83,30,34,https://www.eliteprospects.com/player/23807/tyler-seguin,2011-12,nhl,Tyler Seguin,C/RW,FW,0,0.0,0
Joffrey Lupul (RW),Toronto Maple Leafs,66,25,42,67,1.02,48,1,https://www.eliteprospects.com/player/9001/joffrey-lupul,2011-12,nhl,Joffrey Lupul,RW,FW,Joffrey Lupul,5.0,1
Pavel Datsyuk (C),Detroit Red Wings,70,19,48,67,0.96,14,21,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2011-12,nhl,Pavel Datsyuk,C,FW,0,0.0,0
Pierre-Alexandre Parenteau (RW),New York Islanders,80,18,49,67,0.84,89,-8,https://www.eliteprospects.com/player/9520/pierre-alexandre-parenteau,2011-12,nhl,Pierre-Alexandre Parenteau,RW,FW,0,0.0,0
Teemu Selänne (RW),Anaheim Ducks,82,26,40,66,0.80,50,-1,https://www.eliteprospects.com/player/2683/teemu-selanne,2011-12,nhl,Teemu Selänne,RW,FW,0,0.0,0
Brad Richards (C),New York Rangers,82,25,41,66,0.80,22,-1,https://www.eliteprospects.com/player/4723/brad-richards,2011-12,nhl,Brad Richards,C,FW,0,0.0,0
Valtteri Filppula (C/LW),Detroit Red Wings,81,23,43,66,0.81,14,18,https://www.eliteprospects.com/player/3197/valtteri-filppula,2011-12,nhl,Valtteri Filppula,C/LW,FW,0,0.0,0
Patrick Kane (RW),Chicago Blackhawks,82,23,43,66,0.80,40,7,https://www.eliteprospects.com/player/9326/patrick-kane,2011-12,nhl,Patrick Kane,RW,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,78,38,27,65,0.83,26,-8,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2011-12,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Max Pacioretty (LW),Montréal Canadiens,79,33,32,65,0.82,56,2,https://www.eliteprospects.com/player/12461/max-pacioretty,2011-12,nhl,Max Pacioretty,LW,FW,0,0.0,0
Logan Couture (C),San Jose Sharks,80,31,34,65,0.81,16,2,https://www.eliteprospects.com/player/11109/logan-couture,2011-12,nhl,Logan Couture,C,FW,0,0.0,0
Teddy Purcell (LW/RW),Tampa Bay Lightning,81,24,41,65,0.80,16,9,https://www.eliteprospects.com/player/14179/teddy-purcell,2011-12,nhl,Teddy Purcell,LW/RW,FW,0,0.0,0
Patrick Marleau (LW),San Jose Sharks,82,30,34,64,0.78,26,10,https://www.eliteprospects.com/player/3671/patrick-marleau,2011-12,nhl,Patrick Marleau,LW,FW,0,0.0,0
Patrice Bergeron (C),Boston Bruins,81,22,42,64,0.79,20,36,https://www.eliteprospects.com/player/9079/patrice-bergeron,2011-12,nhl,Patrice Bergeron,C,FW,Patrice Bergeron,6.0,1
Blake Wheeler (RW/C),Winnipeg Jets,80,17,47,64,0.80,55,3,https://www.eliteprospects.com/player/9215/blake-wheeler,2011-12,nhl,Blake Wheeler,RW/C,FW,0,0.0,0
Jamie Benn (LW),Dallas Stars,71,26,37,63,0.89,55,15,https://www.eliteprospects.com/player/15399/jamie-benn,2011-12,nhl,Jamie Benn,LW,FW,0,0.0,0
Mike Ribeiro (C),Dallas Stars,74,18,45,63,0.85,66,5,https://www.eliteprospects.com/player/8715/mike-ribeiro,2011-12,nhl,Mike Ribeiro,C,FW,0,0.0,0
Radim Vrbata (RW),Phoenix Coyotes,77,35,27,62,0.81,24,24,https://www.eliteprospects.com/player/8626/radim-vrbata,2011-12,nhl,Radim Vrbata,RW,FW,0,0.0,0
Michael Ryder (RW),Dallas Stars,82,35,27,62,0.76,46,17,https://www.eliteprospects.com/player/4487/michael-ryder,2011-12,nhl,Michael Ryder,RW,FW,0,0.0,0
David Krejci (C),Boston Bruins,79,23,39,62,0.78,36,-5,https://www.eliteprospects.com/player/9226/david-krejci,2011-12,nhl,David Krejci,C,FW,0,0.0,0
Erik Cole (LW),Montréal Canadiens,82,35,26,61,0.74,48,11,https://www.eliteprospects.com/player/8732/erik-cole,2011-12,nhl,Erik Cole,LW,FW,0,0.0,0
Joe Pavelski (C/RW),San Jose Sharks,82,31,30,61,0.74,31,18,https://www.eliteprospects.com/player/10372/joe-pavelski,2011-12,nhl,Joe Pavelski,C/RW,FW,0,0.0,0
Tomas Fleischmann (LW),Florida Panthers,82,27,34,61,0.74,26,-7,https://www.eliteprospects.com/player/9613/tomas-fleischmann,2011-12,nhl,Tomas Fleischmann,LW,FW,0,0.0,0
Thomas Vanek (LW/RW),Buffalo Sabres,78,26,35,61,0.78,52,-6,https://www.eliteprospects.com/player/8493/thomas-vanek,2011-12,nhl,Thomas Vanek,LW/RW,FW,0,0.0,0
Milan Lucic (LW),Boston Bruins,81,26,35,61,0.75,135,7,https://www.eliteprospects.com/player/11104/milan-lucic,2011-12,nhl,Milan Lucic,LW,FW,0,0.0,0
Chris Kunitz (LW),Pittsburgh Penguins,82,26,35,61,0.74,49,16,https://www.eliteprospects.com/player/8523/chris-kunitz,2011-12,nhl,Chris Kunitz,LW,FW,0,0.0,0
Olli Jokinen (C),Calgary Flames,82,23,38,61,0.74,54,-12,https://www.eliteprospects.com/player/2679/olli-jokinen,2011-12,nhl,Olli Jokinen,C,FW,0,0.0,0
Corey Perry (RW),Anaheim Ducks,80,37,23,60,0.75,127,-7,https://www.eliteprospects.com/player/8541/corey-perry,2011-12,nhl,Corey Perry,RW,FW,0,0.0,0
Milan Michálek (LW/RW),Ottawa Senators,77,35,25,60,0.78,32,4,https://www.eliteprospects.com/player/8586/milan-michalek,2011-12,nhl,Milan Michálek,LW/RW,FW,0,0.0,0
David Desharnais (C/LW),Montréal Canadiens,81,16,44,60,0.74,24,10,https://www.eliteprospects.com/player/11122/david-desharnais,2011-12,nhl,David Desharnais,C/LW,FW,0,0.0,0
Rick Nash (LW/RW),Columbus Blue Jackets,82,30,29,59,0.72,40,-19,https://www.eliteprospects.com/player/3658/rick-nash,2011-12,nhl,Rick Nash,LW/RW,FW,0,0.0,0
Daniel Alfredsson (RW),Ottawa Senators,75,27,32,59,0.79,18,16,https://www.eliteprospects.com/player/702/daniel-alfredsson,2011-12,nhl,Daniel Alfredsson,RW,FW,0,0.0,0
Pascal Dupuis (LW),Pittsburgh Penguins,82,25,34,59,0.72,34,18,https://www.eliteprospects.com/player/8789/pascal-dupuis,2011-12,nhl,Pascal Dupuis,LW,FW,0,0.0,0
Justin Williams (RW),Los Angeles Kings,82,22,37,59,0.72,44,10,https://www.eliteprospects.com/player/4506/justin-williams,2011-12,nhl,Justin Williams,RW,FW,0,0.0,0
Martin Erat (RW/LW),Nashville Predators,71,19,39,58,0.82,30,12,https://www.eliteprospects.com/player/8611/martin-erat,2011-12,nhl,Martin Erat,RW/LW,FW,0,0.0,0
Bobby Ryan (RW/LW),Anaheim Ducks,82,31,26,57,0.70,53,1,https://www.eliteprospects.com/player/9210/bobby-ryan,2011-12,nhl,Bobby Ryan,RW/LW,FW,0,0.0,0
Evander Kane (LW),Winnipeg Jets,74,30,27,57,0.77,53,11,https://www.eliteprospects.com/player/14657/evander-kane,2011-12,nhl,Evander Kane,LW,FW,0,0.0,0
Jonathan Toews (C),Chicago Blackhawks,59,29,28,57,0.97,28,17,https://www.eliteprospects.com/player/8792/jonathan-toews,2011-12,nhl,Jonathan Toews,C,FW,0,0.0,0
Stephen Weiss (C),Florida Panthers,80,20,37,57,0.71,60,5,https://www.eliteprospects.com/player/8817/stephen-weiss,2011-12,nhl,Stephen Weiss,C,FW,0,0.0,0
Ryan Getzlaf (C),Anaheim Ducks,82,11,46,57,0.70,75,-11,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2011-12,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Johan Franzén (LW),Detroit Red Wings,77,29,27,56,0.73,40,23,https://www.eliteprospects.com/player/158/johan-franzen,2011-12,nhl,Johan Franzén,LW,FW,0,0.0,0
Brad Marchand (W/C),Boston Bruins,76,28,27,55,0.72,87,31,https://www.eliteprospects.com/player/10439/brad-marchand,2011-12,nhl,Brad Marchand,W/C,FW,Brad Marchand,2.0,1
Ryan O'Reilly (C),Colorado Avalanche,81,18,37,55,0.68,12,-1,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2011-12,nhl,Ryan O'Reilly,C,FW,0,0.0,0
Václav Prospal (LW/C),Columbus Blue Jackets,82,16,39,55,0.67,36,-11,https://www.eliteprospects.com/player/8641/vaclav-prospal,2011-12,nhl,Václav Prospal,LW/C,FW,0,0.0,0
Ryan Callahan (RW),New York Rangers,76,29,25,54,0.71,61,-8,https://www.eliteprospects.com/player/9437/ryan-callahan,2011-12,nhl,Ryan Callahan,RW,FW,0,0.0,0
David Backes (RW/C),St. Louis Blues,82,24,30,54,0.66,101,15,https://www.eliteprospects.com/player/11435/david-backes,2011-12,nhl,David Backes,RW/C,FW,0,0.0,0
Kris Versteeg (RW/LW),Florida Panthers,71,23,31,54,0.76,49,4,https://www.eliteprospects.com/player/9486/kris-versteeg,2011-12,nhl,Kris Versteeg,RW/LW,FW,0,0.0,0
Dustin Brown (RW/LW),Los Angeles Kings,82,22,32,54,0.66,53,18,https://www.eliteprospects.com/player/9099/dustin-brown,2011-12,nhl,Dustin Brown,RW/LW,FW,0,0.0,0
Alexander Syomin (RW/LW),Washington Capitals,77,21,33,54,0.70,56,9,https://www.eliteprospects.com/player/8633/alexander-syomin,2011-12,nhl,Alexander Syomin,RW/LW,FW,0,0.0,0
Jaromír Jágr (RW),Philadelphia Flyers,73,19,35,54,0.74,30,5,https://www.eliteprospects.com/player/8627/jaromir-jagr,2011-12,nhl,Jaromír Jágr,RW,FW,0,0.0,0
T.J. Oshie (RW),St. Louis Blues,80,19,35,54,0.68,50,15,https://www.eliteprospects.com/player/9209/t.j.-oshie,2011-12,nhl,T.J. Oshie,RW,FW,0,0.0,0
Taylor Hall (LW),Edmonton Oilers,61,27,26,53,0.87,36,-3,https://www.eliteprospects.com/player/14360/taylor-hall,2011-12,nhl,Taylor Hall,LW,FW,0,0.0,0
Dany Heatley (LW/RW),Minnesota Wild,82,24,29,53,0.65,28,2,https://www.eliteprospects.com/player/3664/dany-heatley,2011-12,nhl,Dany Heatley,LW/RW,FW,0,0.0,0
Paul Stastny (C),Colorado Avalanche,79,21,32,53,0.67,34,-8,https://www.eliteprospects.com/player/10212/paul-stastny,2011-12,nhl,Paul Stastny,C,FW,0,0.0,0
David Legwand (C),Nashville Predators,78,19,34,53,0.68,26,3,https://www.eliteprospects.com/player/3668/david-legwand,2011-12,nhl,David Legwand,C,FW,0,0.0,0
Dustin Byfuglien (D),Winnipeg Jets,66,12,41,53,0.80,72,-8,https://www.eliteprospects.com/player/10667/dustin-byfuglien,2011-12,nhl,Dustin Byfuglien,D,DEF,0,0.0,0
Brian Campbell (D),Florida Panthers,82,4,49,53,0.65,6,-9,https://www.eliteprospects.com/player/8565/brian-campbell,2011-12,nhl,Brian Campbell,D,DEF,0,0.0,0
Alexandre Burrows (RW/LW),Vancouver Canucks,80,28,24,52,0.65,90,24,https://www.eliteprospects.com/player/10224/alexandre-burrows,2011-12,nhl,Alexandre Burrows,RW/LW,FW,0,0.0,0
Gabriel Landeskog (LW/RW),Colorado Avalanche,82,22,30,52,0.63,51,20,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2011-12,nhl,Gabriel Landeskog,LW/RW,FW,Gabriel Landeskog,11.0,1
Ryan Nugent-Hopkins (C),Edmonton Oilers,62,18,34,52,0.84,16,-2,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,2011-12,nhl,Ryan Nugent-Hopkins,C,FW,0,0.0,0
Tomas Plekanec (C),Montréal Canadiens,81,17,35,52,0.64,56,-15,https://www.eliteprospects.com/player/8668/tomas-plekanec,2011-12,nhl,Tomas Plekanec,C,FW,0,0.0,0
Zdeno Chára (D),Boston Bruins,79,12,40,52,0.66,86,33,https://www.eliteprospects.com/player/4530/zdeno-chara,2011-12,nhl,Zdeno Chára,D,DEF,0,0.0,0
Mike Fisher (C),Nashville Predators,72,24,27,51,0.71,33,11,https://www.eliteprospects.com/player/8771/mike-fisher,2011-12,nhl,Mike Fisher,C,FW,0,0.0,0
Mikhail Grabovski (C),Toronto Maple Leafs,74,23,28,51,0.69,51,0,https://www.eliteprospects.com/player/9351/mikhail-grabovski,2011-12,nhl,Mikhail Grabovski,C,FW,0,0.0,0
Derek Stepan (C),New York Rangers,82,17,34,51,0.62,22,14,https://www.eliteprospects.com/player/19040/derek-stepan,2011-12,nhl,Derek Stepan,C,FW,0,0.0,0
Adam Henrique (C/LW),New Jersey Devils,74,16,35,51,0.69,7,8,https://www.eliteprospects.com/player/19043/adam-henrique,2011-12,nhl,Adam Henrique,C/LW,FW,0,0.0,0
Alex Pietrangelo (D),St. Louis Blues,81,12,39,51,0.63,36,16,https://www.eliteprospects.com/player/11317/alex-pietrangelo,2011-12,nhl,Alex Pietrangelo,D,DEF,0,0.0,0
Andrew Ladd (LW),Winnipeg Jets,82,28,22,50,0.61,64,-8,https://www.eliteprospects.com/player/6668/andrew-ladd,2011-12,nhl,Andrew Ladd,LW,FW,0,0.0,0
Jordan Staal (C),Pittsburgh Penguins,62,25,25,50,0.81,34,11,https://www.eliteprospects.com/player/10157/jordan-staal,2011-12,nhl,Jordan Staal,C,FW,0,0.0,0
Jiri Hudler (LW),Detroit Red Wings,81,25,25,50,0.62,42,10,https://www.eliteprospects.com/player/6665/jiri-hudler,2011-12,nhl,Jiri Hudler,LW,FW,0,0.0,0
Shane Doan (RW),Phoenix Coyotes,79,22,28,50,0.63,48,-8,https://www.eliteprospects.com/player/9137/shane-doan,2011-12,nhl,Shane Doan,RW,FW,0,0.0,0
Drew Stafford (RW),Buffalo Sabres,80,20,30,50,0.63,46,5,https://www.eliteprospects.com/player/9180/drew-stafford,2011-12,nhl,Drew Stafford,RW,FW,0,0.0,0
Wayne Simmonds (RW),Philadelphia Flyers,82,28,21,49,0.60,114,-1,https://www.eliteprospects.com/player/12517/wayne-simmonds,2011-12,nhl,Wayne Simmonds,RW,FW,Wayne Simmonds,3.0,1
Vincent Lecavalier (C),Tampa Bay Lightning,64,22,27,49,0.77,50,-2,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2011-12,nhl,Vincent Lecavalier,C,FW,0,0.0,0
Ryan Kesler (C),Vancouver Canucks,77,22,27,49,0.64,56,11,https://www.eliteprospects.com/player/9014/ryan-kesler,2011-12,nhl,Ryan Kesler,C,FW,0,0.0,0
Shea Weber (D),Nashville Predators,78,19,30,49,0.63,46,21,https://www.eliteprospects.com/player/9505/shea-weber,2011-12,nhl,Shea Weber,D,DEF,0,0.0,0
Jakub Voracek (RW),Philadelphia Flyers,78,18,31,49,0.63,32,11,https://www.eliteprospects.com/player/9285/jakub-voracek,2011-12,nhl,Jakub Voracek,RW,FW,0,0.0,0
Daniel Brière (C),Philadelphia Flyers,70,16,33,49,0.70,69,5,https://www.eliteprospects.com/player/8770/daniel-briere,2011-12,nhl,Daniel Brière,C,FW,0,0.0,0
Alex Tanguay (LW),Calgary Flames,64,13,36,49,0.77,28,7,https://www.eliteprospects.com/player/8779/alex-tanguay,2011-12,nhl,Alex Tanguay,LW,FW,0,0.0,0
Alexander Edler (D),Vancouver Canucks,82,11,38,49,0.60,34,0,https://www.eliteprospects.com/player/4081/alexander-edler,2011-12,nhl,Alexander Edler,D,DEF,0,0.0,0
Curtis Glencross (LW),Calgary Flames,67,26,22,48,0.72,62,-13,https://www.eliteprospects.com/player/10984/curtis-glencross,2011-12,nhl,Curtis Glencross,LW,FW,0,0.0,0
Ryan Malone (LW),Tampa Bay Lightning,68,20,28,48,0.71,82,-11,https://www.eliteprospects.com/player/8721/ryan-malone,2011-12,nhl,Ryan Malone,LW,FW,0,0.0,0
Steve Sullivan (LW),Pittsburgh Penguins,79,17,31,48,0.61,20,-3,https://www.eliteprospects.com/player/8896/steve-sullivan,2011-12,nhl,Steve Sullivan,LW,FW,0,0.0,0
Dan Boyle (D),San Jose Sharks,81,9,39,48,0.59,57,10,https://www.eliteprospects.com/player/5369/dan-boyle,2011-12,nhl,Dan Boyle,D,DEF,0,0.0,0
Matt Read (RW/LW),Philadelphia Flyers,79,24,23,47,0.59,12,13,https://www.eliteprospects.com/player/33243/matt-read,2011-12,nhl,Matt Read,RW/LW,FW,0,0.0,0
Tyler Bozak (C),Toronto Maple Leafs,73,18,29,47,0.64,22,-7,https://www.eliteprospects.com/player/11589/tyler-bozak,2011-12,nhl,Tyler Bozak,C,FW,0,0.0,0
Sam Gagner (C/RW),Edmonton Oilers,75,18,29,47,0.63,36,5,https://www.eliteprospects.com/player/10425/sam-gagner,2011-12,nhl,Sam Gagner,C/RW,FW,0,0.0,0
Kyle Wellwood (C),Winnipeg Jets,77,18,29,47,0.61,4,3,https://www.eliteprospects.com/player/8818/kyle-wellwood,2011-12,nhl,Kyle Wellwood,C,FW,0,0.0,0
Frans Nielsen (C),New York Islanders,82,17,30,47,0.57,6,-3,https://www.eliteprospects.com/player/210/frans-nielsen,2011-12,nhl,Frans Nielsen,C,FW,0,0.0,0
Nick Foligno (LW/RW),Ottawa Senators,82,15,32,47,0.57,124,2,https://www.eliteprospects.com/player/10675/nick-foligno,2011-12,nhl,Nick Foligno,LW/RW,FW,0,0.0,0
Mark Streit (D),New York Islanders,82,7,40,47,0.57,46,-27,https://www.eliteprospects.com/player/4092/mark-streit,2011-12,nhl,Mark Streit,D,DEF,0,0.0,0
David Clarkson (RW),New Jersey Devils,80,30,16,46,0.58,138,-8,https://www.eliteprospects.com/player/11018/david-clarkson,2011-12,nhl,David Clarkson,RW,FW,0,0.0,0
Bryan Little (C),Winnipeg Jets,74,24,22,46,0.62,26,-11,https://www.eliteprospects.com/player/10426/bryan-little,2011-12,nhl,Bryan Little,C,FW,0,0.0,0
Ryan Smyth (LW),Edmonton Oilers,82,19,27,46,0.56,82,-5,https://www.eliteprospects.com/player/8888/ryan-smyth,2011-12,nhl,Ryan Smyth,LW,FW,0,0.0,0
Marcus Johansson (C/LW),Washington Capitals,80,14,32,46,0.58,8,-5,https://www.eliteprospects.com/player/6225/marcus-johansson,2011-12,nhl,Marcus Johansson,C/LW,FW,0,0.0,0
Jussi Jokinen (W/C),Carolina Hurricanes,79,12,34,46,0.58,54,-2,https://www.eliteprospects.com/player/2716/jussi-jokinen,2011-12,nhl,Jussi Jokinen,W/C,FW,0,0.0,0
Dennis Wideman (D),Washington Capitals,82,11,35,46,0.56,46,-8,https://www.eliteprospects.com/player/8826/dennis-wideman,2011-12,nhl,Dennis Wideman,D,DEF,0,0.0,0
Ryan Suter (D),Nashville Predators,79,7,39,46,0.58,30,15,https://www.eliteprospects.com/player/8897/ryan-suter,2011-12,nhl,Ryan Suter,D,DEF,0,0.0,0
Kyle Okposo (RW/C),New York Islanders,79,24,21,45,0.57,46,-15,https://www.eliteprospects.com/player/10458/kyle-okposo,2011-12,nhl,Kyle Okposo,RW/C,FW,0,0.0,0
Ryane Clowe (LW),San Jose Sharks,76,17,28,45,0.59,97,-5,https://www.eliteprospects.com/player/9116/ryane-clowe,2011-12,nhl,Ryane Clowe,LW,FW,Ryane Clowe,1.0,1
Kyle Brodziak (C),Minnesota Wild,82,22,22,44,0.54,66,-15,https://www.eliteprospects.com/player/9097/kyle-brodziak,2011-12,nhl,Kyle Brodziak,C,FW,0,0.0,0
Petr Sýkora (RW),New Jersey Devils,82,21,23,44,0.54,40,4,https://www.eliteprospects.com/player/8692/petr-sykora,2011-12,nhl,Petr Sýkora,RW,FW,0,0.0,0
Jeff Skinner (LW/C),Carolina Hurricanes,64,20,24,44,0.69,56,-8,https://www.eliteprospects.com/player/23668/jeff-skinner,2011-12,nhl,Jeff Skinner,LW/C,FW,Jeff Skinner,5.0,1
Mike Richards (C),Los Angeles Kings,74,18,26,44,0.59,71,3,https://www.eliteprospects.com/player/8816/mike-richards,2011-12,nhl,Mike Richards,C,FW,0,0.0,0
Derek Roy (C),Buffalo Sabres,80,17,27,44,0.55,54,-7,https://www.eliteprospects.com/player/8810/derek-roy,2011-12,nhl,Derek Roy,C,FW,0,0.0,0
Dainius Zubrus (W/C),New Jersey Devils,82,17,27,44,0.54,34,7,https://www.eliteprospects.com/player/8632/dainius-zubrus,2011-12,nhl,Dainius Zubrus,W/C,FW,0,0.0,0
Nicklas Bäckström (C),Washington Capitals,42,14,30,44,1.05,24,-4,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2011-12,nhl,Nicklas Bäckström,C,FW,0,0.0,0
Mikko Koivu (C),Minnesota Wild,55,12,32,44,0.80,28,10,https://www.eliteprospects.com/player/2696/mikko-koivu,2011-12,nhl,Mikko Koivu,C,FW,0,0.0,0
Dion Phaneuf (D),Toronto Maple Leafs,82,12,32,44,0.54,92,-10,https://www.eliteprospects.com/player/8564/dion-phaneuf,2011-12,nhl,Dion Phaneuf,D,DEF,0,0.0,0
Kevin Bieksa (D),Vancouver Canucks,78,8,36,44,0.56,94,12,https://www.eliteprospects.com/player/9682/kevin-bieksa,2011-12,nhl,Kevin Bieksa,D,DEF,0,0.0,0
Patric Hörnqvist (RW),Nashville Predators,76,27,16,43,0.57,28,9,https://www.eliteprospects.com/player/3683/patric-hornqvist,2011-12,nhl,Patric Hörnqvist,RW,FW,0,0.0,0
Viktor Stålberg (LW/RW),Chicago Blackhawks,79,22,21,43,0.54,34,6,https://www.eliteprospects.com/player/4202/viktor-stalberg,2011-12,nhl,Viktor Stålberg,LW/RW,FW,0,0.0,0
Clarke MacArthur (LW),Toronto Maple Leafs,73,20,23,43,0.59,37,3,https://www.eliteprospects.com/player/8951/clarke-macarthur,2011-12,nhl,Clarke MacArthur,LW,FW,0,0.0,0
Chris Higgins (LW),Vancouver Canucks,71,18,25,43,0.61,16,11,https://www.eliteprospects.com/player/9051/chris-higgins,2011-12,nhl,Chris Higgins,LW,FW,0,0.0,0
Sergei Kostitsyn (RW/LW),Nashville Predators,75,17,26,43,0.57,34,8,https://www.eliteprospects.com/player/9653/sergei-kostitsyn,2011-12,nhl,Sergei Kostitsyn,RW/LW,FW,0,0.0,0
