player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Jon Kalinski (C/LW),Philadelphia Flyers,10,0,2,2,0.20,0,-2,https://www.eliteprospects.com/player/17719/jon-kalinski,2009-10,nhl,Jon Kalinski,C/LW,FW,0,0.0,0
Doug Janik (D),Detroit Red Wings,13,0,2,2,0.15,18,-3,https://www.eliteprospects.com/player/9027/doug-janik,2009-10,nhl,Doug Janik,D,DEF,0,0.0,0
Kyle Calder (LW),Anaheim Ducks,14,0,2,2,0.14,8,-7,https://www.eliteprospects.com/player/5671/kyle-calder,2009-10,nhl,Kyle Calder,LW,FW,0,0.0,0
Rich Clune (LW),Los Angeles Kings,14,0,2,2,0.14,26,1,https://www.eliteprospects.com/player/9364/rich-clune,2009-10,nhl,Rich Clune,LW,FW,0,0.0,0
Mark Parrish (RW),Tampa Bay Lightning,16,0,2,2,0.13,4,-5,https://www.eliteprospects.com/player/8905/mark-parrish,2009-10,nhl,Mark Parrish,RW,FW,0,0.0,0
Ryan White (C/RW),Montréal Canadiens,16,0,2,2,0.13,16,-6,https://www.eliteprospects.com/player/11050/ryan-white,2009-10,nhl,Ryan White,C/RW,FW,0,0.0,0
Ole-Kristian Tollefsen (D),Philadelphia Flyers,18,0,2,2,0.11,23,1,https://www.eliteprospects.com/player/3214/ole-kristian-tollefsen,2009-10,nhl,Ole-Kristian Tollefsen,D,DEF,0,0.0,0
Alexander Sulzer (D),Nashville Predators,20,0,2,2,0.10,4,4,https://www.eliteprospects.com/player/12396/alexander-sulzer,2009-10,nhl,Alexander Sulzer,D,DEF,0,0.0,0
Boris Valábik (D),Atlanta Thrashers,23,0,2,2,0.09,36,2,https://www.eliteprospects.com/player/9244/boris-valabik,2009-10,nhl,Boris Valábik,D,DEF,0,0.0,0
Pierre-Luc Létourneau-Leblond (LW/RW),New Jersey Devils,27,0,2,2,0.07,48,-4,https://www.eliteprospects.com/player/15208/pierre-luc-letourneau-leblond,2009-10,nhl,Pierre-Luc Létourneau-Leblond,LW/RW,FW,0,0.0,0
Brendan Mikkelson (D),Anaheim Ducks,28,0,2,2,0.07,14,-5,https://www.eliteprospects.com/player/9355/brendan-mikkelson,2009-10,nhl,Brendan Mikkelson,D,DEF,0,0.0,0
Matt Smaby (D),Tampa Bay Lightning,33,0,2,2,0.06,27,-4,https://www.eliteprospects.com/player/12027/matt-smaby,2009-10,nhl,Matt Smaby,D,DEF,0,0.0,0
Wade Belak (RW/D),Nashville Predators,39,0,2,2,0.05,58,0,https://www.eliteprospects.com/player/8749/wade-belak,2009-10,nhl,Wade Belak,RW/D,DEF,0,0.0,0
Joël Perrault (C/RW),Phoenix Coyotes,2,1,0,1,0.50,0,-1,https://www.eliteprospects.com/player/8911/joel-perrault,2009-10,nhl,Joël Perrault,C/RW,FW,0,0.0,0
Colin McDonald (RW),Edmonton Oilers,2,1,0,1,0.50,0,1,https://www.eliteprospects.com/player/13411/colin-mcdonald,2009-10,nhl,Colin McDonald,RW,FW,0,0.0,0
Corey Elkins (C),Los Angeles Kings,3,1,0,1,0.33,0,-2,https://www.eliteprospects.com/player/18743/corey-elkins,2009-10,nhl,Corey Elkins,C,FW,0,0.0,0
Yan Stastny (C),St. Louis Blues,4,1,0,1,0.25,0,1,https://www.eliteprospects.com/player/8799/yan-stastny,2009-10,nhl,Yan Stastny,C,FW,0,0.0,0
Dwight Helminen (C),San Jose Sharks,4,1,0,1,0.25,0,-1,https://www.eliteprospects.com/player/9394/dwight-helminen,2009-10,nhl,Dwight Helminen,C,FW,0,0.0,0
Kris Newbury (C/LW),Detroit Red Wings,4,1,0,1,0.25,4,1,https://www.eliteprospects.com/player/11039/kris-newbury,2009-10,nhl,Kris Newbury,C/LW,FW,0,0.0,0
Dane Byers (LW/RW),New York Rangers,5,1,0,1,0.20,31,1,https://www.eliteprospects.com/player/9489/dane-byers,2009-10,nhl,Dane Byers,LW/RW,FW,0,0.0,0
Cody Almond (C),Minnesota Wild,7,1,0,1,0.14,9,-3,https://www.eliteprospects.com/player/11683/cody-almond,2009-10,nhl,Cody Almond,C,FW,0,0.0,0
Patrick Davis (RW/C),New Jersey Devils,8,1,0,1,0.13,0,-2,https://www.eliteprospects.com/player/10294/patrick-davis,2009-10,nhl,Patrick Davis,RW/C,FW,0,0.0,0
Mark Letestu (C),Pittsburgh Penguins,10,1,0,1,0.10,2,-2,https://www.eliteprospects.com/player/11423/mark-letestu,2009-10,nhl,Mark Letestu,C,FW,0,0.0,0
Warren Peters (C/LW),Dallas Stars,11,1,0,1,0.09,2,1,https://www.eliteprospects.com/player/11744/warren-peters,2009-10,nhl,Warren Peters,C/LW,FW,0,0.0,0
Jesse Joensuu (LW),New York Islanders,11,1,0,1,0.09,4,4,https://www.eliteprospects.com/player/4218/jesse-joensuu,2009-10,nhl,Jesse Joensuu,LW,FW,0,0.0,0
Adam McQuaid (D),Boston Bruins,19,1,0,1,0.05,21,-5,https://www.eliteprospects.com/player/11321/adam-mcquaid,2009-10,nhl,Adam McQuaid,D,DEF,0,0.0,0
David Koci (D/LW),Colorado Avalanche,43,1,0,1,0.02,84,-2,https://www.eliteprospects.com/player/10992/david-koci,2009-10,nhl,David Koci,D/LW,DEF,0,0.0,0
Zach Hamill (C/RW),Boston Bruins,1,0,1,1,1.00,0,1,https://www.eliteprospects.com/player/11053/zach-hamill,2009-10,nhl,Zach Hamill,C/RW,FW,0,0.0,0
Joe Callahan (D),San Jose Sharks,1,0,1,1,1.00,0,1,https://www.eliteprospects.com/player/11479/joe-callahan,2009-10,nhl,Joe Callahan,D,DEF,0,0.0,0
Philip Larsen (D),Dallas Stars,2,0,1,1,0.50,0,1,https://www.eliteprospects.com/player/6006/philip-larsen,2009-10,nhl,Philip Larsen,D,DEF,0,0.0,0
Ryan O'Marra (RW/C),Edmonton Oilers,3,0,1,1,0.33,0,0,https://www.eliteprospects.com/player/9197/ryan-o-marra,2009-10,nhl,Ryan O'Marra,RW/C,FW,0,0.0,0
Tyler Eckford (D),New Jersey Devils,3,0,1,1,0.33,4,0,https://www.eliteprospects.com/player/11919/tyler-eckford,2009-10,nhl,Tyler Eckford,D,DEF,0,0.0,0
Nate Prosser (D),Minnesota Wild,3,0,1,1,0.33,8,2,https://www.eliteprospects.com/player/38197/nate-prosser,2009-10,nhl,Nate Prosser,D,DEF,0,0.0,0
Tom Preissing (D),Colorado Avalanche,4,0,1,1,0.25,0,-6,https://www.eliteprospects.com/player/8662/tom-preissing,2009-10,nhl,Tom Preissing,D,DEF,0,0.0,0
Alex Plante (D),Edmonton Oilers,4,0,1,1,0.25,2,1,https://www.eliteprospects.com/player/11706/alex-plante,2009-10,nhl,Alex Plante,D,DEF,0,0.0,0
Philippe Dupuis (C/RW),Colorado Avalanche,4,0,1,1,0.25,2,1,https://www.eliteprospects.com/player/11564/philippe-dupuis,2009-10,nhl,Philippe Dupuis,C/RW,FW,0,0.0,0
Chris Minard (W/C),Edmonton Oilers,5,0,1,1,0.20,0,-3,https://www.eliteprospects.com/player/11349/chris-minard,2009-10,nhl,Chris Minard,W/C,FW,0,0.0,0
David Desharnais (C/LW),Montréal Canadiens,6,0,1,1,0.17,0,-1,https://www.eliteprospects.com/player/11122/david-desharnais,2009-10,nhl,David Desharnais,C/LW,FW,0,0.0,0
Nick Palmieri (RW),New Jersey Devils,6,0,1,1,0.17,0,0,https://www.eliteprospects.com/player/12525/nick-palmieri,2009-10,nhl,Nick Palmieri,RW,FW,0,0.0,0
Mark Flood (D),New York Islanders,6,0,1,1,0.17,0,-4,https://www.eliteprospects.com/player/10403/mark-flood,2009-10,nhl,Mark Flood,D,DEF,0,0.0,0
Tim Sestito (C/LW),New Jersey Devils,9,0,1,1,0.11,2,-2,https://www.eliteprospects.com/player/9736/tim-sestito,2009-10,nhl,Tim Sestito,C/LW,FW,0,0.0,0
Andreas Nödl (RW),Philadelphia Flyers,10,0,1,1,0.10,0,-2,https://www.eliteprospects.com/player/11448/andreas-nodl,2009-10,nhl,Andreas Nödl,RW,FW,0,0.0,0
Trevor Gillies (LW),New York Islanders,14,0,1,1,0.07,75,-2,https://www.eliteprospects.com/player/13776/trevor-gillies,2009-10,nhl,Trevor Gillies,LW,FW,0,0.0,0
Theo Peckham (D),Edmonton Oilers,15,0,1,1,0.07,43,-8,https://www.eliteprospects.com/player/11266/theo-peckham,2009-10,nhl,Theo Peckham,D,DEF,Theo Peckham,8.0,1
Trent Whitfield (C),Boston Bruins,16,0,1,1,0.06,7,-2,https://www.eliteprospects.com/player/8823/trent-whitfield,2009-10,nhl,Trent Whitfield,C,FW,0,0.0,0
Brad Marchand (W/C),Boston Bruins,20,0,1,1,0.05,20,-3,https://www.eliteprospects.com/player/10439/brad-marchand,2009-10,nhl,Brad Marchand,W/C,FW,0,0.0,0
Steve MacIntyre (LW),totals,22,0,1,1,0.05,24,-3,https://www.eliteprospects.com/player/14043/steve-macintyre,2009-10,nhl,Steve MacIntyre,LW,FW,0,0.0,0
Donald Brashear (LW),New York Rangers,36,0,1,1,0.03,73,-9,https://www.eliteprospects.com/player/9094/donald-brashear,2009-10,nhl,Donald Brashear,LW,FW,0,0.0,0
Brad May (LW),Detroit Red Wings,40,0,1,1,0.03,66,-5,https://www.eliteprospects.com/player/8971/brad-may,2009-10,nhl,Brad May,LW,FW,0,0.0,0
Mike Rathje (D),Philadelphia Flyers,0,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/8844/mike-rathje,2009-10,nhl,Mike Rathje,D,DEF,0,0.0,0
Cody McCormick (C/W),Buffalo Sabres,0,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/8975/cody-mccormick,2009-10,nhl,Cody McCormick,C/W,FW,0,0.0,0
Anton Klementyev (D),New York Islanders,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/17575/anton-klementyev,2009-10,nhl,Anton Klementyev,D,DEF,0,0.0,0
Brayden Schenn (C/W),Los Angeles Kings,1,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/14739/brayden-schenn,2009-10,nhl,Brayden Schenn,C/W,FW,0,0.0,0
Nazem Kadri (C),Toronto Maple Leafs,1,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/14728/nazem-kadri,2009-10,nhl,Nazem Kadri,C,FW,0,0.0,0
