player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Connor McDavid (C),Edmonton Oilers,56,33,72,105,1.88,20,21,https://www.eliteprospects.com/player/183442/connor-mcdavid,2020-21,nhl,Connor McDavid,C,FW,0,0.0,0
Leon Draisaitl (C/W),Edmonton Oilers,56,31,53,84,1.50,22,29,https://www.eliteprospects.com/player/71913/leon-draisaitl,2020-21,nhl,Leon Draisaitl,C/W,FW,0,0.0,0
Brad Marchand (W/C),Boston Bruins,53,29,40,69,1.30,46,26,https://www.eliteprospects.com/player/10439/brad-marchand,2020-21,nhl,Brad Marchand,W/C,FW,0,0.0,0
Mitchell Marner (RW),Toronto Maple Leafs,55,20,47,67,1.22,20,21,https://www.eliteprospects.com/player/223194/mitchell-marner,2020-21,nhl,Mitchell Marner,RW,FW,0,0.0,0
Auston Matthews (C),Toronto Maple Leafs,52,41,25,66,1.27,10,21,https://www.eliteprospects.com/player/199898/auston-matthews,2020-21,nhl,Auston Matthews,C,FW,0,0.0,0
Mikko Rantanen (W/C),Colorado Avalanche,52,30,36,66,1.27,34,30,https://www.eliteprospects.com/player/91186/mikko-rantanen,2020-21,nhl,Mikko Rantanen,W/C,FW,0,0.0,0
Patrick Kane (RW),Chicago Blackhawks,56,15,51,66,1.18,14,-7,https://www.eliteprospects.com/player/9326/patrick-kane,2020-21,nhl,Patrick Kane,RW,FW,0,0.0,0
Nathan MacKinnon (C/RW),Colorado Avalanche,48,20,45,65,1.35,37,22,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2020-21,nhl,Nathan MacKinnon,C/RW,FW,Nathan MacKinnon,4.0,1
Mark Scheifele (C),Winnipeg Jets,56,21,42,63,1.13,12,-4,https://www.eliteprospects.com/player/75379/mark-scheifele,2020-21,nhl,Mark Scheifele,C,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,55,24,38,62,1.13,26,8,https://www.eliteprospects.com/player/6146/sidney-crosby,2020-21,nhl,Sidney Crosby,C,FW,0,0.0,0
Mark Stone (RW),Vegas Golden Knights,55,21,40,61,1.11,28,26,https://www.eliteprospects.com/player/32806/mark-stone,2020-21,nhl,Mark Stone,RW,FW,0,0.0,0
Jonathan Huberdeau (LW),Florida Panthers,55,20,41,61,1.11,36,12,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2020-21,nhl,Jonathan Huberdeau,LW,FW,0,0.0,0
Aleksander Barkov (C),Florida Panthers,50,26,32,58,1.16,14,12,https://www.eliteprospects.com/player/50044/aleksander-barkov,2020-21,nhl,Aleksander Barkov,C,FW,0,0.0,0
David Perron (LW/RW),St. Louis Blues,56,19,39,58,1.04,22,6,https://www.eliteprospects.com/player/11123/david-perron,2020-21,nhl,David Perron,LW/RW,FW,0,0.0,0
Artemi Panarin (LW),New York Rangers,42,17,41,58,1.38,6,14,https://www.eliteprospects.com/player/24664/artemi-panarin,2020-21,nhl,Artemi Panarin,LW,FW,0,0.0,0
Sebastian Aho (C/LW),Carolina Hurricanes,56,24,33,57,1.02,32,16,https://www.eliteprospects.com/player/152111/sebastian-aho,2020-21,nhl,Sebastian Aho,C/LW,FW,0,0.0,0
Jake Guentzel (W/C),Pittsburgh Penguins,56,23,34,57,1.02,28,7,https://www.eliteprospects.com/player/199870/jake-guentzel,2020-21,nhl,Jake Guentzel,W/C,FW,0,0.0,0
Alex DeBrincat (W/C),Chicago Blackhawks,52,32,24,56,1.08,12,3,https://www.eliteprospects.com/player/231275/alex-debrincat,2020-21,nhl,Alex DeBrincat,W/C,FW,0,0.0,0
Ryan O'Reilly (C),St. Louis Blues,56,24,30,54,0.96,18,26,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2020-21,nhl,Ryan O'Reilly,C,FW,0,0.0,0
Nicklas Bäckström (C),Washington Capitals,55,15,38,53,0.96,14,0,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2020-21,nhl,Nicklas Bäckström,C,FW,0,0.0,0
Gabriel Landeskog (LW/RW),Colorado Avalanche,54,20,32,52,0.96,34,14,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2020-21,nhl,Gabriel Landeskog,LW/RW,FW,0,0.0,0
Kirill Kaprizov (LW),Minnesota Wild,55,27,24,51,0.93,16,10,https://www.eliteprospects.com/player/265645/kirill-kaprizov,2020-21,nhl,Kirill Kaprizov,LW,FW,0,0.0,0
Joe Pavelski (C/RW),Dallas Stars,56,25,26,51,0.91,16,22,https://www.eliteprospects.com/player/10372/joe-pavelski,2020-21,nhl,Joe Pavelski,C/RW,FW,0,0.0,0
Max Pacioretty (LW),Vegas Golden Knights,48,24,27,51,1.06,14,20,https://www.eliteprospects.com/player/12461/max-pacioretty,2020-21,nhl,Max Pacioretty,LW,FW,0,0.0,0
Kyle Connor (LW),Winnipeg Jets,56,26,24,50,0.89,12,-4,https://www.eliteprospects.com/player/177671/kyle-connor,2020-21,nhl,Kyle Connor,LW,FW,0,0.0,0
Mika Zibanejad (C),New York Rangers,56,24,26,50,0.89,18,2,https://www.eliteprospects.com/player/23856/mika-zibanejad,2020-21,nhl,Mika Zibanejad,C,FW,0,0.0,0
John Tavares (C),Toronto Maple Leafs,56,19,31,50,0.89,14,12,https://www.eliteprospects.com/player/9223/john-tavares,2020-21,nhl,John Tavares,C,FW,0,0.0,0
Anze Kopitar (C),Los Angeles Kings,56,13,37,50,0.89,10,-7,https://www.eliteprospects.com/player/4233/anze-kopitar,2020-21,nhl,Anze Kopitar,C,FW,0,0.0,0
