player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Rod Brind'Amour (C),Carolina Hurricanes,78,31,39,70,0.90,68,8,https://www.eliteprospects.com/player/8784/rod-brind-amour,2005-06,nhl,Rod Brind'Amour,C,FW,0,0.0,0
Brad Boyes (RW),Boston Bruins,82,26,43,69,0.84,30,11,https://www.eliteprospects.com/player/9092/brad-boyes,2005-06,nhl,Brad Boyes,RW,FW,0,0.0,0
Steve Sullivan (LW),Nashville Predators,69,31,37,68,0.99,50,2,https://www.eliteprospects.com/player/8896/steve-sullivan,2005-06,nhl,Steve Sullivan,LW,FW,0,0.0,0
Jarret Stoll (C),Edmonton Oilers,82,22,46,68,0.83,74,4,https://www.eliteprospects.com/player/8895/jarret-stoll,2005-06,nhl,Jarret Stoll,C,FW,Jarret Stoll,30.0,1
Jarret Stoll (C),Edmonton Oilers,82,22,46,68,0.83,74,4,https://www.eliteprospects.com/player/8895/jarret-stoll,2005-06,nhl,Jarret Stoll,C,FW,Jarret Stoll,1.0,1
Bryan McCabe (D),Toronto Maple Leafs,73,19,49,68,0.93,116,-1,https://www.eliteprospects.com/player/4727/bryan-mccabe,2005-06,nhl,Bryan McCabe,D,DEF,0,0.0,0
Jarome Iginla (RW),Calgary Flames,82,35,32,67,0.82,86,5,https://www.eliteprospects.com/player/9036/jarome-iginla,2005-06,nhl,Jarome Iginla,RW,FW,0,0.0,0
Chris Drury (C),Buffalo Sabres,81,30,37,67,0.83,32,-11,https://www.eliteprospects.com/player/8804/chris-drury,2005-06,nhl,Chris Drury,C,FW,Chris Drury,4.0,1
Lubomir Visnovsky (D),Los Angeles Kings,80,17,50,67,0.84,50,7,https://www.eliteprospects.com/player/8592/lubomir-visnovsky,2005-06,nhl,Lubomir Visnovsky,D,DEF,0,0.0,0
Tomas Kaberle (D),Toronto Maple Leafs,82,9,58,67,0.82,46,-1,https://www.eliteprospects.com/player/8542/tomas-kaberle,2005-06,nhl,Tomas Kaberle,D,DEF,0,0.0,0
Marián Gáborík (RW/LW),Minnesota Wild,65,38,28,66,1.02,64,6,https://www.eliteprospects.com/player/3665/marian-gaborik,2005-06,nhl,Marián Gáborík,RW/LW,FW,0,0.0,0
Ryan Smyth (LW),Edmonton Oilers,75,36,30,66,0.88,58,-5,https://www.eliteprospects.com/player/8888/ryan-smyth,2005-06,nhl,Ryan Smyth,LW,FW,0,0.0,0
