player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Corey Perry (RW),Anaheim Ducks,44,15,21,36,0.82,72,10,https://www.eliteprospects.com/player/8541/corey-perry,2012-13,nhl,Corey Perry,RW,FW,0,0.0,0
Patrik Elias (LW),New Jersey Devils,48,14,22,36,0.75,22,5,https://www.eliteprospects.com/player/8698/patrik-elias,2012-13,nhl,Patrik Elias,LW,FW,0,0.0,0
Teddy Purcell (LW/RW),Tampa Bay Lightning,48,11,25,36,0.75,12,-1,https://www.eliteprospects.com/player/14179/teddy-purcell,2012-13,nhl,Teddy Purcell,LW/RW,FW,0,0.0,0
Jaromír Jágr (RW),totals,45,16,19,35,0.78,22,-2,https://www.eliteprospects.com/player/8627/jaromir-jagr,2012-13,nhl,Jaromír Jágr,RW,FW,0,0.0,0
Michael Ryder (RW),totals,46,16,19,35,0.76,16,2,https://www.eliteprospects.com/player/4487/michael-ryder,2012-13,nhl,Michael Ryder,RW,FW,0,0.0,0
Tomas Fleischmann (LW),Florida Panthers,48,12,23,35,0.73,16,-10,https://www.eliteprospects.com/player/9613/tomas-fleischmann,2012-13,nhl,Tomas Fleischmann,LW,FW,0,0.0,0
Brad Boyes (RW),New York Islanders,48,10,25,35,0.73,16,-6,https://www.eliteprospects.com/player/9092/brad-boyes,2012-13,nhl,Brad Boyes,RW,FW,0,0.0,0
Cody Hodgson (C),Buffalo Sabres,48,15,19,34,0.71,20,-4,https://www.eliteprospects.com/player/11253/cody-hodgson,2012-13,nhl,Cody Hodgson,C,FW,0,0.0,0
Jason Pominville (RW),totals,47,14,20,34,0.72,8,1,https://www.eliteprospects.com/player/8809/jason-pominville,2012-13,nhl,Jason Pominville,RW,FW,0,0.0,0
Brad Richards (C),New York Rangers,46,11,23,34,0.74,14,8,https://www.eliteprospects.com/player/4723/brad-richards,2012-13,nhl,Brad Richards,C,FW,0,0.0,0
Jeff Carter (C),Los Angeles Kings,48,26,7,33,0.69,16,0,https://www.eliteprospects.com/player/8813/jeff-carter,2012-13,nhl,Jeff Carter,C,FW,0,0.0,0
Troy Brouwer (RW/LW),Washington Capitals,47,19,14,33,0.70,28,-5,https://www.eliteprospects.com/player/10669/troy-brouwer,2012-13,nhl,Troy Brouwer,RW/LW,FW,0,0.0,0
Evander Kane (LW),Winnipeg Jets,48,17,16,33,0.69,80,-3,https://www.eliteprospects.com/player/14657/evander-kane,2012-13,nhl,Evander Kane,LW,FW,0,0.0,0
Jarome Iginla (RW),totals,44,14,19,33,0.75,31,-5,https://www.eliteprospects.com/player/9036/jarome-iginla,2012-13,nhl,Jarome Iginla,RW,FW,0,0.0,0
Tomas Plekanec (C),Montréal Canadiens,47,14,19,33,0.70,24,3,https://www.eliteprospects.com/player/8668/tomas-plekanec,2012-13,nhl,Tomas Plekanec,C,FW,0,0.0,0
Jamie Benn (LW),Dallas Stars,41,12,21,33,0.80,40,-12,https://www.eliteprospects.com/player/15399/jamie-benn,2012-13,nhl,Jamie Benn,LW,FW,0,0.0,0
Justin Williams (RW),Los Angeles Kings,48,11,22,33,0.69,22,15,https://www.eliteprospects.com/player/4506/justin-williams,2012-13,nhl,Justin Williams,RW,FW,0,0.0,0
David Krejci (C),Boston Bruins,47,10,23,33,0.70,20,1,https://www.eliteprospects.com/player/9226/david-krejci,2012-13,nhl,David Krejci,C,FW,0,0.0,0
Yevgeni Malkin (C),Pittsburgh Penguins,31,9,24,33,1.06,36,5,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2012-13,nhl,Yevgeni Malkin,C,FW,0,0.0,0
James van Riemsdyk (LW),Toronto Maple Leafs,48,18,14,32,0.67,26,-7,https://www.eliteprospects.com/player/9324/james-van-riemsdyk,2012-13,nhl,James van Riemsdyk,LW,FW,0,0.0,0
Tyler Seguin (C/RW),Boston Bruins,48,16,16,32,0.67,16,23,https://www.eliteprospects.com/player/23807/tyler-seguin,2012-13,nhl,Tyler Seguin,C/RW,FW,Tyler Seguin,2.0,1
Wayne Simmonds (RW),Philadelphia Flyers,45,15,17,32,0.71,82,-7,https://www.eliteprospects.com/player/12517/wayne-simmonds,2012-13,nhl,Wayne Simmonds,RW,FW,0,0.0,0
Michael Cammalleri (W/C),Calgary Flames,44,13,19,32,0.73,25,-15,https://www.eliteprospects.com/player/9104/michael-cammalleri,2012-13,nhl,Michael Cammalleri,W/C,FW,0,0.0,0
Mike Richards (C),Los Angeles Kings,48,12,20,32,0.67,42,-8,https://www.eliteprospects.com/player/8816/mike-richards,2012-13,nhl,Mike Richards,C,FW,0,0.0,0
Vincent Lecavalier (C),Tampa Bay Lightning,39,10,22,32,0.82,29,-5,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2012-13,nhl,Vincent Lecavalier,C,FW,Vincent Lecavalier,1.0,1
Patrice Bergeron (C),Boston Bruins,42,10,22,32,0.76,18,24,https://www.eliteprospects.com/player/9079/patrice-bergeron,2012-13,nhl,Patrice Bergeron,C,FW,0,0.0,0
Lee Stempniak (RW),Calgary Flames,47,9,23,32,0.68,12,2,https://www.eliteprospects.com/player/10199/lee-stempniak,2012-13,nhl,Lee Stempniak,RW,FW,0,0.0,0
Bryan Little (C),Winnipeg Jets,48,7,25,32,0.67,4,8,https://www.eliteprospects.com/player/10426/bryan-little,2012-13,nhl,Bryan Little,C,FW,0,0.0,0
Ryan Suter (D),Minnesota Wild,48,4,28,32,0.67,24,2,https://www.eliteprospects.com/player/8897/ryan-suter,2012-13,nhl,Ryan Suter,D,DEF,0,0.0,0
Marián Hossa (RW),Chicago Blackhawks,40,17,14,31,0.78,16,20,https://www.eliteprospects.com/player/4720/marian-hossa,2012-13,nhl,Marián Hossa,RW,FW,0,0.0,0
Patrick Marleau (LW),San Jose Sharks,48,17,14,31,0.65,24,-2,https://www.eliteprospects.com/player/3671/patrick-marleau,2012-13,nhl,Patrick Marleau,LW,FW,0,0.0,0
Nail Yakupov (RW/LW),Edmonton Oilers,48,17,14,31,0.65,24,-4,https://www.eliteprospects.com/player/21228/nail-yakupov,2012-13,nhl,Nail Yakupov,RW/LW,FW,Nail Yakupov,2.0,1
Ryan Callahan (RW),New York Rangers,45,16,15,31,0.69,12,9,https://www.eliteprospects.com/player/9437/ryan-callahan,2012-13,nhl,Ryan Callahan,RW,FW,0,0.0,0
Joe Pavelski (C/RW),San Jose Sharks,48,16,15,31,0.65,10,2,https://www.eliteprospects.com/player/10372/joe-pavelski,2012-13,nhl,Joe Pavelski,C/RW,FW,0,0.0,0
Johan Franzén (LW),Detroit Red Wings,41,14,17,31,0.76,41,13,https://www.eliteprospects.com/player/158/johan-franzen,2012-13,nhl,Johan Franzén,LW,FW,0,0.0,0
Jonathan Huberdeau (LW),Florida Panthers,48,14,17,31,0.65,18,-15,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2012-13,nhl,Jonathan Huberdeau,LW,FW,Jonathan Huberdeau,11.0,1
Ilya Kovalchuk (LW/RW),New Jersey Devils,37,11,20,31,0.84,18,-6,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2012-13,nhl,Ilya Kovalchuk,LW/RW,FW,0,0.0,0
Tyler Ennis (RW/LW),Buffalo Sabres,47,10,21,31,0.66,16,-14,https://www.eliteprospects.com/player/11667/tyler-ennis,2012-13,nhl,Tyler Ennis,RW/LW,FW,0,0.0,0
Jordan Staal (C),Carolina Hurricanes,48,10,21,31,0.65,32,-18,https://www.eliteprospects.com/player/10157/jordan-staal,2012-13,nhl,Jordan Staal,C,FW,0,0.0,0
Václav Prospal (LW/C),Columbus Blue Jackets,48,12,18,30,0.63,32,3,https://www.eliteprospects.com/player/8641/vaclav-prospal,2012-13,nhl,Václav Prospal,LW/C,FW,0,0.0,0
Bobby Ryan (RW/LW),Anaheim Ducks,46,11,19,30,0.65,17,3,https://www.eliteprospects.com/player/9210/bobby-ryan,2012-13,nhl,Bobby Ryan,RW/LW,FW,0,0.0,0
Andrei Markov (D),Montréal Canadiens,48,10,20,30,0.63,14,-9,https://www.eliteprospects.com/player/8579/andrei-markov,2012-13,nhl,Andrei Markov,D,DEF,0,0.0,0
Keith Yandle (D),Phoenix Coyotes,48,10,20,30,0.63,54,4,https://www.eliteprospects.com/player/10247/keith-yandle,2012-13,nhl,Keith Yandle,D,DEF,0,0.0,0
Lars Eller (C),Montréal Canadiens,46,8,22,30,0.65,45,8,https://www.eliteprospects.com/player/5995/lars-eller,2012-13,nhl,Lars Eller,C,FW,0,0.0,0
Dustin Brown (RW/LW),Los Angeles Kings,46,18,11,29,0.63,22,6,https://www.eliteprospects.com/player/9099/dustin-brown,2012-13,nhl,Dustin Brown,RW/LW,FW,0,0.0,0
Derick Brassard (C/LW),totals,47,12,17,29,0.62,16,1,https://www.eliteprospects.com/player/9366/derick-brassard,2012-13,nhl,Derick Brassard,C/LW,FW,0,0.0,0
Loui Eriksson (LW/RW),Dallas Stars,48,12,17,29,0.60,8,-9,https://www.eliteprospects.com/player/683/loui-eriksson,2012-13,nhl,Loui Eriksson,LW/RW,FW,Loui Eriksson,5.0,1
Loui Eriksson (LW/RW),Dallas Stars,48,12,17,29,0.60,8,-9,https://www.eliteprospects.com/player/683/loui-eriksson,2012-13,nhl,Loui Eriksson,LW/RW,FW,Loui Eriksson,15.0,1
Kyle Turris (C/RW),Ottawa Senators,48,12,17,29,0.60,24,6,https://www.eliteprospects.com/player/11345/kyle-turris,2012-13,nhl,Kyle Turris,C/RW,FW,0,0.0,0
Ray Whitney (LW),Dallas Stars,32,11,18,29,0.91,4,1,https://www.eliteprospects.com/player/8824/ray-whitney,2012-13,nhl,Ray Whitney,LW,FW,0,0.0,0
Cory Conacher (C/W),totals,47,11,18,29,0.62,20,3,https://www.eliteprospects.com/player/33265/cory-conacher,2012-13,nhl,Cory Conacher,C/W,FW,0,0.0,0
Frans Nielsen (C),New York Islanders,48,6,23,29,0.60,12,-3,https://www.eliteprospects.com/player/210/frans-nielsen,2012-13,nhl,Frans Nielsen,C,FW,0,0.0,0
Kimmo Timonen (D),Philadelphia Flyers,45,5,24,29,0.64,36,3,https://www.eliteprospects.com/player/2664/kimmo-timonen,2012-13,nhl,Kimmo Timonen,D,DEF,Kimmo Timonen,1.0,1
Niklas Kronwall (D),Detroit Red Wings,48,5,24,29,0.60,44,-5,https://www.eliteprospects.com/player/69/niklas-kronwall,2012-13,nhl,Niklas Kronwall,D,DEF,Niklas Kronwall,2.0,1
Cody Franson (D),Toronto Maple Leafs,45,4,25,29,0.64,8,4,https://www.eliteprospects.com/player/10431/cody-franson,2012-13,nhl,Cody Franson,D,DEF,0,0.0,0
Brendan Gallagher (RW),Montréal Canadiens,44,15,13,28,0.64,33,10,https://www.eliteprospects.com/player/25705/brendan-gallagher,2012-13,nhl,Brendan Gallagher,RW,FW,0,0.0,0
Radim Vrbata (RW),Phoenix Coyotes,34,12,16,28,0.82,14,6,https://www.eliteprospects.com/player/8626/radim-vrbata,2012-13,nhl,Radim Vrbata,RW,FW,0,0.0,0
Tyler Bozak (C),Toronto Maple Leafs,46,12,16,28,0.61,6,-1,https://www.eliteprospects.com/player/11589/tyler-bozak,2012-13,nhl,Tyler Bozak,C,FW,0,0.0,0
David Desharnais (C/LW),Montréal Canadiens,48,10,18,28,0.58,26,-2,https://www.eliteprospects.com/player/11122/david-desharnais,2012-13,nhl,David Desharnais,C/LW,FW,0,0.0,0
Shea Weber (D),Nashville Predators,48,9,19,28,0.58,48,-2,https://www.eliteprospects.com/player/9505/shea-weber,2012-13,nhl,Shea Weber,D,DEF,Shea Weber,3.0,1
Dion Phaneuf (D),Toronto Maple Leafs,48,9,19,28,0.58,65,-4,https://www.eliteprospects.com/player/8564/dion-phaneuf,2012-13,nhl,Dion Phaneuf,D,DEF,0,0.0,0
Dustin Byfuglien (D),Winnipeg Jets,43,8,20,28,0.65,34,-1,https://www.eliteprospects.com/player/10667/dustin-byfuglien,2012-13,nhl,Dustin Byfuglien,D,DEF,0,0.0,0
Derek Roy (C),totals,42,7,21,28,0.67,6,4,https://www.eliteprospects.com/player/8810/derek-roy,2012-13,nhl,Derek Roy,C,FW,0,0.0,0
David Backes (RW/C),St. Louis Blues,48,6,22,28,0.58,62,5,https://www.eliteprospects.com/player/11435/david-backes,2012-13,nhl,David Backes,RW/C,FW,0,0.0,0
Tomas Kopecky (W/C),Florida Panthers,47,15,12,27,0.57,28,-8,https://www.eliteprospects.com/player/9642/tomas-kopecky,2012-13,nhl,Tomas Kopecky,W/C,FW,0,0.0,0
Mark Letestu (C),Columbus Blue Jackets,46,13,14,27,0.59,10,7,https://www.eliteprospects.com/player/11423/mark-letestu,2012-13,nhl,Mark Letestu,C,FW,0,0.0,0
Devin Setoguchi (RW),Minnesota Wild,48,13,14,27,0.56,20,5,https://www.eliteprospects.com/player/9360/devin-setoguchi,2012-13,nhl,Devin Setoguchi,RW,FW,0,0.0,0
Shane Doan (RW),Phoenix Coyotes,48,13,14,27,0.56,37,6,https://www.eliteprospects.com/player/9137/shane-doan,2012-13,nhl,Shane Doan,RW,FW,0,0.0,0
Marián Gáborík (RW/LW),totals,47,12,15,27,0.57,14,-3,https://www.eliteprospects.com/player/3665/marian-gaborik,2012-13,nhl,Marián Gáborík,RW/LW,FW,0,0.0,0
Alex Tanguay (LW),Calgary Flames,40,11,16,27,0.68,22,-13,https://www.eliteprospects.com/player/8779/alex-tanguay,2012-13,nhl,Alex Tanguay,LW,FW,0,0.0,0
Jiri Hudler (LW),Calgary Flames,42,10,17,27,0.64,22,-13,https://www.eliteprospects.com/player/6665/jiri-hudler,2012-13,nhl,Jiri Hudler,LW,FW,0,0.0,0
Brandon Saad (LW/RW),Chicago Blackhawks,46,10,17,27,0.59,12,17,https://www.eliteprospects.com/player/31264/brandon-saad,2012-13,nhl,Brandon Saad,LW/RW,FW,0,0.0,0
Jannik Hansen (RW/LW),Vancouver Canucks,47,10,17,27,0.57,8,12,https://www.eliteprospects.com/player/2368/jannik-hansen,2012-13,nhl,Jannik Hansen,RW/LW,FW,0,0.0,0
Alex Galchenyuk (C/LW),Montréal Canadiens,48,9,18,27,0.56,20,14,https://www.eliteprospects.com/player/74611/alex-galchenyuk,2012-13,nhl,Alex Galchenyuk,C/LW,FW,0,0.0,0
Alexander Steen (LW/RW),St. Louis Blues,40,8,19,27,0.68,14,5,https://www.eliteprospects.com/player/460/alexander-steen,2012-13,nhl,Alexander Steen,LW/RW,FW,0,0.0,0
Saku Koivu (C),Anaheim Ducks,47,8,19,27,0.57,18,4,https://www.eliteprospects.com/player/2669/saku-koivu,2012-13,nhl,Saku Koivu,C,FW,Saku Koivu,15.0,1
Justin Schultz (D),Edmonton Oilers,48,8,19,27,0.56,8,-17,https://www.eliteprospects.com/player/18241/justin-schultz,2012-13,nhl,Justin Schultz,D,DEF,0,0.0,0
Brian Campbell (D),Florida Panthers,48,8,19,27,0.56,12,-22,https://www.eliteprospects.com/player/8565/brian-campbell,2012-13,nhl,Brian Campbell,D,DEF,0,0.0,0
Matt Cullen (C),Minnesota Wild,42,7,20,27,0.64,10,9,https://www.eliteprospects.com/player/8754/matt-cullen,2012-13,nhl,Matt Cullen,C,FW,0,0.0,0
Milan Lucic (LW),Boston Bruins,46,7,20,27,0.59,75,8,https://www.eliteprospects.com/player/11104/milan-lucic,2012-13,nhl,Milan Lucic,LW,FW,0,0.0,0
Mark Streit (D),New York Islanders,48,6,21,27,0.56,22,-14,https://www.eliteprospects.com/player/4092/mark-streit,2012-13,nhl,Mark Streit,D,DEF,0,0.0,0
Sergei Gonchar (D),Ottawa Senators,45,3,24,27,0.60,26,4,https://www.eliteprospects.com/player/8678/sergei-gonchar,2012-13,nhl,Sergei Gonchar,D,DEF,Sergei Gonchar,6.0,1
Alex Goligoski (D),Dallas Stars,47,3,24,27,0.57,18,4,https://www.eliteprospects.com/player/9435/alex-goligoski,2012-13,nhl,Alex Goligoski,D,DEF,0,0.0,0
Duncan Keith (D),Chicago Blackhawks,47,3,24,27,0.57,31,16,https://www.eliteprospects.com/player/9012/duncan-keith,2012-13,nhl,Duncan Keith,D,DEF,0,0.0,0
Curtis Glencross (LW),Calgary Flames,40,15,11,26,0.65,18,-8,https://www.eliteprospects.com/player/10984/curtis-glencross,2012-13,nhl,Curtis Glencross,LW,FW,0,0.0,0
Brian Gionta (RW),Montréal Canadiens,48,14,12,26,0.54,8,3,https://www.eliteprospects.com/player/9048/brian-gionta,2012-13,nhl,Brian Gionta,RW,FW,0,0.0,0
Mike Green (D),Washington Capitals,35,12,14,26,0.74,20,-3,https://www.eliteprospects.com/player/9476/mike-green,2012-13,nhl,Mike Green,D,DEF,Mike Green,5.0,1
Damien Brunner (RW/LW),Detroit Red Wings,44,12,14,26,0.59,12,-6,https://www.eliteprospects.com/player/18949/damien-brunner,2012-13,nhl,Damien Brunner,RW/LW,FW,0,0.0,0
Daniel Alfredsson (RW),Ottawa Senators,47,10,16,26,0.55,33,1,https://www.eliteprospects.com/player/702/daniel-alfredsson,2012-13,nhl,Daniel Alfredsson,RW,FW,0,0.0,0
Brayden Schenn (C/W),Philadelphia Flyers,47,8,18,26,0.55,24,-8,https://www.eliteprospects.com/player/14739/brayden-schenn,2012-13,nhl,Brayden Schenn,C/W,FW,0,0.0,0
Mikkel Bødker (LW/RW),Phoenix Coyotes,48,7,19,26,0.54,12,0,https://www.eliteprospects.com/player/5996/mikkel-bodker,2012-13,nhl,Mikkel Bødker,LW/RW,FW,0,0.0,0
Patrik Berglund (C),St. Louis Blues,48,17,8,25,0.52,12,-2,https://www.eliteprospects.com/player/3637/patrik-berglund,2012-13,nhl,Patrik Berglund,C,FW,0,0.0,0
Brenden Morrow (LW),totals,44,12,13,25,0.57,37,-3,https://www.eliteprospects.com/player/8960/brenden-morrow,2012-13,nhl,Brenden Morrow,LW,FW,0,0.0,0
David Legwand (C),Nashville Predators,48,12,13,25,0.52,20,-6,https://www.eliteprospects.com/player/3668/david-legwand,2012-13,nhl,David Legwand,C,FW,0,0.0,0
David Perron (LW/RW),St. Louis Blues,48,10,15,25,0.52,44,0,https://www.eliteprospects.com/player/11123/david-perron,2012-13,nhl,David Perron,LW/RW,FW,0,0.0,0
Vyacheslav Voynov (D),Los Angeles Kings,48,6,19,25,0.52,14,5,https://www.eliteprospects.com/player/10627/vyacheslav-voynov,2012-13,nhl,Vyacheslav Voynov,D,DEF,0,0.0,0
David Clarkson (RW),New Jersey Devils,48,15,9,24,0.50,78,-6,https://www.eliteprospects.com/player/11018/david-clarkson,2012-13,nhl,David Clarkson,RW,FW,0,0.0,0
Jeff Skinner (LW/C),Carolina Hurricanes,42,13,11,24,0.57,26,-21,https://www.eliteprospects.com/player/23668/jeff-skinner,2012-13,nhl,Jeff Skinner,LW/C,FW,0,0.0,0
Alexandre Burrows (RW/LW),Vancouver Canucks,47,13,11,24,0.51,54,15,https://www.eliteprospects.com/player/10224/alexandre-burrows,2012-13,nhl,Alexandre Burrows,RW/LW,FW,0,0.0,0
