player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Martin St-Louis (RW),Tampa Bay Lightning,48,17,43,60,1.25,14,0,https://www.eliteprospects.com/player/8772/martin-st-louis,2012-13,nhl,Martin St-Louis,RW,FW,0,0.0,0
Steven Stamkos (C/W),Tampa Bay Lightning,48,29,28,57,1.19,32,-4,https://www.eliteprospects.com/player/11113/steven-stamkos,2012-13,nhl,Steven Stamkos,C/W,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,48,32,24,56,1.17,36,2,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2012-13,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,36,15,41,56,1.56,16,26,https://www.eliteprospects.com/player/6146/sidney-crosby,2012-13,nhl,Sidney Crosby,C,FW,0,0.0,0
Patrick Kane (RW),Chicago Blackhawks,47,23,32,55,1.17,8,11,https://www.eliteprospects.com/player/9326/patrick-kane,2012-13,nhl,Patrick Kane,RW,FW,0,0.0,0
Eric Staal (C),Carolina Hurricanes,48,18,35,53,1.10,54,5,https://www.eliteprospects.com/player/3656/eric-staal,2012-13,nhl,Eric Staal,C,FW,0,0.0,0
Chris Kunitz (LW),Pittsburgh Penguins,48,22,30,52,1.08,39,30,https://www.eliteprospects.com/player/8523/chris-kunitz,2012-13,nhl,Chris Kunitz,LW,FW,0,0.0,0
Phil Kessel (RW/C),Toronto Maple Leafs,48,20,32,52,1.08,18,-3,https://www.eliteprospects.com/player/8793/phil-kessel,2012-13,nhl,Phil Kessel,RW/C,FW,0,0.0,0
Taylor Hall (LW),Edmonton Oilers,45,16,34,50,1.11,33,5,https://www.eliteprospects.com/player/14360/taylor-hall,2012-13,nhl,Taylor Hall,LW,FW,0,0.0,0
Ryan Getzlaf (C),Anaheim Ducks,44,15,34,49,1.11,41,14,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2012-13,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Pavel Datsyuk (C),Detroit Red Wings,47,15,34,49,1.04,14,21,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2012-13,nhl,Pavel Datsyuk,C,FW,Pavel Datsyuk,7.0,1
Mike Ribeiro (C),Washington Capitals,48,13,36,49,1.02,53,-4,https://www.eliteprospects.com/player/8715/mike-ribeiro,2012-13,nhl,Mike Ribeiro,C,FW,0,0.0,0
Jonathan Toews (C),Chicago Blackhawks,47,23,25,48,1.02,27,28,https://www.eliteprospects.com/player/8792/jonathan-toews,2012-13,nhl,Jonathan Toews,C,FW,0,0.0,0
Claude Giroux (W/C),Philadelphia Flyers,48,13,35,48,1.00,22,-7,https://www.eliteprospects.com/player/10437/claude-giroux,2012-13,nhl,Claude Giroux,W/C,FW,0,0.0,0
Henrik Zetterberg (C),Detroit Red Wings,46,11,37,48,1.04,18,2,https://www.eliteprospects.com/player/285/henrik-zetterberg,2012-13,nhl,Henrik Zetterberg,C,FW,0,0.0,0
Nicklas Bäckström (C),Washington Capitals,48,8,40,48,1.00,20,8,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2012-13,nhl,Nicklas Bäckström,C,FW,0,0.0,0
John Tavares (C/LW),New York Islanders,48,28,19,47,0.98,18,-2,https://www.eliteprospects.com/player/9223/john-tavares,2012-13,nhl,John Tavares,C/LW,FW,0,0.0,0
Jakub Voracek (RW),Philadelphia Flyers,48,22,24,46,0.96,35,-7,https://www.eliteprospects.com/player/9285/jakub-voracek,2012-13,nhl,Jakub Voracek,RW,FW,0,0.0,0
Andrew Ladd (LW),Winnipeg Jets,48,18,28,46,0.96,22,10,https://www.eliteprospects.com/player/6668/andrew-ladd,2012-13,nhl,Andrew Ladd,LW,FW,0,0.0,0
Henrik Sedin (C),Vancouver Canucks,48,11,34,45,0.94,24,19,https://www.eliteprospects.com/player/738/henrik-sedin,2012-13,nhl,Henrik Sedin,C,FW,0,0.0,0
Derek Stepan (C),New York Rangers,48,18,26,44,0.92,12,25,https://www.eliteprospects.com/player/19040/derek-stepan,2012-13,nhl,Derek Stepan,C,FW,0,0.0,0
Nazem Kadri (C),Toronto Maple Leafs,48,18,26,44,0.92,23,15,https://www.eliteprospects.com/player/14728/nazem-kadri,2012-13,nhl,Nazem Kadri,C,FW,0,0.0,0
Matt Moulson (LW/RW),New York Islanders,47,15,29,44,0.94,4,-3,https://www.eliteprospects.com/player/9744/matt-moulson,2012-13,nhl,Matt Moulson,LW/RW,FW,0,0.0,0
Alexander Syomin (RW/LW),Carolina Hurricanes,44,13,31,44,1.00,46,14,https://www.eliteprospects.com/player/8633/alexander-syomin,2012-13,nhl,Alexander Syomin,RW/LW,FW,0,0.0,0
Pierre-Alexandre Parenteau (RW),Colorado Avalanche,48,18,25,43,0.90,38,-11,https://www.eliteprospects.com/player/9520/pierre-alexandre-parenteau,2012-13,nhl,Pierre-Alexandre Parenteau,RW,FW,0,0.0,0
Matt Duchene (C/RW),Colorado Avalanche,47,17,26,43,0.91,12,-12,https://www.eliteprospects.com/player/12571/matt-duchene,2012-13,nhl,Matt Duchene,C/RW,FW,0,0.0,0
Rick Nash (LW/RW),New York Rangers,44,21,21,42,0.95,26,16,https://www.eliteprospects.com/player/3658/rick-nash,2012-13,nhl,Rick Nash,LW/RW,FW,Rick Nash,17.0,1
Anze Kopitar (C),Los Angeles Kings,47,10,32,42,0.89,16,14,https://www.eliteprospects.com/player/4233/anze-kopitar,2012-13,nhl,Anze Kopitar,C,FW,0,0.0,0
Thomas Vanek (LW/RW),Buffalo Sabres,38,20,21,41,1.08,20,-1,https://www.eliteprospects.com/player/8493/thomas-vanek,2012-13,nhl,Thomas Vanek,LW/RW,FW,0,0.0,0
Blake Wheeler (RW/C),Winnipeg Jets,48,19,22,41,0.85,28,-3,https://www.eliteprospects.com/player/9215/blake-wheeler,2012-13,nhl,Blake Wheeler,RW/C,FW,0,0.0,0
Daniel Sedin (LW),Vancouver Canucks,47,12,28,40,0.85,18,12,https://www.eliteprospects.com/player/737/daniel-sedin,2012-13,nhl,Daniel Sedin,LW,FW,0,0.0,0
Joe Thornton (C),San Jose Sharks,48,7,33,40,0.83,26,6,https://www.eliteprospects.com/player/3670/joe-thornton,2012-13,nhl,Joe Thornton,C,FW,0,0.0,0
Max Pacioretty (LW),Montréal Canadiens,44,15,24,39,0.89,28,8,https://www.eliteprospects.com/player/12461/max-pacioretty,2012-13,nhl,Max Pacioretty,LW,FW,0,0.0,0
Jiri Tlusty (LW/RW),Carolina Hurricanes,48,23,15,38,0.79,18,15,https://www.eliteprospects.com/player/8605/jiri-tlusty,2012-13,nhl,Jiri Tlusty,LW/RW,FW,0,0.0,0
Pascal Dupuis (LW),Pittsburgh Penguins,48,20,18,38,0.79,26,31,https://www.eliteprospects.com/player/8789/pascal-dupuis,2012-13,nhl,Pascal Dupuis,LW,FW,0,0.0,0
Zach Parise (LW/RW),Minnesota Wild,48,18,20,38,0.79,16,2,https://www.eliteprospects.com/player/8903/zach-parise,2012-13,nhl,Zach Parise,LW/RW,FW,0,0.0,0
Sam Gagner (C/RW),Edmonton Oilers,48,14,24,38,0.79,23,-6,https://www.eliteprospects.com/player/10425/sam-gagner,2012-13,nhl,Sam Gagner,C/RW,FW,Sam Gagner,13.0,1
P.K. Subban (D),Montréal Canadiens,42,11,27,38,0.90,57,12,https://www.eliteprospects.com/player/11251/p.k.-subban,2012-13,nhl,P.K. Subban,D,DEF,0,0.0,0
Kris Letang (D),Pittsburgh Penguins,35,5,33,38,1.09,8,16,https://www.eliteprospects.com/player/9189/kris-letang,2012-13,nhl,Kris Letang,D,DEF,0,0.0,0
Logan Couture (C),San Jose Sharks,48,21,16,37,0.77,4,7,https://www.eliteprospects.com/player/11109/logan-couture,2012-13,nhl,Logan Couture,C,FW,0,0.0,0
Jordan Eberle (RW),Edmonton Oilers,48,16,21,37,0.77,16,-4,https://www.eliteprospects.com/player/11098/jordan-eberle,2012-13,nhl,Jordan Eberle,RW,FW,0,0.0,0
Mikko Koivu (C),Minnesota Wild,48,11,26,37,0.77,26,2,https://www.eliteprospects.com/player/2696/mikko-koivu,2012-13,nhl,Mikko Koivu,C,FW,0,0.0,0
James Neal (LW/RW),Pittsburgh Penguins,40,21,15,36,0.90,26,5,https://www.eliteprospects.com/player/9362/james-neal,2012-13,nhl,James Neal,LW/RW,FW,James Neal,2.0,1
Brad Marchand (W/C),Boston Bruins,45,18,18,36,0.80,27,23,https://www.eliteprospects.com/player/10439/brad-marchand,2012-13,nhl,Brad Marchand,W/C,FW,0,0.0,0
Chris Stewart (RW/LW),St. Louis Blues,48,18,18,36,0.75,40,0,https://www.eliteprospects.com/player/10442/chris-stewart,2012-13,nhl,Chris Stewart,RW/LW,FW,0,0.0,0
