player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Yevgeni Malkin (C),Pittsburgh Penguins,82,35,78,113,1.38,80,17,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2008-09,nhl,Yevgeni Malkin,C,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,79,56,54,110,1.39,72,8,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2008-09,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,77,33,70,103,1.34,76,3,https://www.eliteprospects.com/player/6146/sidney-crosby,2008-09,nhl,Sidney Crosby,C,FW,0,0.0,0
Pavel Datsyuk (C),Detroit Red Wings,81,32,65,97,1.20,22,34,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2008-09,nhl,Pavel Datsyuk,C,FW,0,0.0,0
Zach Parise (LW/RW),New Jersey Devils,82,45,49,94,1.15,24,30,https://www.eliteprospects.com/player/8903/zach-parise,2008-09,nhl,Zach Parise,LW/RW,FW,0,0.0,0
Ilya Kovalchuk (LW/RW),Atlanta Thrashers,79,43,48,91,1.15,50,-12,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2008-09,nhl,Ilya Kovalchuk,LW/RW,FW,0,0.0,0
Ryan Getzlaf (C),Anaheim Ducks,81,25,66,91,1.12,121,5,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2008-09,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Jarome Iginla (RW),Calgary Flames,82,35,54,89,1.09,37,-2,https://www.eliteprospects.com/player/9036/jarome-iginla,2008-09,nhl,Jarome Iginla,RW,FW,0,0.0,0
Marc Savard (C),Boston Bruins,82,25,63,88,1.07,70,25,https://www.eliteprospects.com/player/8574/marc-savard,2008-09,nhl,Marc Savard,C,FW,Marc Savard,18.0,1
Nicklas Bäckström (C),Washington Capitals,82,22,66,88,1.07,46,16,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2008-09,nhl,Nicklas Bäckström,C,FW,0,0.0,0
Joe Thornton (C),San Jose Sharks,82,25,61,86,1.05,56,16,https://www.eliteprospects.com/player/3670/joe-thornton,2008-09,nhl,Joe Thornton,C,FW,0,0.0,0
Jeff Carter (C),Philadelphia Flyers,82,46,38,84,1.02,68,23,https://www.eliteprospects.com/player/8813/jeff-carter,2008-09,nhl,Jeff Carter,C,FW,0,0.0,0
Michael Cammalleri (W/C),Calgary Flames,81,39,43,82,1.01,44,-2,https://www.eliteprospects.com/player/9104/michael-cammalleri,2008-09,nhl,Michael Cammalleri,W/C,FW,0,0.0,0
Daniel Sedin (LW),Vancouver Canucks,82,31,51,82,1.00,36,24,https://www.eliteprospects.com/player/737/daniel-sedin,2008-09,nhl,Daniel Sedin,LW,FW,0,0.0,0
Henrik Sedin (C),Vancouver Canucks,82,22,60,82,1.00,48,22,https://www.eliteprospects.com/player/738/henrik-sedin,2008-09,nhl,Henrik Sedin,C,FW,0,0.0,0
Mike Richards (C),Philadelphia Flyers,79,30,50,80,1.01,63,22,https://www.eliteprospects.com/player/8816/mike-richards,2008-09,nhl,Mike Richards,C,FW,0,0.0,0
Martin St-Louis (RW),Tampa Bay Lightning,82,30,50,80,0.98,14,4,https://www.eliteprospects.com/player/8772/martin-st-louis,2008-09,nhl,Martin St-Louis,RW,FW,0,0.0,0
Rick Nash (LW/RW),Columbus Blue Jackets,78,40,39,79,1.01,52,11,https://www.eliteprospects.com/player/3658/rick-nash,2008-09,nhl,Rick Nash,LW/RW,FW,0,0.0,0
Alexander Syomin (RW/LW),Washington Capitals,62,34,45,79,1.27,77,25,https://www.eliteprospects.com/player/8633/alexander-syomin,2008-09,nhl,Alexander Syomin,RW/LW,FW,0,0.0,0
Patrik Elias (LW),New Jersey Devils,77,31,47,78,1.01,32,18,https://www.eliteprospects.com/player/8698/patrik-elias,2008-09,nhl,Patrik Elias,LW,FW,0,0.0,0
Mike Ribeiro (C),Dallas Stars,82,22,56,78,0.95,52,-4,https://www.eliteprospects.com/player/8715/mike-ribeiro,2008-09,nhl,Mike Ribeiro,C,FW,0,0.0,0
Martin Havlát (RW/LW),Chicago Blackhawks,81,29,48,77,0.95,30,29,https://www.eliteprospects.com/player/8624/martin-havlat,2008-09,nhl,Martin Havlát,RW/LW,FW,0,0.0,0
Ray Whitney (LW),Carolina Hurricanes,82,24,53,77,0.94,32,2,https://www.eliteprospects.com/player/8824/ray-whitney,2008-09,nhl,Ray Whitney,LW,FW,0,0.0,0
Vyacheslav Kozlov (LW),Atlanta Thrashers,82,26,50,76,0.93,44,-14,https://www.eliteprospects.com/player/8544/vyacheslav-kozlov,2008-09,nhl,Vyacheslav Kozlov,LW,FW,Vyacheslav Kozlov,8.0,1
Eric Staal (C),Carolina Hurricanes,82,40,35,75,0.91,50,15,https://www.eliteprospects.com/player/3656/eric-staal,2008-09,nhl,Eric Staal,C,FW,0,0.0,0
Simon Gagné (LW),Philadelphia Flyers,79,34,40,74,0.94,42,21,https://www.eliteprospects.com/player/8828/simon-gagne,2008-09,nhl,Simon Gagné,LW,FW,0,0.0,0
Daniel Alfredsson (RW),Ottawa Senators,79,24,50,74,0.94,24,7,https://www.eliteprospects.com/player/702/daniel-alfredsson,2008-09,nhl,Daniel Alfredsson,RW,FW,0,0.0,0
Jason Spezza (C),Ottawa Senators,82,32,41,73,0.89,79,-14,https://www.eliteprospects.com/player/3661/jason-spezza,2008-09,nhl,Jason Spezza,C,FW,0,0.0,0
Mike Green (D),Washington Capitals,68,31,42,73,1.07,68,24,https://www.eliteprospects.com/player/9476/mike-green,2008-09,nhl,Mike Green,D,DEF,0,0.0,0
Henrik Zetterberg (C),Detroit Red Wings,77,31,42,73,0.95,36,13,https://www.eliteprospects.com/player/285/henrik-zetterberg,2008-09,nhl,Henrik Zetterberg,C,FW,0,0.0,0
Shane Doan (RW),Phoenix Coyotes,82,31,42,73,0.89,72,5,https://www.eliteprospects.com/player/9137/shane-doan,2008-09,nhl,Shane Doan,RW,FW,0,0.0,0
Todd White (C),Atlanta Thrashers,82,22,51,73,0.89,24,-9,https://www.eliteprospects.com/player/5532/todd-white,2008-09,nhl,Todd White,C,FW,0,0.0,0
David Krejci (C),Boston Bruins,82,22,51,73,0.89,26,37,https://www.eliteprospects.com/player/9226/david-krejci,2008-09,nhl,David Krejci,C,FW,0,0.0,0
Dany Heatley (LW/RW),Ottawa Senators,82,39,33,72,0.88,88,-11,https://www.eliteprospects.com/player/3664/dany-heatley,2008-09,nhl,Dany Heatley,LW/RW,FW,0,0.0,0
Brad Boyes (RW),St. Louis Blues,82,33,39,72,0.88,26,-20,https://www.eliteprospects.com/player/9092/brad-boyes,2008-09,nhl,Brad Boyes,RW,FW,0,0.0,0
Corey Perry (RW),Anaheim Ducks,78,32,40,72,0.92,109,10,https://www.eliteprospects.com/player/8541/corey-perry,2008-09,nhl,Corey Perry,RW,FW,0,0.0,0
Marián Hossa (RW),Detroit Red Wings,74,40,31,71,0.96,63,27,https://www.eliteprospects.com/player/4720/marian-hossa,2008-09,nhl,Marián Hossa,RW,FW,0,0.0,0
Patrick Marleau (LW),San Jose Sharks,76,38,33,71,0.93,18,16,https://www.eliteprospects.com/player/3671/patrick-marleau,2008-09,nhl,Patrick Marleau,LW,FW,0,0.0,0
Derek Roy (C),Buffalo Sabres,82,28,42,70,0.85,38,-5,https://www.eliteprospects.com/player/8810/derek-roy,2008-09,nhl,Derek Roy,C,FW,0,0.0,0
Patrick Kane (RW),Chicago Blackhawks,80,25,45,70,0.88,42,-2,https://www.eliteprospects.com/player/9326/patrick-kane,2008-09,nhl,Patrick Kane,RW,FW,0,0.0,0
Jonathan Toews (C),Chicago Blackhawks,82,34,35,69,0.84,51,12,https://www.eliteprospects.com/player/8792/jonathan-toews,2008-09,nhl,Jonathan Toews,C,FW,Jonathan Toews,6.0,1
Jamie Langenbrunner (RW),New Jersey Devils,81,29,40,69,0.85,56,25,https://www.eliteprospects.com/player/8742/jamie-langenbrunner,2008-09,nhl,Jamie Langenbrunner,RW,FW,0,0.0,0
Vincent Lecavalier (C),Tampa Bay Lightning,77,29,38,67,0.87,54,-9,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2008-09,nhl,Vincent Lecavalier,C,FW,0,0.0,0
Mikko Koivu (C),Minnesota Wild,79,20,47,67,0.85,66,2,https://www.eliteprospects.com/player/2696/mikko-koivu,2008-09,nhl,Mikko Koivu,C,FW,0,0.0,0
Anze Kopitar (C),Los Angeles Kings,82,27,39,66,0.80,32,-17,https://www.eliteprospects.com/player/4233/anze-kopitar,2008-09,nhl,Anze Kopitar,C,FW,0,0.0,0
Ales Hemsky (RW),Edmonton Oilers,72,23,43,66,0.92,32,1,https://www.eliteprospects.com/player/8600/ales-hemsky,2008-09,nhl,Ales Hemsky,RW,FW,0,0.0,0
Jason Pominville (RW),Buffalo Sabres,82,20,46,66,0.80,18,-4,https://www.eliteprospects.com/player/8809/jason-pominville,2008-09,nhl,Jason Pominville,RW,FW,0,0.0,0
Devin Setoguchi (RW),San Jose Sharks,81,31,34,65,0.80,25,16,https://www.eliteprospects.com/player/9360/devin-setoguchi,2008-09,nhl,Devin Setoguchi,RW,FW,0,0.0,0
Alexei Kovalev (RW),Montréal Canadiens,78,26,39,65,0.83,74,-5,https://www.eliteprospects.com/player/8670/alexei-kovalev,2008-09,nhl,Alexei Kovalev,RW,FW,0,0.0,0
Jean-Pierre Dumont (RW),Nashville Predators,82,16,49,65,0.79,20,1,https://www.eliteprospects.com/player/8783/jean-pierre-dumont,2008-09,nhl,Jean-Pierre Dumont,RW,FW,0,0.0,0
Thomas Vanek (LW/RW),Buffalo Sabres,73,40,24,64,0.88,44,-1,https://www.eliteprospects.com/player/8493/thomas-vanek,2008-09,nhl,Thomas Vanek,LW/RW,FW,0,0.0,0
Andrei Markov (D),Montréal Canadiens,78,12,52,64,0.82,36,-2,https://www.eliteprospects.com/player/8579/andrei-markov,2008-09,nhl,Andrei Markov,D,DEF,0,0.0,0
Loui Eriksson (LW/RW),Dallas Stars,82,36,27,63,0.77,14,14,https://www.eliteprospects.com/player/683/loui-eriksson,2008-09,nhl,Loui Eriksson,LW/RW,FW,0,0.0,0
Jason Blake (LW/C),Toronto Maple Leafs,78,25,38,63,0.81,40,-2,https://www.eliteprospects.com/player/8782/jason-blake,2008-09,nhl,Jason Blake,LW/C,FW,0,0.0,0
