player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Patrick Marleau (LW),San Jose Sharks,77,32,46,78,1.01,33,9,https://www.eliteprospects.com/player/3671/patrick-marleau,2006-07,nhl,Patrick Marleau,LW,FW,0,0.0,0
Paul Stastny (C),Colorado Avalanche,82,28,50,78,0.95,42,4,https://www.eliteprospects.com/player/10212/paul-stastny,2006-07,nhl,Paul Stastny,C,FW,0,0.0,0
Andy McDonald (C/LW),Anaheim Ducks,82,27,51,78,0.95,46,16,https://www.eliteprospects.com/player/8527/andy-mcdonald,2006-07,nhl,Andy McDonald,C/LW,FW,0,0.0,0
Kristian Huselius (LW),Calgary Flames,81,34,43,77,0.95,26,21,https://www.eliteprospects.com/player/691/kristian-huselius,2006-07,nhl,Kristian Huselius,LW,FW,0,0.0,0
Daymond Langkow (C),Calgary Flames,81,33,44,77,0.95,44,23,https://www.eliteprospects.com/player/8986/daymond-langkow,2006-07,nhl,Daymond Langkow,C,FW,Daymond Langkow,1.0,1
Ilya Kovalchuk (LW/RW),Atlanta Thrashers,82,42,34,76,0.93,66,-2,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2006-07,nhl,Ilya Kovalchuk,LW/RW,FW,0,0.0,0
Mats Sundin (C),Toronto Maple Leafs,75,27,49,76,1.01,62,-2,https://www.eliteprospects.com/player/467/mats-sundin,2006-07,nhl,Mats Sundin,C,FW,0,0.0,0
Paul Kariya (LW),Nashville Predators,82,24,52,76,0.93,36,6,https://www.eliteprospects.com/player/9002/paul-kariya,2006-07,nhl,Paul Kariya,LW,FW,0,0.0,0
Saku Koivu (C),Montréal Canadiens,81,22,53,75,0.93,74,-21,https://www.eliteprospects.com/player/2669/saku-koivu,2006-07,nhl,Saku Koivu,C,FW,0,0.0,0
Alexander Syomin (RW/LW),Washington Capitals,77,38,35,73,0.95,90,-7,https://www.eliteprospects.com/player/8633/alexander-syomin,2006-07,nhl,Alexander Syomin,RW/LW,FW,0,0.0,0
Alexander Frolov (LW),Los Angeles Kings,82,35,36,71,0.87,34,-8,https://www.eliteprospects.com/player/8591/alexander-frolov,2006-07,nhl,Alexander Frolov,LW,FW,0,0.0,0
Milan Hejduk (RW),Colorado Avalanche,80,35,35,70,0.88,44,10,https://www.eliteprospects.com/player/8603/milan-hejduk,2006-07,nhl,Milan Hejduk,RW,FW,0,0.0,0
Eric Staal (C),Carolina Hurricanes,82,30,40,70,0.85,68,-6,https://www.eliteprospects.com/player/3656/eric-staal,2006-07,nhl,Eric Staal,C,FW,0,0.0,0
Martin Straka (C),New York Rangers,77,29,41,70,0.91,24,16,https://www.eliteprospects.com/player/8689/martin-straka,2006-07,nhl,Martin Straka,C,FW,Martin Straka,2.0,1
Brad Richards (C),Tampa Bay Lightning,82,25,45,70,0.85,23,19,https://www.eliteprospects.com/player/4723/brad-richards,2006-07,nhl,Brad Richards,C,FW,0,0.0,0
Patrice Bergeron (C),Boston Bruins,77,22,48,70,0.91,26,-28,https://www.eliteprospects.com/player/9079/patrice-bergeron,2006-07,nhl,Patrice Bergeron,C,FW,Patrice Bergeron,72.0,1
Jason Blake (LW/C),New York Islanders,82,40,29,69,0.84,34,1,https://www.eliteprospects.com/player/8782/jason-blake,2006-07,nhl,Jason Blake,LW/C,FW,0,0.0,0
Jonathan Cheechoo (RW),San Jose Sharks,76,37,32,69,0.91,69,11,https://www.eliteprospects.com/player/5529/jonathan-cheechoo,2006-07,nhl,Jonathan Cheechoo,RW,FW,0,0.0,0
Chris Drury (C),Buffalo Sabres,77,37,32,69,0.90,30,1,https://www.eliteprospects.com/player/8804/chris-drury,2006-07,nhl,Chris Drury,C,FW,0,0.0,0
Patrik Elias (LW),New Jersey Devils,75,21,48,69,0.92,38,1,https://www.eliteprospects.com/player/8698/patrik-elias,2006-07,nhl,Patrik Elias,LW,FW,0,0.0,0
Scott Niedermayer (D),Anaheim Ducks,79,15,54,69,0.87,86,6,https://www.eliteprospects.com/player/8521/scott-niedermayer,2006-07,nhl,Scott Niedermayer,D,DEF,0,0.0,0
Simon Gagné (LW),Philadelphia Flyers,76,41,27,68,0.89,30,2,https://www.eliteprospects.com/player/8828/simon-gagne,2006-07,nhl,Simon Gagné,LW,FW,0,0.0,0
Ryan Smyth (LW),totals,71,36,32,68,0.96,52,-2,https://www.eliteprospects.com/player/8888/ryan-smyth,2006-07,nhl,Ryan Smyth,LW,FW,Ryan Smyth,6.0,1
Jason Pominville (RW),Buffalo Sabres,82,34,34,68,0.83,30,25,https://www.eliteprospects.com/player/8809/jason-pominville,2006-07,nhl,Jason Pominville,RW,FW,0,0.0,0
Henrik Zetterberg (C),Detroit Red Wings,63,33,35,68,1.08,36,26,https://www.eliteprospects.com/player/285/henrik-zetterberg,2006-07,nhl,Henrik Zetterberg,C,FW,0,0.0,0
Mark Recchi (RW),Pittsburgh Penguins,82,24,44,68,0.83,62,1,https://www.eliteprospects.com/player/8869/mark-recchi,2006-07,nhl,Mark Recchi,RW,FW,0,0.0,0
Justin Williams (RW),Carolina Hurricanes,82,33,34,67,0.82,73,-11,https://www.eliteprospects.com/player/4506/justin-williams,2006-07,nhl,Justin Williams,RW,FW,0,0.0,0
Sergei Gonchar (D),Pittsburgh Penguins,82,13,54,67,0.82,72,-5,https://www.eliteprospects.com/player/8678/sergei-gonchar,2006-07,nhl,Sergei Gonchar,D,DEF,0,0.0,0
Milan Michálek (LW/RW),San Jose Sharks,78,26,40,66,0.85,36,17,https://www.eliteprospects.com/player/8586/milan-michalek,2006-07,nhl,Milan Michálek,LW/RW,FW,0,0.0,0
Jean-Pierre Dumont (RW),Nashville Predators,82,21,45,66,0.80,28,14,https://www.eliteprospects.com/player/8783/jean-pierre-dumont,2006-07,nhl,Jean-Pierre Dumont,RW,FW,0,0.0,0
Brian Rolston (LW),Minnesota Wild,78,31,33,64,0.82,46,6,https://www.eliteprospects.com/player/8927/brian-rolston,2006-07,nhl,Brian Rolston,LW,FW,0,0.0,0
Sheldon Souray (D),Montréal Canadiens,81,26,38,64,0.79,135,-28,https://www.eliteprospects.com/player/4505/sheldon-souray,2006-07,nhl,Sheldon Souray,D,DEF,0,0.0,0
Pavol Demitra (C),Minnesota Wild,71,25,39,64,0.90,28,0,https://www.eliteprospects.com/player/8596/pavol-demitra,2006-07,nhl,Pavol Demitra,C,FW,0,0.0,0
David Výborný (C),Columbus Blue Jackets,82,16,48,64,0.78,60,6,https://www.eliteprospects.com/player/1920/david-vyborny,2006-07,nhl,David Výborný,C,FW,0,0.0,0
David Legwand (C),Nashville Predators,78,27,36,63,0.81,44,23,https://www.eliteprospects.com/player/3668/david-legwand,2006-07,nhl,David Legwand,C,FW,0,0.0,0
Derek Roy (C),Buffalo Sabres,75,21,42,63,0.84,60,37,https://www.eliteprospects.com/player/8810/derek-roy,2006-07,nhl,Derek Roy,C,FW,0,0.0,0
Dan Boyle (D),Tampa Bay Lightning,82,20,43,63,0.77,62,-5,https://www.eliteprospects.com/player/5369/dan-boyle,2006-07,nhl,Dan Boyle,D,DEF,0,0.0,0
Zach Parise (LW/RW),New Jersey Devils,82,31,31,62,0.76,30,-3,https://www.eliteprospects.com/player/8903/zach-parise,2006-07,nhl,Zach Parise,LW/RW,FW,0,0.0,0
Nathan Horton (RW),Florida Panthers,82,31,31,62,0.76,61,15,https://www.eliteprospects.com/player/3657/nathan-horton,2006-07,nhl,Nathan Horton,RW,FW,0,0.0,0
Brendan Shanahan (LW),New York Rangers,67,29,33,62,0.93,47,2,https://www.eliteprospects.com/player/8693/brendan-shanahan,2006-07,nhl,Brendan Shanahan,LW,FW,0,0.0,0
Nicklas Lidström (D),Detroit Red Wings,80,13,49,62,0.78,46,40,https://www.eliteprospects.com/player/722/nicklas-lidstrom,2006-07,nhl,Nicklas Lidström,D,DEF,0,0.0,0
Erik Cole (LW),Carolina Hurricanes,71,29,32,61,0.86,76,2,https://www.eliteprospects.com/player/8732/erik-cole,2006-07,nhl,Erik Cole,LW,FW,0,0.0,0
Maxim Afinogenov (RW),Buffalo Sabres,56,23,38,61,1.09,66,19,https://www.eliteprospects.com/player/8672/maxim-afinogenov,2006-07,nhl,Maxim Afinogenov,RW,FW,0,0.0,0
Anze Kopitar (C),Los Angeles Kings,72,20,41,61,0.85,24,-12,https://www.eliteprospects.com/player/4233/anze-kopitar,2006-07,nhl,Anze Kopitar,C,FW,0,0.0,0
Chris Kunitz (LW),Anaheim Ducks,81,25,35,60,0.74,81,23,https://www.eliteprospects.com/player/8523/chris-kunitz,2006-07,nhl,Chris Kunitz,LW,FW,0,0.0,0
Dainius Zubrus (W/C),totals,79,24,36,60,0.76,62,-19,https://www.eliteprospects.com/player/8632/dainius-zubrus,2006-07,nhl,Dainius Zubrus,W/C,FW,0,0.0,0
Markus Näslund (LW),Vancouver Canucks,82,24,36,60,0.73,54,3,https://www.eliteprospects.com/player/697/markus-naslund,2006-07,nhl,Markus Näslund,LW,FW,0,0.0,0
Jamie Langenbrunner (RW),New Jersey Devils,82,23,37,60,0.73,64,-9,https://www.eliteprospects.com/player/8742/jamie-langenbrunner,2006-07,nhl,Jamie Langenbrunner,RW,FW,0,0.0,0
Steve Sullivan (LW),Nashville Predators,57,22,38,60,1.05,20,16,https://www.eliteprospects.com/player/8896/steve-sullivan,2006-07,nhl,Steve Sullivan,LW,FW,0,0.0,0
Scott Gomez (C),New Jersey Devils,72,13,47,60,0.83,42,7,https://www.eliteprospects.com/player/9050/scott-gomez,2006-07,nhl,Scott Gomez,C,FW,0,0.0,0
Miroslav Satan (RW),New York Islanders,81,27,32,59,0.73,46,-12,https://www.eliteprospects.com/player/666/miroslav-satan,2006-07,nhl,Miroslav Satan,RW,FW,0,0.0,0
Mike Sillinger (C),New York Islanders,82,26,33,59,0.72,46,5,https://www.eliteprospects.com/player/8881/mike-sillinger,2006-07,nhl,Mike Sillinger,C,FW,0,0.0,0
Mike Ribeiro (C),Dallas Stars,81,18,41,59,0.73,22,3,https://www.eliteprospects.com/player/8715/mike-ribeiro,2006-07,nhl,Mike Ribeiro,C,FW,0,0.0,0
Doug Weight (C),St. Louis Blues,82,16,43,59,0.72,56,10,https://www.eliteprospects.com/player/8733/doug-weight,2006-07,nhl,Doug Weight,C,FW,0,0.0,0
Ryan Whitney (D),Pittsburgh Penguins,81,14,45,59,0.73,77,9,https://www.eliteprospects.com/player/9399/ryan-whitney,2006-07,nhl,Ryan Whitney,D,DEF,0,0.0,0
Chris Pronger (D),Anaheim Ducks,66,13,46,59,0.89,69,27,https://www.eliteprospects.com/player/8538/chris-pronger,2006-07,nhl,Chris Pronger,D,DEF,Chris Pronger,2.0,1
Michael Ryder (RW),Montréal Canadiens,82,30,28,58,0.71,60,-25,https://www.eliteprospects.com/player/4487/michael-ryder,2006-07,nhl,Michael Ryder,RW,FW,0,0.0,0
Keith Tkachuk (LW),totals,79,27,31,58,0.73,126,11,https://www.eliteprospects.com/player/8856/keith-tkachuk,2006-07,nhl,Keith Tkachuk,LW,FW,0,0.0,0
Ryan Getzlaf (C),Anaheim Ducks,82,25,33,58,0.71,66,17,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2006-07,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Lubomir Visnovsky (D),Los Angeles Kings,69,18,40,58,0.84,26,1,https://www.eliteprospects.com/player/8592/lubomir-visnovsky,2006-07,nhl,Lubomir Visnovsky,D,DEF,0,0.0,0
Tomas Kaberle (D),Toronto Maple Leafs,74,11,47,58,0.78,20,3,https://www.eliteprospects.com/player/8542/tomas-kaberle,2006-07,nhl,Tomas Kaberle,D,DEF,0,0.0,0
Marián Gáborík (RW/LW),Minnesota Wild,48,30,27,57,1.19,40,12,https://www.eliteprospects.com/player/3665/marian-gaborik,2006-07,nhl,Marián Gáborík,RW/LW,FW,0,0.0,0
Rick Nash (LW/RW),Columbus Blue Jackets,75,27,30,57,0.76,73,-8,https://www.eliteprospects.com/player/3658/rick-nash,2006-07,nhl,Rick Nash,LW/RW,FW,0,0.0,0
Martin Havlát (RW/LW),Chicago Blackhawks,56,25,32,57,1.02,28,15,https://www.eliteprospects.com/player/8624/martin-havlat,2006-07,nhl,Martin Havlát,RW/LW,FW,0,0.0,0
Jozef Stümpel (C),Florida Panthers,73,23,34,57,0.78,22,2,https://www.eliteprospects.com/player/8649/jozef-stumpel,2006-07,nhl,Jozef Stümpel,C,FW,0,0.0,0
Pierre-Marc Bouchard (C),Minnesota Wild,82,20,37,57,0.70,14,13,https://www.eliteprospects.com/player/9086/pierre-marc-bouchard,2006-07,nhl,Pierre-Marc Bouchard,C,FW,0,0.0,0
Martin Erat (RW/LW),Nashville Predators,68,16,41,57,0.84,50,13,https://www.eliteprospects.com/player/8611/martin-erat,2006-07,nhl,Martin Erat,RW/LW,FW,0,0.0,0
Bryan McCabe (D),Toronto Maple Leafs,82,15,42,57,0.70,115,3,https://www.eliteprospects.com/player/4727/bryan-mccabe,2006-07,nhl,Bryan McCabe,D,DEF,0,0.0,0
Bill Guerin (RW),totals,77,36,20,56,0.73,66,10,https://www.eliteprospects.com/player/9053/bill-guerin,2006-07,nhl,Bill Guerin,RW,FW,Bill Guerin,1.0,1
Jochen Hecht (C/LW),Buffalo Sabres,76,19,37,56,0.74,39,19,https://www.eliteprospects.com/player/8674/jochen-hecht,2006-07,nhl,Jochen Hecht,C/LW,FW,0,0.0,0
Shane Doan (RW),Phoenix Coyotes,73,27,28,55,0.75,73,-14,https://www.eliteprospects.com/player/9137/shane-doan,2006-07,nhl,Shane Doan,RW,FW,0,0.0,0
Václav Prospal (LW/C),Tampa Bay Lightning,82,14,41,55,0.67,36,24,https://www.eliteprospects.com/player/8641/vaclav-prospal,2006-07,nhl,Václav Prospal,LW/C,FW,0,0.0,0
Peter Forsberg (C),totals,57,13,42,55,0.96,88,7,https://www.eliteprospects.com/player/710/peter-forsberg,2006-07,nhl,Peter Forsberg,C,FW,0,0.0,0
Kimmo Timonen (D),Nashville Predators,80,13,42,55,0.69,42,20,https://www.eliteprospects.com/player/2664/kimmo-timonen,2006-07,nhl,Kimmo Timonen,D,DEF,0,0.0,0
Ladislav Nagy (LW/RW),totals,80,12,43,55,0.69,54,-5,https://www.eliteprospects.com/player/5522/ladislav-nagy,2006-07,nhl,Ladislav Nagy,LW/RW,FW,0,0.0,0
Brian Rafalski (D),New Jersey Devils,82,8,47,55,0.67,34,4,https://www.eliteprospects.com/player/1635/brian-rafalski,2006-07,nhl,Brian Rafalski,D,DEF,0,0.0,0
Chris Clark (RW),Washington Capitals,74,30,24,54,0.73,66,-10,https://www.eliteprospects.com/player/8766/chris-clark,2006-07,nhl,Chris Clark,RW,FW,Chris Clark,8.0,1
Jason Arnott (C),Nashville Predators,68,27,27,54,0.79,48,15,https://www.eliteprospects.com/player/9068/jason-arnott,2006-07,nhl,Jason Arnott,C,FW,0,0.0,0
Mike Knuble (RW),Philadelphia Flyers,64,24,30,54,0.84,56,2,https://www.eliteprospects.com/player/4322/mike-knuble,2006-07,nhl,Mike Knuble,RW,FW,0,0.0,0
Mikko Koivu (C),Minnesota Wild,82,20,34,54,0.66,58,6,https://www.eliteprospects.com/player/2696/mikko-koivu,2006-07,nhl,Mikko Koivu,C,FW,0,0.0,0
Sergei Zubov (D),Dallas Stars,78,12,42,54,0.69,26,0,https://www.eliteprospects.com/player/8508/sergei-zubov,2006-07,nhl,Sergei Zubov,D,DEF,0,0.0,0
Petr Sýkora (RW),Edmonton Oilers,82,22,31,53,0.65,40,-20,https://www.eliteprospects.com/player/8692/petr-sykora,2006-07,nhl,Petr Sýkora,RW,FW,0,0.0,0
Ales Hemsky (RW),Edmonton Oilers,64,13,40,53,0.83,40,-7,https://www.eliteprospects.com/player/8600/ales-hemsky,2006-07,nhl,Ales Hemsky,RW,FW,0,0.0,0
Tomas Holmström (RW),Detroit Red Wings,77,30,22,52,0.68,58,13,https://www.eliteprospects.com/player/712/tomas-holmstrom,2006-07,nhl,Tomas Holmström,RW,FW,0,0.0,0
Lee Stempniak (RW),St. Louis Blues,82,27,25,52,0.63,33,-2,https://www.eliteprospects.com/player/10199/lee-stempniak,2006-07,nhl,Lee Stempniak,RW,FW,0,0.0,0
Robert Lang (C),Detroit Red Wings,81,19,33,52,0.64,66,12,https://www.eliteprospects.com/player/8617/robert-lang,2006-07,nhl,Robert Lang,C,FW,0,0.0,0
Mathieu Schneider (D),Detroit Red Wings,68,11,41,52,0.76,66,12,https://www.eliteprospects.com/player/8875/mathieu-schneider,2006-07,nhl,Mathieu Schneider,D,DEF,0,0.0,0
Viktor Kozlov (C/RW),New York Islanders,81,25,26,51,0.63,28,12,https://www.eliteprospects.com/player/8699/viktor-kozlov,2006-07,nhl,Viktor Kozlov,C/RW,FW,0,0.0,0
Scott Walker (RW),Carolina Hurricanes,81,21,30,51,0.63,45,-10,https://www.eliteprospects.com/player/8801/scott-walker,2006-07,nhl,Scott Walker,RW,FW,0,0.0,0
Brendan Morrison (C),Vancouver Canucks,82,20,31,51,0.62,58,-9,https://www.eliteprospects.com/player/4321/brendan-morrison,2006-07,nhl,Brendan Morrison,C,FW,0,0.0,0
Philippe Boucher (D),Dallas Stars,76,19,32,51,0.67,104,2,https://www.eliteprospects.com/player/9087/philippe-boucher,2006-07,nhl,Philippe Boucher,D,DEF,0,0.0,0
Shawn Horcoff (C),Edmonton Oilers,80,16,35,51,0.64,56,-22,https://www.eliteprospects.com/player/4375/shawn-horcoff,2006-07,nhl,Shawn Horcoff,C,FW,0,0.0,0
Wojtek Wolski (LW/RW),Colorado Avalanche,76,22,28,50,0.66,14,2,https://www.eliteprospects.com/player/8832/wojtek-wolski,2006-07,nhl,Wojtek Wolski,LW/RW,FW,0,0.0,0
Alexei Yashin (C),New York Islanders,58,18,32,50,0.86,44,6,https://www.eliteprospects.com/player/8695/alexei-yashin,2006-07,nhl,Alexei Yashin,C,FW,0,0.0,0
Dion Phaneuf (D),Calgary Flames,79,17,33,50,0.63,98,10,https://www.eliteprospects.com/player/8564/dion-phaneuf,2006-07,nhl,Dion Phaneuf,D,DEF,0,0.0,0
Tyler Arnason (C),Colorado Avalanche,82,16,33,49,0.60,26,-8,https://www.eliteprospects.com/player/4746/tyler-arnason,2006-07,nhl,Tyler Arnason,C,FW,0,0.0,0
Andrei Markov (D),Montréal Canadiens,77,6,43,49,0.64,56,2,https://www.eliteprospects.com/player/8579/andrei-markov,2006-07,nhl,Andrei Markov,D,DEF,0,0.0,0
Mike Fisher (C),Ottawa Senators,68,22,26,48,0.71,41,15,https://www.eliteprospects.com/player/8771/mike-fisher,2006-07,nhl,Mike Fisher,C,FW,0,0.0,0
Stephen Weiss (C),Florida Panthers,74,20,28,48,0.65,28,-1,https://www.eliteprospects.com/player/8817/stephen-weiss,2006-07,nhl,Stephen Weiss,C,FW,0,0.0,0
Michel Ouellet (RW),Pittsburgh Penguins,73,19,29,48,0.66,30,-3,https://www.eliteprospects.com/player/8946/michel-ouellet,2006-07,nhl,Michel Ouellet,RW,FW,0,0.0,0
Sean Avery (LW/C),totals,84,18,30,48,0.57,174,1,https://www.eliteprospects.com/player/8720/sean-avery,2006-07,nhl,Sean Avery,LW/C,FW,0,0.0,0
Petr Cajanek (C),St. Louis Blues,77,15,33,48,0.62,54,9,https://www.eliteprospects.com/player/8609/petr-cajanek,2006-07,nhl,Petr Cajanek,C,FW,0,0.0,0
Jussi Jokinen (W/C),Dallas Stars,82,14,34,48,0.59,18,8,https://www.eliteprospects.com/player/2716/jussi-jokinen,2006-07,nhl,Jussi Jokinen,W/C,FW,0,0.0,0
Brian Campbell (D),Buffalo Sabres,82,6,42,48,0.59,35,28,https://www.eliteprospects.com/player/8565/brian-campbell,2006-07,nhl,Brian Campbell,D,DEF,0,0.0,0
Tomas Plekanec (C),Montréal Canadiens,81,20,27,47,0.58,36,10,https://www.eliteprospects.com/player/8668/tomas-plekanec,2006-07,nhl,Tomas Plekanec,C,FW,0,0.0,0
Alexei Kovalev (RW),Montréal Canadiens,73,18,29,47,0.64,78,-19,https://www.eliteprospects.com/player/8670/alexei-kovalev,2006-07,nhl,Alexei Kovalev,RW,FW,0,0.0,0
Matthew Lombardi (C),Calgary Flames,81,20,26,46,0.57,48,10,https://www.eliteprospects.com/player/8999/matthew-lombardi,2006-07,nhl,Matthew Lombardi,C,FW,0,0.0,0
Brad Boyes (RW),totals,81,17,29,46,0.57,29,-17,https://www.eliteprospects.com/player/9092/brad-boyes,2006-07,nhl,Brad Boyes,RW,FW,0,0.0,0
Dustin Brown (RW/LW),Los Angeles Kings,81,17,29,46,0.57,54,-21,https://www.eliteprospects.com/player/9099/dustin-brown,2006-07,nhl,Dustin Brown,RW/LW,FW,0,0.0,0
Marc-André Bergeron (D),totals,78,14,32,46,0.59,38,-4,https://www.eliteprospects.com/player/5672/marc-andre-bergeron,2006-07,nhl,Marc-André Bergeron,D,DEF,0,0.0,0
Peter Schaefer (LW),Ottawa Senators,77,12,34,46,0.60,32,7,https://www.eliteprospects.com/player/8757/peter-schaefer,2006-07,nhl,Peter Schaefer,LW,FW,0,0.0,0
Dustin Penner (LW),Anaheim Ducks,82,29,16,45,0.55,58,-2,https://www.eliteprospects.com/player/8540/dustin-penner,2006-07,nhl,Dustin Penner,LW,FW,0,0.0,0
Glen Murray (RW),Boston Bruins,59,28,17,45,0.76,44,-12,https://www.eliteprospects.com/player/8576/glen-murray,2006-07,nhl,Glen Murray,RW,FW,0,0.0,0
Brian Gionta (RW),New Jersey Devils,62,25,20,45,0.73,36,-3,https://www.eliteprospects.com/player/9048/brian-gionta,2006-07,nhl,Brian Gionta,RW,FW,0,0.0,0
Alexei Ponikarovsky (LW),Toronto Maple Leafs,71,21,24,45,0.63,63,8,https://www.eliteprospects.com/player/8658/alexei-ponikarovsky,2006-07,nhl,Alexei Ponikarovsky,LW,FW,0,0.0,0
Mike Comrie (C),totals,65,20,25,45,0.69,44,0,https://www.eliteprospects.com/player/4701/mike-comrie,2006-07,nhl,Mike Comrie,C,FW,0,0.0,0
Marco Sturm (LW),Boston Bruins,76,27,17,44,0.58,46,-24,https://www.eliteprospects.com/player/8573/marco-sturm,2006-07,nhl,Marco Sturm,LW,FW,Marco Sturm,1.0,1
