player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Sidney Crosby (C),Pittsburgh Penguins,79,36,84,120,1.52,60,10,https://www.eliteprospects.com/player/6146/sidney-crosby,2006-07,nhl,Sidney Crosby,C,FW,0,0.0,0
Joe Thornton (C),San Jose Sharks,82,22,92,114,1.39,44,24,https://www.eliteprospects.com/player/3670/joe-thornton,2006-07,nhl,Joe Thornton,C,FW,0,0.0,0
Vincent Lecavalier (C),Tampa Bay Lightning,82,52,56,108,1.32,44,2,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2006-07,nhl,Vincent Lecavalier,C,FW,0,0.0,0
Dany Heatley (LW/RW),Ottawa Senators,82,50,55,105,1.28,74,31,https://www.eliteprospects.com/player/3664/dany-heatley,2006-07,nhl,Dany Heatley,LW/RW,FW,0,0.0,0
Martin St-Louis (RW),Tampa Bay Lightning,82,43,59,102,1.24,28,7,https://www.eliteprospects.com/player/8772/martin-st-louis,2006-07,nhl,Martin St-Louis,RW,FW,0,0.0,0
Marián Hossa (RW),Atlanta Thrashers,82,43,57,100,1.22,49,18,https://www.eliteprospects.com/player/4720/marian-hossa,2006-07,nhl,Marián Hossa,RW,FW,0,0.0,0
Joe Sakic (C),Colorado Avalanche,82,36,64,100,1.22,46,2,https://www.eliteprospects.com/player/8862/joe-sakic,2006-07,nhl,Joe Sakic,C,FW,0,0.0,0
Jaromír Jágr (RW),New York Rangers,82,30,66,96,1.17,78,26,https://www.eliteprospects.com/player/8627/jaromir-jagr,2006-07,nhl,Jaromír Jágr,RW,FW,0,0.0,0
Marc Savard (C),Boston Bruins,82,22,74,96,1.17,96,-19,https://www.eliteprospects.com/player/8574/marc-savard,2006-07,nhl,Marc Savard,C,FW,0,0.0,0
Daniel Brière (C),Buffalo Sabres,81,32,63,95,1.17,89,17,https://www.eliteprospects.com/player/8770/daniel-briere,2006-07,nhl,Daniel Brière,C,FW,0,0.0,0
Teemu Selänne (RW),Anaheim Ducks,82,48,46,94,1.15,82,26,https://www.eliteprospects.com/player/2683/teemu-selanne,2006-07,nhl,Teemu Selänne,RW,FW,0,0.0,0
Jarome Iginla (RW),Calgary Flames,70,39,55,94,1.34,40,12,https://www.eliteprospects.com/player/9036/jarome-iginla,2006-07,nhl,Jarome Iginla,RW,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,82,46,46,92,1.12,52,-19,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2006-07,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Olli Jokinen (C),Florida Panthers,82,39,52,91,1.11,78,18,https://www.eliteprospects.com/player/2679/olli-jokinen,2006-07,nhl,Olli Jokinen,C,FW,0,0.0,0
Jason Spezza (C),Ottawa Senators,67,34,53,87,1.30,45,19,https://www.eliteprospects.com/player/3661/jason-spezza,2006-07,nhl,Jason Spezza,C,FW,0,0.0,0
Daniel Alfredsson (RW),Ottawa Senators,77,29,58,87,1.13,42,42,https://www.eliteprospects.com/player/702/daniel-alfredsson,2006-07,nhl,Daniel Alfredsson,RW,FW,0,0.0,0
Pavel Datsyuk (C),Detroit Red Wings,79,27,60,87,1.10,20,36,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2006-07,nhl,Pavel Datsyuk,C,FW,0,0.0,0
Yevgeni Malkin (C),Pittsburgh Penguins,78,33,52,85,1.09,80,2,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2006-07,nhl,Yevgeni Malkin,C,FW,0,0.0,0
Thomas Vanek (LW/RW),Buffalo Sabres,82,43,41,84,1.02,40,47,https://www.eliteprospects.com/player/8493/thomas-vanek,2006-07,nhl,Thomas Vanek,LW/RW,FW,0,0.0,0
Daniel Sedin (LW),Vancouver Canucks,81,36,48,84,1.04,36,19,https://www.eliteprospects.com/player/737/daniel-sedin,2006-07,nhl,Daniel Sedin,LW,FW,0,0.0,0
Ray Whitney (LW),Carolina Hurricanes,81,32,51,83,1.02,46,-5,https://www.eliteprospects.com/player/8824/ray-whitney,2006-07,nhl,Ray Whitney,LW,FW,0,0.0,0
Andrew Brunette (LW),Colorado Avalanche,82,27,56,83,1.01,36,-8,https://www.eliteprospects.com/player/9101/andrew-brunette,2006-07,nhl,Andrew Brunette,LW,FW,0,0.0,0
Michael Nylander (C),New York Rangers,79,26,57,83,1.05,42,12,https://www.eliteprospects.com/player/693/michael-nylander,2006-07,nhl,Michael Nylander,C,FW,0,0.0,0
Rod Brind'Amour (C),Carolina Hurricanes,78,26,56,82,1.05,46,7,https://www.eliteprospects.com/player/8784/rod-brind-amour,2006-07,nhl,Rod Brind'Amour,C,FW,0,0.0,0
Alex Tanguay (LW),Calgary Flames,81,22,59,81,1.00,44,12,https://www.eliteprospects.com/player/8779/alex-tanguay,2006-07,nhl,Alex Tanguay,LW,FW,0,0.0,0
Henrik Sedin (C),Vancouver Canucks,82,10,71,81,0.99,66,19,https://www.eliteprospects.com/player/738/henrik-sedin,2006-07,nhl,Henrik Sedin,C,FW,0,0.0,0
Michael Cammalleri (W/C),Los Angeles Kings,81,34,46,80,0.99,48,5,https://www.eliteprospects.com/player/9104/michael-cammalleri,2006-07,nhl,Michael Cammalleri,W/C,FW,0,0.0,0
Vyacheslav Kozlov (LW),Atlanta Thrashers,81,28,52,80,0.99,36,9,https://www.eliteprospects.com/player/8544/vyacheslav-kozlov,2006-07,nhl,Vyacheslav Kozlov,LW,FW,0,0.0,0
