player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Nikita Kucherov (RW),Tampa Bay Lightning,82,41,87,128,1.56,62,24,https://www.eliteprospects.com/player/77237/nikita-kucherov,2018-19,nhl,Nikita Kucherov,RW,FW,0,0.0,0
Connor McDavid (C),Edmonton Oilers,78,41,75,116,1.49,20,3,https://www.eliteprospects.com/player/183442/connor-mcdavid,2018-19,nhl,Connor McDavid,C,FW,0,0.0,0
Patrick Kane (RW),Chicago Blackhawks,81,44,66,110,1.36,22,2,https://www.eliteprospects.com/player/9326/patrick-kane,2018-19,nhl,Patrick Kane,RW,FW,0,0.0,0
Leon Draisaitl (C/W),Edmonton Oilers,82,50,55,105,1.28,52,2,https://www.eliteprospects.com/player/71913/leon-draisaitl,2018-19,nhl,Leon Draisaitl,C/W,FW,0,0.0,0
Brad Marchand (W/C),Boston Bruins,79,36,64,100,1.27,96,15,https://www.eliteprospects.com/player/10439/brad-marchand,2018-19,nhl,Brad Marchand,W/C,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,79,35,65,100,1.27,36,18,https://www.eliteprospects.com/player/6146/sidney-crosby,2018-19,nhl,Sidney Crosby,C,FW,0,0.0,0
Nathan MacKinnon (C/RW),Colorado Avalanche,82,41,58,99,1.21,34,20,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2018-19,nhl,Nathan MacKinnon,C/RW,FW,0,0.0,0
Johnny Gaudreau (LW),Calgary Flames,82,36,63,99,1.21,24,18,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2018-19,nhl,Johnny Gaudreau,LW,FW,0,0.0,0
Steven Stamkos (C/W),Tampa Bay Lightning,82,45,53,98,1.20,37,4,https://www.eliteprospects.com/player/11113/steven-stamkos,2018-19,nhl,Steven Stamkos,C/W,FW,0,0.0,0
Aleksander Barkov (C),Florida Panthers,82,35,61,96,1.17,8,-3,https://www.eliteprospects.com/player/50044/aleksander-barkov,2018-19,nhl,Aleksander Barkov,C,FW,0,0.0,0
Mitchell Marner (RW),Toronto Maple Leafs,82,26,68,94,1.15,22,22,https://www.eliteprospects.com/player/223194/mitchell-marner,2018-19,nhl,Mitchell Marner,RW,FW,0,0.0,0
Brayden Point (C),Tampa Bay Lightning,79,41,51,92,1.16,28,27,https://www.eliteprospects.com/player/62204/brayden-point,2018-19,nhl,Brayden Point,C,FW,0,0.0,0
Jonathan Huberdeau (LW),Florida Panthers,82,30,62,92,1.12,40,-14,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2018-19,nhl,Jonathan Huberdeau,LW,FW,0,0.0,0
Blake Wheeler (RW/C),Winnipeg Jets,82,20,71,91,1.11,60,0,https://www.eliteprospects.com/player/9215/blake-wheeler,2018-19,nhl,Blake Wheeler,RW/C,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,81,51,38,89,1.10,40,7,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2018-19,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
John Tavares (C),Toronto Maple Leafs,82,47,41,88,1.07,34,19,https://www.eliteprospects.com/player/9223/john-tavares,2018-19,nhl,John Tavares,C,FW,0,0.0,0
Mikko Rantanen (W/C),Colorado Avalanche,74,31,56,87,1.18,54,13,https://www.eliteprospects.com/player/91186/mikko-rantanen,2018-19,nhl,Mikko Rantanen,W/C,FW,0,0.0,0
Artemi Panarin (LW),Columbus Blue Jackets,79,28,59,87,1.10,23,14,https://www.eliteprospects.com/player/24664/artemi-panarin,2018-19,nhl,Artemi Panarin,LW,FW,0,0.0,0
Claude Giroux (W/C),Philadelphia Flyers,82,22,63,85,1.04,24,9,https://www.eliteprospects.com/player/10437/claude-giroux,2018-19,nhl,Claude Giroux,W/C,FW,0,0.0,0
Mark Scheifele (C),Winnipeg Jets,82,38,46,84,1.02,38,8,https://www.eliteprospects.com/player/75379/mark-scheifele,2018-19,nhl,Mark Scheifele,C,FW,0,0.0,0
Sebastian Aho (C/LW),Carolina Hurricanes,82,30,53,83,1.01,26,25,https://www.eliteprospects.com/player/152111/sebastian-aho,2018-19,nhl,Sebastian Aho,C/LW,FW,0,0.0,0
