player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Brent Burns (D),San Jose Sharks,82,16,67,83,1.01,34,13,https://www.eliteprospects.com/player/9103/brent-burns,2018-19,nhl,Brent Burns,D,DEF,0,0.0,0
Sean Monahan (C),Calgary Flames,78,34,48,82,1.05,12,7,https://www.eliteprospects.com/player/85013/sean-monahan,2018-19,nhl,Sean Monahan,C,FW,0,0.0,0
Jack Eichel (C),Buffalo Sabres,77,28,54,82,1.06,26,-11,https://www.eliteprospects.com/player/191959/jack-eichel,2018-19,nhl,Jack Eichel,C,FW,0,0.0,0
Phil Kessel (RW/C),Pittsburgh Penguins,82,27,55,82,1.00,28,-19,https://www.eliteprospects.com/player/8793/phil-kessel,2018-19,nhl,Phil Kessel,RW/C,FW,0,0.0,0
David Pastrnak (RW),Boston Bruins,66,38,43,81,1.23,32,6,https://www.eliteprospects.com/player/130383/david-pastrnak,2018-19,nhl,David Pastrnak,RW,FW,0,0.0,0
Jonathan Toews (C),Chicago Blackhawks,82,35,46,81,0.99,40,2,https://www.eliteprospects.com/player/8792/jonathan-toews,2018-19,nhl,Jonathan Toews,C,FW,0,0.0,0
Tyler Seguin (C/RW),Dallas Stars,82,33,47,80,0.98,18,17,https://www.eliteprospects.com/player/23807/tyler-seguin,2018-19,nhl,Tyler Seguin,C/RW,FW,0,0.0,0
Patrice Bergeron (C),Boston Bruins,65,32,47,79,1.22,30,23,https://www.eliteprospects.com/player/9079/patrice-bergeron,2018-19,nhl,Patrice Bergeron,C,FW,0,0.0,0
Elias Lindholm (C),Calgary Flames,81,27,51,78,0.96,20,30,https://www.eliteprospects.com/player/33387/elias-lindholm,2018-19,nhl,Elias Lindholm,C,FW,0,0.0,0
Matthew Tkachuk (LW/RW),Calgary Flames,80,34,43,77,0.96,62,14,https://www.eliteprospects.com/player/233030/matthew-tkachuk,2018-19,nhl,Matthew Tkachuk,LW/RW,FW,0,0.0,0
Ryan O'Reilly (C),St. Louis Blues,82,28,49,77,0.94,12,22,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2018-19,nhl,Ryan O'Reilly,C,FW,0,0.0,0
Alex DeBrincat (W/C),Chicago Blackhawks,82,41,35,76,0.93,15,0,https://www.eliteprospects.com/player/231275/alex-debrincat,2018-19,nhl,Alex DeBrincat,W/C,FW,0,0.0,0
Jake Guentzel (W/C),Pittsburgh Penguins,82,40,36,76,0.93,26,13,https://www.eliteprospects.com/player/199870/jake-guentzel,2018-19,nhl,Jake Guentzel,W/C,FW,0,0.0,0
Sean Couturier (C),Philadelphia Flyers,80,33,43,76,0.95,34,2,https://www.eliteprospects.com/player/32885/sean-couturier,2018-19,nhl,Sean Couturier,C,FW,0,0.0,0
Teuvo Teräväinen (W/C),Carolina Hurricanes,82,21,55,76,0.93,12,30,https://www.eliteprospects.com/player/44567/teuvo-teravainen,2018-19,nhl,Teuvo Teräväinen,W/C,FW,0,0.0,0
Gabriel Landeskog (LW/RW),Colorado Avalanche,73,34,41,75,1.03,51,17,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2018-19,nhl,Gabriel Landeskog,LW/RW,FW,0,0.0,0
Tomas Hertl (C/LW),San Jose Sharks,77,35,39,74,0.96,18,5,https://www.eliteprospects.com/player/56038/tomas-hertl,2018-19,nhl,Tomas Hertl,C/LW,FW,0,0.0,0
Mika Zibanejad (C),New York Rangers,82,30,44,74,0.90,47,-12,https://www.eliteprospects.com/player/23856/mika-zibanejad,2018-19,nhl,Mika Zibanejad,C,FW,0,0.0,0
Nicklas Bäckström (C),Washington Capitals,80,22,52,74,0.93,30,2,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2018-19,nhl,Nicklas Bäckström,C,FW,0,0.0,0
Mark Giordano (D),Calgary Flames,78,17,57,74,0.95,69,39,https://www.eliteprospects.com/player/9161/mark-giordano,2018-19,nhl,Mark Giordano,D,DEF,0,0.0,0
Auston Matthews (C),Toronto Maple Leafs,68,37,36,73,1.07,12,-9,https://www.eliteprospects.com/player/199898/auston-matthews,2018-19,nhl,Auston Matthews,C,FW,0,0.0,0
Mark Stone (RW),totals,77,33,40,73,0.95,27,17,https://www.eliteprospects.com/player/32806/mark-stone,2018-19,nhl,Mark Stone,RW,FW,0,0.0,0
Dylan Larkin (C),Detroit Red Wings,76,32,41,73,0.96,75,-6,https://www.eliteprospects.com/player/177693/dylan-larkin,2018-19,nhl,Dylan Larkin,C,FW,0,0.0,0
David Krejci (C),Boston Bruins,81,20,53,73,0.90,16,7,https://www.eliteprospects.com/player/9226/david-krejci,2018-19,nhl,David Krejci,C,FW,0,0.0,0
Alexander Radulov (RW),Dallas Stars,70,29,43,72,1.03,54,22,https://www.eliteprospects.com/player/8794/alexander-radulov,2018-19,nhl,Alexander Radulov,RW,FW,0,0.0,0
Max Domi (C/LW),Montréal Canadiens,82,28,44,72,0.88,80,20,https://www.eliteprospects.com/player/95484/max-domi,2018-19,nhl,Max Domi,C/LW,FW,0,0.0,0
Yevgeni Malkin (C),Pittsburgh Penguins,68,21,51,72,1.06,89,-25,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2018-19,nhl,Yevgeni Malkin,C,FW,0,0.0,0
Yevgeni Kuznetsov (C),Washington Capitals,76,21,51,72,0.95,50,7,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,2018-19,nhl,Yevgeni Kuznetsov,C,FW,0,0.0,0
Morgan Rielly (D),Toronto Maple Leafs,82,20,52,72,0.88,14,24,https://www.eliteprospects.com/player/41184/morgan-rielly,2018-19,nhl,Morgan Rielly,D,DEF,0,0.0,0
Mike Hoffman (LW/C),Florida Panthers,82,36,34,70,0.85,30,-24,https://www.eliteprospects.com/player/18800/mike-hoffman,2018-19,nhl,Mike Hoffman,LW/C,FW,0,0.0,0
Matt Duchene (C/RW),totals,73,31,39,70,0.96,8,-3,https://www.eliteprospects.com/player/12571/matt-duchene,2018-19,nhl,Matt Duchene,C/RW,FW,0,0.0,0
Yevgeni Dadonov (RW/LW),Florida Panthers,82,28,42,70,0.85,8,-6,https://www.eliteprospects.com/player/11859/yevgeni-dadonov,2018-19,nhl,Yevgeni Dadonov,RW/LW,FW,0,0.0,0
Logan Couture (C),San Jose Sharks,81,27,43,70,0.86,22,-6,https://www.eliteprospects.com/player/11109/logan-couture,2018-19,nhl,Logan Couture,C,FW,Logan Couture,1.0,1
John Carlson (D),Washington Capitals,80,13,57,70,0.88,34,21,https://www.eliteprospects.com/player/18590/john-carlson,2018-19,nhl,John Carlson,D,DEF,0,0.0,0
Cam Atkinson (RW),Columbus Blue Jackets,80,41,28,69,0.86,20,3,https://www.eliteprospects.com/player/19166/cam-atkinson,2018-19,nhl,Cam Atkinson,RW,FW,0,0.0,0
Ryan Nugent-Hopkins (C),Edmonton Oilers,82,28,41,69,0.84,26,-13,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,2018-19,nhl,Ryan Nugent-Hopkins,C,FW,0,0.0,0
Vladimir Tarasenko (RW),St. Louis Blues,76,33,35,68,0.89,22,8,https://www.eliteprospects.com/player/24787/vladimir-tarasenko,2018-19,nhl,Vladimir Tarasenko,RW,FW,0,0.0,0
Kyle Connor (LW),Winnipeg Jets,82,34,32,66,0.80,18,-7,https://www.eliteprospects.com/player/177671/kyle-connor,2018-19,nhl,Kyle Connor,LW,FW,0,0.0,0
Timo Meier (LW/RW),San Jose Sharks,78,30,36,66,0.85,55,9,https://www.eliteprospects.com/player/95921/timo-meier,2018-19,nhl,Timo Meier,LW/RW,FW,0,0.0,0
Elias Pettersson (C/W),Vancouver Canucks,71,28,38,66,0.93,12,3,https://www.eliteprospects.com/player/266336/elias-pettersson,2018-19,nhl,Elias Pettersson,C/W,FW,0,0.0,0
Jakub Voracek (RW),Philadelphia Flyers,78,20,46,66,0.85,25,-16,https://www.eliteprospects.com/player/9285/jakub-voracek,2018-19,nhl,Jakub Voracek,RW,FW,0,0.0,0
Sam Reinhart (C/RW),Buffalo Sabres,82,22,43,65,0.79,16,-10,https://www.eliteprospects.com/player/95032/sam-reinhart,2018-19,nhl,Sam Reinhart,C/RW,FW,0,0.0,0
Joe Pavelski (C/RW),San Jose Sharks,75,38,26,64,0.85,22,-4,https://www.eliteprospects.com/player/10372/joe-pavelski,2018-19,nhl,Joe Pavelski,C/RW,FW,0,0.0,0
Ryan Johansen (C),Nashville Predators,80,14,50,64,0.80,42,7,https://www.eliteprospects.com/player/45512/ryan-johansen,2018-19,nhl,Ryan Johansen,C,FW,0,0.0,0
Jeff Skinner (LW/C),Buffalo Sabres,82,40,23,63,0.77,36,0,https://www.eliteprospects.com/player/23668/jeff-skinner,2018-19,nhl,Jeff Skinner,LW/C,FW,0,0.0,0
Mathew Barzal (C),New York Islanders,82,18,44,62,0.76,46,-5,https://www.eliteprospects.com/player/186310/mathew-barzal,2018-19,nhl,Mathew Barzal,C,FW,0,0.0,0
Keith Yandle (D),Florida Panthers,82,9,53,62,0.76,50,-17,https://www.eliteprospects.com/player/10247/keith-yandle,2018-19,nhl,Keith Yandle,D,DEF,0,0.0,0
Zach Parise (LW/RW),Minnesota Wild,74,28,33,61,0.82,26,-2,https://www.eliteprospects.com/player/8903/zach-parise,2018-19,nhl,Zach Parise,LW/RW,FW,0,0.0,0
Bo Horvat (C),Vancouver Canucks,82,27,34,61,0.74,33,-4,https://www.eliteprospects.com/player/117012/bo-horvat,2018-19,nhl,Bo Horvat,C,FW,0,0.0,0
Pierre-Luc Dubois (C/LW),Columbus Blue Jackets,82,27,34,61,0.74,64,16,https://www.eliteprospects.com/player/252480/pierre-luc-dubois,2018-19,nhl,Pierre-Luc Dubois,C/LW,FW,0,0.0,0
Gustav Nyquist (C/W),totals,81,22,38,60,0.74,12,1,https://www.eliteprospects.com/player/6223/gustav-nyquist,2018-19,nhl,Gustav Nyquist,C/W,FW,0,0.0,0
Anze Kopitar (C),Los Angeles Kings,81,22,38,60,0.74,30,-20,https://www.eliteprospects.com/player/4233/anze-kopitar,2018-19,nhl,Anze Kopitar,C,FW,0,0.0,0
Erik Gustafsson (D),Chicago Blackhawks,79,17,43,60,0.76,34,-6,https://www.eliteprospects.com/player/15372/erik-gustafsson,2018-19,nhl,Erik Gustafsson,D,DEF,0,0.0,0
Jonathan Marchessault (LW/RW),Vegas Golden Knights,82,25,34,59,0.72,52,2,https://www.eliteprospects.com/player/32872/jonathan-marchessault,2018-19,nhl,Jonathan Marchessault,LW/RW,FW,0,0.0,0
Tyson Barrie (D),Colorado Avalanche,78,14,45,59,0.76,36,-3,https://www.eliteprospects.com/player/15127/tyson-barrie,2018-19,nhl,Tyson Barrie,D,DEF,0,0.0,0
Tomas Tatar (LW/RW),Montréal Canadiens,80,25,33,58,0.73,34,21,https://www.eliteprospects.com/player/17750/tomas-tatar,2018-19,nhl,Tomas Tatar,LW/RW,FW,0,0.0,0
Dylan Strome (C/RW),totals,78,20,37,57,0.73,20,-8,https://www.eliteprospects.com/player/228107/dylan-strome,2018-19,nhl,Dylan Strome,C/RW,FW,Dylan Strome,4.0,1
Evander Kane (LW),San Jose Sharks,75,30,26,56,0.75,153,-4,https://www.eliteprospects.com/player/14657/evander-kane,2018-19,nhl,Evander Kane,LW,FW,0,0.0,0
Brock Boeser (RW),Vancouver Canucks,69,26,30,56,0.81,22,-2,https://www.eliteprospects.com/player/248381/brock-boeser,2018-19,nhl,Brock Boeser,RW,FW,0,0.0,0
Ryan Dzingel (C/W),totals,78,26,30,56,0.72,29,-9,https://www.eliteprospects.com/player/49315/ryan-dzingel,2018-19,nhl,Ryan Dzingel,C/W,FW,0,0.0,0
William Karlsson (C),Vegas Golden Knights,82,24,32,56,0.68,16,1,https://www.eliteprospects.com/player/19432/william-karlsson,2018-19,nhl,William Karlsson,C,FW,0,0.0,0
Kevin Labanc (RW/LW),San Jose Sharks,82,17,39,56,0.68,36,-1,https://www.eliteprospects.com/player/133841/kevin-labanc,2018-19,nhl,Kevin Labanc,RW/LW,FW,0,0.0,0
Kris Letang (D),Pittsburgh Penguins,65,16,40,56,0.86,48,13,https://www.eliteprospects.com/player/9189/kris-letang,2018-19,nhl,Kris Letang,D,DEF,0,0.0,0
Josh Bailey (RW/C),New York Islanders,82,16,40,56,0.68,21,8,https://www.eliteprospects.com/player/14013/josh-bailey,2018-19,nhl,Josh Bailey,RW/C,FW,0,0.0,0
Roman Josi (D),Nashville Predators,82,15,41,56,0.68,42,9,https://www.eliteprospects.com/player/12668/roman-josi,2018-19,nhl,Roman Josi,D,DEF,0,0.0,0
Kevin Hayes (C),totals,71,19,36,55,0.77,12,-2,https://www.eliteprospects.com/player/40243/kevin-hayes,2018-19,nhl,Kevin Hayes,C,FW,0,0.0,0
Thomas Chabot (D),Ottawa Senators,70,14,41,55,0.79,32,-12,https://www.eliteprospects.com/player/213607/thomas-chabot,2018-19,nhl,Thomas Chabot,D,DEF,0,0.0,0
Andreas Athanasiou (C/W),Detroit Red Wings,76,30,24,54,0.71,38,-9,https://www.eliteprospects.com/player/86009/andreas-athanasiou,2018-19,nhl,Andreas Athanasiou,C/W,FW,0,0.0,0
T.J. Oshie (RW),Washington Capitals,69,25,29,54,0.78,36,5,https://www.eliteprospects.com/player/9209/t.j.-oshie,2018-19,nhl,T.J. Oshie,RW,FW,0,0.0,0
Brayden Schenn (C/W),St. Louis Blues,72,17,37,54,0.75,40,3,https://www.eliteprospects.com/player/14739/brayden-schenn,2018-19,nhl,Brayden Schenn,C/W,FW,0,0.0,0
Mikael Granlund (C),totals,79,16,38,54,0.68,24,-8,https://www.eliteprospects.com/player/16037/mikael-granlund,2018-19,nhl,Mikael Granlund,C,FW,0,0.0,0
Victor Hedman (D),Tampa Bay Lightning,70,12,42,54,0.77,44,24,https://www.eliteprospects.com/player/6007/victor-hedman,2018-19,nhl,Victor Hedman,D,DEF,0,0.0,0
Jamie Benn (LW),Dallas Stars,78,27,26,53,0.68,56,14,https://www.eliteprospects.com/player/15399/jamie-benn,2018-19,nhl,Jamie Benn,LW,FW,0,0.0,0
Brock Nelson (C),New York Islanders,82,25,28,53,0.65,28,20,https://www.eliteprospects.com/player/74997/brock-nelson,2018-19,nhl,Brock Nelson,C,FW,0,0.0,0
Nino Niederreiter (RW/LW),totals,82,23,30,53,0.65,30,-4,https://www.eliteprospects.com/player/17679/nino-niederreiter,2018-19,nhl,Nino Niederreiter,RW/LW,FW,0,0.0,0
Justin Williams (RW),Carolina Hurricanes,82,23,30,53,0.65,44,-4,https://www.eliteprospects.com/player/4506/justin-williams,2018-19,nhl,Justin Williams,RW,FW,0,0.0,0
Reilly Smith (RW/LW),Vegas Golden Knights,74,19,34,53,0.72,14,13,https://www.eliteprospects.com/player/33903/reilly-smith,2018-19,nhl,Reilly Smith,RW/LW,FW,0,0.0,0
Jonathan Drouin (LW/C),Montréal Canadiens,81,18,35,53,0.65,26,-8,https://www.eliteprospects.com/player/118657/jonathan-drouin,2018-19,nhl,Jonathan Drouin,LW/C,FW,0,0.0,0
Phillip Danault (C/LW),Montréal Canadiens,81,12,41,53,0.65,39,17,https://www.eliteprospects.com/player/45282/phillip-danault,2018-19,nhl,Phillip Danault,C/LW,FW,0,0.0,0
Torey Krug (D),Boston Bruins,64,6,47,53,0.83,33,-2,https://www.eliteprospects.com/player/37747/torey-krug,2018-19,nhl,Torey Krug,D,DEF,0,0.0,0
Brendan Gallagher (RW),Montréal Canadiens,82,33,19,52,0.63,49,10,https://www.eliteprospects.com/player/25705/brendan-gallagher,2018-19,nhl,Brendan Gallagher,RW,FW,Brendan Gallagher,4.0,1
Chris Kreider (LW),New York Rangers,79,28,24,52,0.66,57,4,https://www.eliteprospects.com/player/37998/chris-kreider,2018-19,nhl,Chris Kreider,LW,FW,0,0.0,0
Eric Staal (C),Minnesota Wild,81,22,30,52,0.64,34,-7,https://www.eliteprospects.com/player/3656/eric-staal,2018-19,nhl,Eric Staal,C,FW,0,0.0,0
Alex Tuch (RW/C),Vegas Golden Knights,74,20,32,52,0.70,8,13,https://www.eliteprospects.com/player/178526/alex-tuch,2018-19,nhl,Alex Tuch,RW/C,FW,0,0.0,0
Anders Lee (LW),New York Islanders,82,28,23,51,0.62,58,20,https://www.eliteprospects.com/player/19068/anders-lee,2018-19,nhl,Anders Lee,LW,FW,0,0.0,0
Dustin Brown (RW/LW),Los Angeles Kings,72,22,29,51,0.71,24,-17,https://www.eliteprospects.com/player/9099/dustin-brown,2018-19,nhl,Dustin Brown,RW/LW,FW,0,0.0,0
Joe Thornton (C),San Jose Sharks,73,16,35,51,0.70,20,8,https://www.eliteprospects.com/player/3670/joe-thornton,2018-19,nhl,Joe Thornton,C,FW,0,0.0,0
Patrik Laine (LW/RW),Winnipeg Jets,82,30,20,50,0.61,42,-24,https://www.eliteprospects.com/player/221667/patrik-laine,2018-19,nhl,Patrik Laine,LW/RW,FW,0,0.0,0
Filip Forsberg (W/C),Nashville Predators,64,28,22,50,0.78,26,8,https://www.eliteprospects.com/player/29626/filip-forsberg,2018-19,nhl,Filip Forsberg,W/C,FW,0,0.0,0
Kyle Palmieri (RW),New Jersey Devils,74,27,23,50,0.68,42,-9,https://www.eliteprospects.com/player/17508/kyle-palmieri,2018-19,nhl,Kyle Palmieri,RW,FW,0,0.0,0
Jacob Trouba (D),Winnipeg Jets,82,8,42,50,0.61,58,8,https://www.eliteprospects.com/player/90349/jacob-trouba,2018-19,nhl,Jacob Trouba,D,DEF,0,0.0,0
Travis Konecny (RW/LW),Philadelphia Flyers,82,24,25,49,0.60,40,-4,https://www.eliteprospects.com/player/205148/travis-konecny,2018-19,nhl,Travis Konecny,RW/LW,FW,Travis Konecny,3.0,1
Carl Söderberg (C),Colorado Avalanche,82,23,26,49,0.60,26,-5,https://www.eliteprospects.com/player/665/carl-soderberg,2018-19,nhl,Carl Söderberg,C,FW,0,0.0,0
Viktor Arvidsson (LW/RW),Nashville Predators,58,34,14,48,0.83,26,12,https://www.eliteprospects.com/player/27484/viktor-arvidsson,2018-19,nhl,Viktor Arvidsson,LW/RW,FW,0,0.0,0
James van Riemsdyk (LW),Philadelphia Flyers,66,27,21,48,0.73,18,-10,https://www.eliteprospects.com/player/9324/james-van-riemsdyk,2018-19,nhl,James van Riemsdyk,LW,FW,0,0.0,0
Anthony Mantha (RW/LW),Detroit Red Wings,67,25,23,48,0.72,30,-8,https://www.eliteprospects.com/player/104045/anthony-mantha,2018-19,nhl,Anthony Mantha,RW/LW,FW,0,0.0,0
Yanni Gourde (C/W),Tampa Bay Lightning,80,22,26,48,0.60,66,9,https://www.eliteprospects.com/player/37303/yanni-gourde,2018-19,nhl,Yanni Gourde,C/W,FW,0,0.0,0
Ryan Getzlaf (C),Anaheim Ducks,67,14,34,48,0.72,58,-19,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2018-19,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Chris Tierney (C),Ottawa Senators,81,9,39,48,0.59,26,-22,https://www.eliteprospects.com/player/92677/chris-tierney,2018-19,nhl,Chris Tierney,C,FW,0,0.0,0
Tyler Johnson (C),Tampa Bay Lightning,80,29,18,47,0.59,28,15,https://www.eliteprospects.com/player/12078/tyler-johnson,2018-19,nhl,Tyler Johnson,C,FW,0,0.0,0
Josh Anderson (RW/LW),Columbus Blue Jackets,82,27,20,47,0.57,60,25,https://www.eliteprospects.com/player/95853/josh-anderson,2018-19,nhl,Josh Anderson,RW/LW,FW,0,0.0,0
Jakub Vrána (LW/RW),Washington Capitals,82,24,23,47,0.57,27,20,https://www.eliteprospects.com/player/101250/jakub-vrana,2018-19,nhl,Jakub Vrána,LW/RW,FW,0,0.0,0
Brandon Saad (LW/RW),Chicago Blackhawks,80,23,24,47,0.59,12,-9,https://www.eliteprospects.com/player/31264/brandon-saad,2018-19,nhl,Brandon Saad,LW/RW,FW,0,0.0,0
Tyler Bertuzzi (LW),Detroit Red Wings,73,21,26,47,0.64,36,11,https://www.eliteprospects.com/player/125028/tyler-bertuzzi,2018-19,nhl,Tyler Bertuzzi,LW,FW,0,0.0,0
Mikael Backlund (C),Calgary Flames,77,21,26,47,0.61,52,34,https://www.eliteprospects.com/player/4295/mikael-backlund,2018-19,nhl,Mikael Backlund,C,FW,0,0.0,0
Andrew Shaw (RW/C),Montréal Canadiens,63,19,28,47,0.75,71,17,https://www.eliteprospects.com/player/37671/andrew-shaw,2018-19,nhl,Andrew Shaw,RW/C,FW,Andrew Shaw,44.0,1
Nico Hischier (C),New Jersey Devils,69,17,30,47,0.68,24,0,https://www.eliteprospects.com/player/116244/nico-hischier,2018-19,nhl,Nico Hischier,C,FW,0,0.0,0
Clayton Keller (W/C),Arizona Coyotes,82,14,33,47,0.57,24,-21,https://www.eliteprospects.com/player/226432/clayton-keller,2018-19,nhl,Clayton Keller,W/C,FW,0,0.0,0
J.T. Miller (C/W),Tampa Bay Lightning,75,13,34,47,0.63,30,8,https://www.eliteprospects.com/player/38624/j.t.-miller,2018-19,nhl,J.T. Miller,C/W,FW,0,0.0,0
Ryan Suter (D),Minnesota Wild,82,7,40,47,0.57,41,-8,https://www.eliteprospects.com/player/8897/ryan-suter,2018-19,nhl,Ryan Suter,D,DEF,0,0.0,0
David Perron (LW/RW),St. Louis Blues,57,23,23,46,0.81,46,3,https://www.eliteprospects.com/player/11123/david-perron,2018-19,nhl,David Perron,LW/RW,FW,0,0.0,0
Brett Connolly (RW),Washington Capitals,81,22,24,46,0.57,24,13,https://www.eliteprospects.com/player/23297/brett-connolly,2018-19,nhl,Brett Connolly,RW,FW,0,0.0,0
Travis Zajac (C),New Jersey Devils,80,19,27,46,0.58,20,-25,https://www.eliteprospects.com/player/10232/travis-zajac,2018-19,nhl,Travis Zajac,C,FW,0,0.0,0
Jeff Petry (D),Montréal Canadiens,82,13,33,46,0.56,28,-5,https://www.eliteprospects.com/player/12265/jeff-petry,2018-19,nhl,Jeff Petry,D,DEF,0,0.0,0
Seth Jones (D),Columbus Blue Jackets,75,9,37,46,0.61,28,1,https://www.eliteprospects.com/player/90355/seth-jones,2018-19,nhl,Seth Jones,D,DEF,0,0.0,0
Ryan McDonagh (D),Tampa Bay Lightning,82,9,37,46,0.56,34,38,https://www.eliteprospects.com/player/11458/ryan-mcdonagh,2018-19,nhl,Ryan McDonagh,D,DEF,0,0.0,0
Brady Tkachuk (LW),Ottawa Senators,71,22,23,45,0.63,75,-10,https://www.eliteprospects.com/player/201473/brady-tkachuk,2018-19,nhl,Brady Tkachuk,LW,FW,0,0.0,0
John Klingberg (D),Dallas Stars,64,10,35,45,0.70,12,6,https://www.eliteprospects.com/player/21717/john-klingberg,2018-19,nhl,John Klingberg,D,DEF,0,0.0,0
Drew Doughty (D),Los Angeles Kings,82,8,37,45,0.55,44,-34,https://www.eliteprospects.com/player/10430/drew-doughty,2018-19,nhl,Drew Doughty,D,DEF,0,0.0,0
Erik Karlsson (D),San Jose Sharks,53,3,42,45,0.85,22,6,https://www.eliteprospects.com/player/9878/erik-karlsson,2018-19,nhl,Erik Karlsson,D,DEF,0,0.0,0
Kasperi Kapanen (RW/LW),Toronto Maple Leafs,78,20,24,44,0.56,27,12,https://www.eliteprospects.com/player/92226/kasperi-kapanen,2018-19,nhl,Kasperi Kapanen,RW/LW,FW,0,0.0,0
Nazem Kadri (C),Toronto Maple Leafs,73,16,28,44,0.60,43,-2,https://www.eliteprospects.com/player/14728/nazem-kadri,2018-19,nhl,Nazem Kadri,C,FW,0,0.0,0
