player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Alexander Ovechkin (LW),Washington Capitals,82,65,47,112,1.37,40,28,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2007-08,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Yevgeni Malkin (C),Pittsburgh Penguins,82,47,59,106,1.29,78,16,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2007-08,nhl,Yevgeni Malkin,C,FW,0,0.0,0
Jarome Iginla (RW),Calgary Flames,82,50,48,98,1.20,83,27,https://www.eliteprospects.com/player/9036/jarome-iginla,2007-08,nhl,Jarome Iginla,RW,FW,0,0.0,0
Pavel Datsyuk (C),Detroit Red Wings,82,31,66,97,1.18,20,41,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2007-08,nhl,Pavel Datsyuk,C,FW,0,0.0,0
Joe Thornton (C),San Jose Sharks,82,29,67,96,1.17,59,18,https://www.eliteprospects.com/player/3670/joe-thornton,2007-08,nhl,Joe Thornton,C,FW,0,0.0,0
Henrik Zetterberg (C),Detroit Red Wings,75,43,49,92,1.23,34,30,https://www.eliteprospects.com/player/285/henrik-zetterberg,2007-08,nhl,Henrik Zetterberg,C,FW,0,0.0,0
Vincent Lecavalier (C),Tampa Bay Lightning,81,40,52,92,1.14,89,-17,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2007-08,nhl,Vincent Lecavalier,C,FW,0,0.0,0
Jason Spezza (C),Ottawa Senators,76,34,58,92,1.21,66,26,https://www.eliteprospects.com/player/3661/jason-spezza,2007-08,nhl,Jason Spezza,C,FW,0,0.0,0
Daniel Alfredsson (RW),Ottawa Senators,70,40,49,89,1.27,34,15,https://www.eliteprospects.com/player/702/daniel-alfredsson,2007-08,nhl,Daniel Alfredsson,RW,FW,Daniel Alfredsson,1.0,1
Ilya Kovalchuk (LW/RW),Atlanta Thrashers,79,52,35,87,1.10,52,-12,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2007-08,nhl,Ilya Kovalchuk,LW/RW,FW,0,0.0,0
