player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Sidney Crosby (C),Pittsburgh Penguins,80,36,68,104,1.30,46,18,https://www.eliteprospects.com/player/6146/sidney-crosby,2013-14,nhl,Sidney Crosby,C,FW,0,0.0,0
Ryan Getzlaf (C),Anaheim Ducks,77,31,56,87,1.13,31,28,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2013-14,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Claude Giroux (W/C),Philadelphia Flyers,82,28,58,86,1.05,46,7,https://www.eliteprospects.com/player/10437/claude-giroux,2013-14,nhl,Claude Giroux,W/C,FW,0,0.0,0
Tyler Seguin (C/RW),Dallas Stars,80,37,47,84,1.05,18,16,https://www.eliteprospects.com/player/23807/tyler-seguin,2013-14,nhl,Tyler Seguin,C/RW,FW,0,0.0,0
Corey Perry (RW),Anaheim Ducks,81,43,39,82,1.01,65,32,https://www.eliteprospects.com/player/8541/corey-perry,2013-14,nhl,Corey Perry,RW,FW,0,0.0,0
Phil Kessel (RW/C),Toronto Maple Leafs,82,37,43,80,0.98,27,-5,https://www.eliteprospects.com/player/8793/phil-kessel,2013-14,nhl,Phil Kessel,RW/C,FW,0,0.0,0
Taylor Hall (LW),Edmonton Oilers,75,27,53,80,1.07,44,-15,https://www.eliteprospects.com/player/14360/taylor-hall,2013-14,nhl,Taylor Hall,LW,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,78,51,28,79,1.01,48,-35,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2013-14,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Joe Pavelski (C/RW),San Jose Sharks,82,41,38,79,0.96,32,23,https://www.eliteprospects.com/player/10372/joe-pavelski,2013-14,nhl,Joe Pavelski,C/RW,FW,0,0.0,0
Jamie Benn (LW),Dallas Stars,81,34,45,79,0.98,64,21,https://www.eliteprospects.com/player/15399/jamie-benn,2013-14,nhl,Jamie Benn,LW,FW,0,0.0,0
Nicklas Bäckström (C),Washington Capitals,82,18,61,79,0.96,54,-20,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2013-14,nhl,Nicklas Bäckström,C,FW,0,0.0,0
Patrick Sharp (LW/RW),Chicago Blackhawks,82,34,44,78,0.95,40,13,https://www.eliteprospects.com/player/8880/patrick-sharp,2013-14,nhl,Patrick Sharp,LW/RW,FW,0,0.0,0
Joe Thornton (C),San Jose Sharks,82,11,65,76,0.93,32,20,https://www.eliteprospects.com/player/3670/joe-thornton,2013-14,nhl,Joe Thornton,C,FW,0,0.0,0
Erik Karlsson (D),Ottawa Senators,82,20,54,74,0.90,36,-15,https://www.eliteprospects.com/player/9878/erik-karlsson,2013-14,nhl,Erik Karlsson,D,DEF,0,0.0,0
Yevgeni Malkin (C),Pittsburgh Penguins,60,23,49,72,1.20,62,10,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2013-14,nhl,Yevgeni Malkin,C,FW,0,0.0,0
Patrick Marleau (LW),San Jose Sharks,82,33,37,70,0.85,18,0,https://www.eliteprospects.com/player/3671/patrick-marleau,2013-14,nhl,Patrick Marleau,LW,FW,0,0.0,0
Anze Kopitar (C),Los Angeles Kings,82,29,41,70,0.85,24,34,https://www.eliteprospects.com/player/4233/anze-kopitar,2013-14,nhl,Anze Kopitar,C,FW,0,0.0,0
Matt Duchene (C/RW),Colorado Avalanche,71,23,47,70,0.99,19,8,https://www.eliteprospects.com/player/12571/matt-duchene,2013-14,nhl,Matt Duchene,C/RW,FW,0,0.0,0
Martin St-Louis (RW),totals,81,30,39,69,0.85,10,13,https://www.eliteprospects.com/player/8772/martin-st-louis,2013-14,nhl,Martin St-Louis,RW,FW,0,0.0,0
Patrick Kane (RW),Chicago Blackhawks,69,29,40,69,1.00,22,7,https://www.eliteprospects.com/player/9326/patrick-kane,2013-14,nhl,Patrick Kane,RW,FW,0,0.0,0
Blake Wheeler (RW/C),Winnipeg Jets,82,28,41,69,0.84,63,4,https://www.eliteprospects.com/player/9215/blake-wheeler,2013-14,nhl,Blake Wheeler,RW/C,FW,0,0.0,0
Kyle Okposo (RW/C),New York Islanders,71,27,42,69,0.97,51,-9,https://www.eliteprospects.com/player/10458/kyle-okposo,2013-14,nhl,Kyle Okposo,RW/C,FW,Kyle Okposo,22.0,1
David Krejci (C),Boston Bruins,80,19,50,69,0.86,28,39,https://www.eliteprospects.com/player/9226/david-krejci,2013-14,nhl,David Krejci,C,FW,0,0.0,0
Chris Kunitz (LW),Pittsburgh Penguins,78,35,33,68,0.87,66,25,https://www.eliteprospects.com/player/8523/chris-kunitz,2013-14,nhl,Chris Kunitz,LW,FW,0,0.0,0
Jonathan Toews (C),Chicago Blackhawks,76,28,40,68,0.89,34,26,https://www.eliteprospects.com/player/8792/jonathan-toews,2013-14,nhl,Jonathan Toews,C,FW,0,0.0,0
Thomas Vanek (LW/RW),totals,78,27,41,68,0.87,46,7,https://www.eliteprospects.com/player/8493/thomas-vanek,2013-14,nhl,Thomas Vanek,LW/RW,FW,0,0.0,0
Jaromír Jágr (RW),New Jersey Devils,82,24,43,67,0.82,46,16,https://www.eliteprospects.com/player/8627/jaromir-jagr,2013-14,nhl,Jaromír Jágr,RW,FW,0,0.0,0
John Tavares (C),New York Islanders,59,24,42,66,1.12,40,-6,https://www.eliteprospects.com/player/9223/john-tavares,2013-14,nhl,John Tavares,C,FW,0,0.0,0
Jason Spezza (C),Ottawa Senators,75,23,43,66,0.88,46,-26,https://www.eliteprospects.com/player/3661/jason-spezza,2013-14,nhl,Jason Spezza,C,FW,0,0.0,0
Jordan Eberle (RW),Edmonton Oilers,80,28,37,65,0.81,18,-11,https://www.eliteprospects.com/player/11098/jordan-eberle,2013-14,nhl,Jordan Eberle,RW,FW,0,0.0,0
Gabriel Landeskog (LW/RW),Colorado Avalanche,81,26,39,65,0.80,71,21,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2013-14,nhl,Gabriel Landeskog,LW/RW,FW,0,0.0,0
Ryan O'Reilly (C),Colorado Avalanche,80,28,36,64,0.80,2,-1,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2013-14,nhl,Ryan O'Reilly,C,FW,0,0.0,0
Bryan Little (C),Winnipeg Jets,82,23,41,64,0.78,58,8,https://www.eliteprospects.com/player/10426/bryan-little,2013-14,nhl,Bryan Little,C,FW,0,0.0,0
Ryan Johansen (C),Columbus Blue Jackets,82,33,30,63,0.77,43,3,https://www.eliteprospects.com/player/45512/ryan-johansen,2013-14,nhl,Ryan Johansen,C,FW,0,0.0,0
Nathan MacKinnon (C/RW),Colorado Avalanche,82,24,39,63,0.77,26,20,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2013-14,nhl,Nathan MacKinnon,C/RW,FW,0,0.0,0
Alexander Steen (LW/RW),St. Louis Blues,68,33,29,62,0.91,46,17,https://www.eliteprospects.com/player/460/alexander-steen,2013-14,nhl,Alexander Steen,LW/RW,FW,0,0.0,0
Patrice Bergeron (C),Boston Bruins,80,30,32,62,0.78,43,38,https://www.eliteprospects.com/player/9079/patrice-bergeron,2013-14,nhl,Patrice Bergeron,C,FW,0,0.0,0
Jakub Voracek (RW),Philadelphia Flyers,82,23,39,62,0.76,22,11,https://www.eliteprospects.com/player/9285/jakub-voracek,2013-14,nhl,Jakub Voracek,RW,FW,0,0.0,0
Jarome Iginla (RW),Boston Bruins,78,30,31,61,0.78,47,34,https://www.eliteprospects.com/player/9036/jarome-iginla,2013-14,nhl,Jarome Iginla,RW,FW,0,0.0,0
James van Riemsdyk (LW),Toronto Maple Leafs,80,30,31,61,0.76,50,-9,https://www.eliteprospects.com/player/9324/james-van-riemsdyk,2013-14,nhl,James van Riemsdyk,LW,FW,0,0.0,0
James Neal (LW/RW),Pittsburgh Penguins,59,27,34,61,1.03,55,15,https://www.eliteprospects.com/player/9362/james-neal,2013-14,nhl,James Neal,LW/RW,FW,0,0.0,0
Eric Staal (C),Carolina Hurricanes,79,21,40,61,0.77,74,-13,https://www.eliteprospects.com/player/3656/eric-staal,2013-14,nhl,Eric Staal,C,FW,0,0.0,0
Duncan Keith (D),Chicago Blackhawks,79,6,55,61,0.77,28,22,https://www.eliteprospects.com/player/9012/duncan-keith,2013-14,nhl,Duncan Keith,D,DEF,0,0.0,0
Max Pacioretty (LW),Montréal Canadiens,73,39,21,60,0.82,35,8,https://www.eliteprospects.com/player/12461/max-pacioretty,2013-14,nhl,Max Pacioretty,LW,FW,Max Pacioretty,2.0,1
Marián Hossa (RW),Chicago Blackhawks,72,30,30,60,0.83,20,28,https://www.eliteprospects.com/player/4720/marian-hossa,2013-14,nhl,Marián Hossa,RW,FW,0,0.0,0
Jason Pominville (RW),Minnesota Wild,82,30,30,60,0.73,16,3,https://www.eliteprospects.com/player/8809/jason-pominville,2013-14,nhl,Jason Pominville,RW,FW,0,0.0,0
Wayne Simmonds (RW),Philadelphia Flyers,82,29,31,60,0.73,106,-4,https://www.eliteprospects.com/player/12517/wayne-simmonds,2013-14,nhl,Wayne Simmonds,RW,FW,0,0.0,0
Paul Stastny (C),Colorado Avalanche,71,25,35,60,0.85,22,9,https://www.eliteprospects.com/player/10212/paul-stastny,2013-14,nhl,Paul Stastny,C,FW,0,0.0,0
T.J. Oshie (RW),St. Louis Blues,79,21,39,60,0.76,42,19,https://www.eliteprospects.com/player/9209/t.j.-oshie,2013-14,nhl,T.J. Oshie,RW,FW,T.J. Oshie,7.0,1
Milan Lucic (LW),Boston Bruins,80,24,35,59,0.74,91,30,https://www.eliteprospects.com/player/11104/milan-lucic,2013-14,nhl,Milan Lucic,LW,FW,0,0.0,0
Ondrej Palat (LW),Tampa Bay Lightning,81,23,36,59,0.73,20,32,https://www.eliteprospects.com/player/18097/ondrej-palat,2013-14,nhl,Ondrej Palat,LW,FW,0,0.0,0
Mats Zuccarello (RW/LW),New York Rangers,77,19,40,59,0.77,32,11,https://www.eliteprospects.com/player/10881/mats-zuccarello,2013-14,nhl,Mats Zuccarello,RW/LW,FW,0,0.0,0
Valtteri Filppula (C/LW),Tampa Bay Lightning,75,25,33,58,0.77,20,5,https://www.eliteprospects.com/player/3197/valtteri-filppula,2013-14,nhl,Valtteri Filppula,C/LW,FW,0,0.0,0
Frans Nielsen (C),New York Islanders,80,25,33,58,0.73,8,-11,https://www.eliteprospects.com/player/210/frans-nielsen,2013-14,nhl,Frans Nielsen,C,FW,0,0.0,0
David Perron (LW/RW),Edmonton Oilers,78,28,29,57,0.73,90,-16,https://www.eliteprospects.com/player/11123/david-perron,2013-14,nhl,David Perron,LW/RW,FW,0,0.0,0
