player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Leon Draisaitl (C/W),Edmonton Oilers,71,43,67,110,1.55,18,-7,https://www.eliteprospects.com/player/71913/leon-draisaitl,2019-20,nhl,Leon Draisaitl,C/W,FW,0,0.0,0
Connor McDavid (C),Edmonton Oilers,64,34,63,97,1.52,28,-6,https://www.eliteprospects.com/player/183442/connor-mcdavid,2019-20,nhl,Connor McDavid,C,FW,0,0.0,0
David Pastrnak (RW),Boston Bruins,70,48,47,95,1.36,40,21,https://www.eliteprospects.com/player/130383/david-pastrnak,2019-20,nhl,David Pastrnak,RW,FW,0,0.0,0
Artemi Panarin (LW),New York Rangers,69,32,63,95,1.38,20,36,https://www.eliteprospects.com/player/24664/artemi-panarin,2019-20,nhl,Artemi Panarin,LW,FW,0,0.0,0
Nathan MacKinnon (C/RW),Colorado Avalanche,69,35,58,93,1.35,12,13,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2019-20,nhl,Nathan MacKinnon,C/RW,FW,0,0.0,0
Brad Marchand (W/C),Boston Bruins,70,28,59,87,1.24,82,25,https://www.eliteprospects.com/player/10439/brad-marchand,2019-20,nhl,Brad Marchand,W/C,FW,0,0.0,0
Nikita Kucherov (RW),Tampa Bay Lightning,68,33,52,85,1.25,38,26,https://www.eliteprospects.com/player/77237/nikita-kucherov,2019-20,nhl,Nikita Kucherov,RW,FW,0,0.0,0
Patrick Kane (RW),Chicago Blackhawks,70,33,51,84,1.20,40,8,https://www.eliteprospects.com/player/9326/patrick-kane,2019-20,nhl,Patrick Kane,RW,FW,0,0.0,0
Auston Matthews (C),Toronto Maple Leafs,70,47,33,80,1.14,8,19,https://www.eliteprospects.com/player/199898/auston-matthews,2019-20,nhl,Auston Matthews,C,FW,0,0.0,0
Jack Eichel (C),Buffalo Sabres,68,36,42,78,1.15,34,5,https://www.eliteprospects.com/player/191959/jack-eichel,2019-20,nhl,Jack Eichel,C,FW,0,0.0,0
Jonathan Huberdeau (LW),Florida Panthers,69,23,55,78,1.13,30,5,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2019-20,nhl,Jonathan Huberdeau,LW,FW,0,0.0,0
Mika Zibanejad (C),New York Rangers,57,41,34,75,1.32,14,9,https://www.eliteprospects.com/player/23856/mika-zibanejad,2019-20,nhl,Mika Zibanejad,C,FW,0,0.0,0
John Carlson (D),Washington Capitals,69,15,60,75,1.09,26,12,https://www.eliteprospects.com/player/18590/john-carlson,2019-20,nhl,John Carlson,D,DEF,0,0.0,0
Yevgeni Malkin (C),Pittsburgh Penguins,55,25,49,74,1.35,58,7,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2019-20,nhl,Yevgeni Malkin,C,FW,0,0.0,0
Kyle Connor (LW),Winnipeg Jets,71,38,35,73,1.03,34,4,https://www.eliteprospects.com/player/177671/kyle-connor,2019-20,nhl,Kyle Connor,LW,FW,0,0.0,0
Mark Scheifele (C),Winnipeg Jets,71,29,44,73,1.03,45,2,https://www.eliteprospects.com/player/75379/mark-scheifele,2019-20,nhl,Mark Scheifele,C,FW,0,0.0,0
J.T. Miller (C/W),Vancouver Canucks,69,27,45,72,1.04,47,11,https://www.eliteprospects.com/player/38624/j.t.-miller,2019-20,nhl,J.T. Miller,C/W,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,68,48,19,67,0.99,30,-12,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2019-20,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Mitchell Marner (RW),Toronto Maple Leafs,59,16,51,67,1.14,16,6,https://www.eliteprospects.com/player/223194/mitchell-marner,2019-20,nhl,Mitchell Marner,RW,FW,0,0.0,0
