player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Cam Atkinson (RW),Columbus Blue Jackets,81,27,26,53,0.65,22,-8,https://www.eliteprospects.com/player/19166/cam-atkinson,2015-16,nhl,Cam Atkinson,RW,FW,0,0.0,0
Zach Parise (LW/RW),Minnesota Wild,70,25,28,53,0.76,36,-3,https://www.eliteprospects.com/player/8903/zach-parise,2015-16,nhl,Zach Parise,LW/RW,FW,0,0.0,0
Vincent Trocheck (C),Florida Panthers,76,25,28,53,0.70,44,15,https://www.eliteprospects.com/player/45560/vincent-trocheck,2015-16,nhl,Vincent Trocheck,C,FW,0,0.0,0
Derek Stepan (C),New York Rangers,72,22,31,53,0.74,20,5,https://www.eliteprospects.com/player/19040/derek-stepan,2015-16,nhl,Derek Stepan,C,FW,0,0.0,0
Ryan Kesler (C),Anaheim Ducks,79,21,32,53,0.67,78,5,https://www.eliteprospects.com/player/9014/ryan-kesler,2015-16,nhl,Ryan Kesler,C,FW,0,0.0,0
Gabriel Landeskog (LW/RW),Colorado Avalanche,75,20,33,53,0.71,69,-5,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2015-16,nhl,Gabriel Landeskog,LW/RW,FW,0,0.0,0
Dustin Byfuglien (D),Winnipeg Jets,81,19,34,53,0.65,119,4,https://www.eliteprospects.com/player/10667/dustin-byfuglien,2015-16,nhl,Dustin Byfuglien,D,DEF,0,0.0,0
Justin Williams (RW),Washington Capitals,82,22,30,52,0.63,36,15,https://www.eliteprospects.com/player/4506/justin-williams,2015-16,nhl,Justin Williams,RW,FW,0,0.0,0
Nathan MacKinnon (C/RW),Colorado Avalanche,72,21,31,52,0.72,20,-4,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2015-16,nhl,Nathan MacKinnon,C/RW,FW,0,0.0,0
Frans Nielsen (C),New York Islanders,81,20,32,52,0.64,12,1,https://www.eliteprospects.com/player/210/frans-nielsen,2015-16,nhl,Frans Nielsen,C,FW,0,0.0,0
Max Domi (C/LW),Arizona Coyotes,81,18,34,52,0.64,72,3,https://www.eliteprospects.com/player/95484/max-domi,2015-16,nhl,Max Domi,C/LW,FW,0,0.0,0
Alexander Steen (LW/RW),St. Louis Blues,67,17,35,52,0.78,48,3,https://www.eliteprospects.com/player/460/alexander-steen,2015-16,nhl,Alexander Steen,LW/RW,FW,0,0.0,0
Jeff Skinner (LW/C),Carolina Hurricanes,82,28,23,51,0.62,38,-2,https://www.eliteprospects.com/player/23668/jeff-skinner,2015-16,nhl,Jeff Skinner,LW/C,FW,0,0.0,0
T.J. Oshie (RW),Washington Capitals,80,26,25,51,0.64,34,16,https://www.eliteprospects.com/player/9209/t.j.-oshie,2015-16,nhl,T.J. Oshie,RW,FW,0,0.0,0
Patric Hörnqvist (RW),Pittsburgh Penguins,82,22,29,51,0.62,36,15,https://www.eliteprospects.com/player/3683/patric-hornqvist,2015-16,nhl,Patric Hörnqvist,RW,FW,0,0.0,0
Mika Zibanejad (C),Ottawa Senators,81,21,30,51,0.63,18,-2,https://www.eliteprospects.com/player/23856/mika-zibanejad,2015-16,nhl,Mika Zibanejad,C,FW,0,0.0,0
Shea Weber (D),Nashville Predators,78,20,31,51,0.65,27,-7,https://www.eliteprospects.com/player/9505/shea-weber,2015-16,nhl,Shea Weber,D,DEF,0,0.0,0
Leon Draisaitl (C/W),Edmonton Oilers,72,19,32,51,0.71,20,-2,https://www.eliteprospects.com/player/71913/leon-draisaitl,2015-16,nhl,Leon Draisaitl,C/W,FW,0,0.0,0
Lee Stempniak (RW),totals,82,19,32,51,0.62,38,4,https://www.eliteprospects.com/player/10199/lee-stempniak,2015-16,nhl,Lee Stempniak,RW,FW,0,0.0,0
Mikkel Bødker (LW/RW),totals,80,17,34,51,0.64,12,-33,https://www.eliteprospects.com/player/5996/mikkel-bodker,2015-16,nhl,Mikkel Bødker,LW/RW,FW,0,0.0,0
Drew Doughty (D),Los Angeles Kings,82,14,37,51,0.62,52,24,https://www.eliteprospects.com/player/10430/drew-doughty,2015-16,nhl,Drew Doughty,D,DEF,0,0.0,0
Carl Söderberg (C),Colorado Avalanche,82,12,39,51,0.62,32,-7,https://www.eliteprospects.com/player/665/carl-soderberg,2015-16,nhl,Carl Söderberg,C,FW,0,0.0,0
Ryan Suter (D),Minnesota Wild,82,8,43,51,0.62,30,10,https://www.eliteprospects.com/player/8897/ryan-suter,2015-16,nhl,Ryan Suter,D,DEF,0,0.0,0
P.K. Subban (D),Montréal Canadiens,68,6,45,51,0.75,75,4,https://www.eliteprospects.com/player/11251/p.k.-subban,2015-16,nhl,P.K. Subban,D,DEF,0,0.0,0
Adam Henrique (C/LW),New Jersey Devils,80,30,20,50,0.63,23,10,https://www.eliteprospects.com/player/19043/adam-henrique,2015-16,nhl,Adam Henrique,C/LW,FW,0,0.0,0
Reilly Smith (RW/LW),Florida Panthers,82,25,25,50,0.61,31,19,https://www.eliteprospects.com/player/33903/reilly-smith,2015-16,nhl,Reilly Smith,RW/LW,FW,Reilly Smith,2.0,1
Henrik Zetterberg (C),Detroit Red Wings,82,13,37,50,0.61,24,-15,https://www.eliteprospects.com/player/285/henrik-zetterberg,2015-16,nhl,Henrik Zetterberg,C,FW,0,0.0,0
Mike Ribeiro (C),Nashville Predators,81,7,43,50,0.62,62,11,https://www.eliteprospects.com/player/8715/mike-ribeiro,2015-16,nhl,Mike Ribeiro,C,FW,0,0.0,0
Boone Jenner (C),Columbus Blue Jackets,82,30,19,49,0.60,77,-15,https://www.eliteprospects.com/player/45587/boone-jenner,2015-16,nhl,Boone Jenner,C,FW,0,0.0,0
Scott Hartnell (LW),Columbus Blue Jackets,79,23,26,49,0.62,112,-11,https://www.eliteprospects.com/player/8764/scott-hartnell,2015-16,nhl,Scott Hartnell,LW,FW,0,0.0,0
Pavel Datsyuk (C),Detroit Red Wings,66,16,33,49,0.74,14,7,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2015-16,nhl,Pavel Datsyuk,C,FW,0,0.0,0
Brent Seabrook (D),Chicago Blackhawks,81,14,35,49,0.60,32,6,https://www.eliteprospects.com/player/8879/brent-seabrook,2015-16,nhl,Brent Seabrook,D,DEF,0,0.0,0
Tyson Barrie (D),Colorado Avalanche,78,13,36,49,0.63,31,-16,https://www.eliteprospects.com/player/15127/tyson-barrie,2015-16,nhl,Tyson Barrie,D,DEF,0,0.0,0
Ryan Spooner (C/LW),Boston Bruins,80,13,36,49,0.61,35,-9,https://www.eliteprospects.com/player/23117/ryan-spooner,2015-16,nhl,Ryan Spooner,C/LW,FW,Ryan Spooner,3.0,1
Paul Stastny (C),St. Louis Blues,64,10,39,49,0.77,26,3,https://www.eliteprospects.com/player/10212/paul-stastny,2015-16,nhl,Paul Stastny,C,FW,0,0.0,0
Patrick Marleau (LW),San Jose Sharks,82,25,23,48,0.59,10,-22,https://www.eliteprospects.com/player/3671/patrick-marleau,2015-16,nhl,Patrick Marleau,LW,FW,0,0.0,0
Victor Rask (C/LW),Carolina Hurricanes,80,21,27,48,0.60,24,-6,https://www.eliteprospects.com/player/15747/victor-rask,2015-16,nhl,Victor Rask,C/LW,FW,0,0.0,0
Jordan Staal (C),Carolina Hurricanes,82,20,28,48,0.59,34,6,https://www.eliteprospects.com/player/10157/jordan-staal,2015-16,nhl,Jordan Staal,C,FW,Jordan Staal,7.0,1
Brandon Dubinsky (C/LW),Columbus Blue Jackets,75,17,31,48,0.64,71,-16,https://www.eliteprospects.com/player/11024/brandon-dubinsky,2015-16,nhl,Brandon Dubinsky,C/LW,FW,0,0.0,0
Connor McDavid (C),Edmonton Oilers,45,16,32,48,1.07,18,-1,https://www.eliteprospects.com/player/183442/connor-mcdavid,2015-16,nhl,Connor McDavid,C,FW,0,0.0,0
Shane Doan (RW),Arizona Coyotes,72,28,19,47,0.65,98,4,https://www.eliteprospects.com/player/9137/shane-doan,2015-16,nhl,Shane Doan,RW,FW,0,0.0,0
Jordan Eberle (RW),Edmonton Oilers,69,25,22,47,0.68,14,-12,https://www.eliteprospects.com/player/11098/jordan-eberle,2015-16,nhl,Jordan Eberle,RW,FW,0,0.0,0
Jarome Iginla (RW),Colorado Avalanche,82,22,25,47,0.57,41,-22,https://www.eliteprospects.com/player/9036/jarome-iginla,2015-16,nhl,Jarome Iginla,RW,FW,0,0.0,0
Mikael Backlund (C),Calgary Flames,82,21,26,47,0.57,28,10,https://www.eliteprospects.com/player/4295/mikael-backlund,2015-16,nhl,Mikael Backlund,C,FW,0,0.0,0
Victor Hedman (D),Tampa Bay Lightning,78,10,37,47,0.60,46,21,https://www.eliteprospects.com/player/6007/victor-hedman,2015-16,nhl,Victor Hedman,D,DEF,0,0.0,0
Keith Yandle (D),New York Rangers,82,5,42,47,0.57,40,-4,https://www.eliteprospects.com/player/10247/keith-yandle,2015-16,nhl,Keith Yandle,D,DEF,0,0.0,0
Andrew Ladd (LW),totals,78,25,21,46,0.59,45,-13,https://www.eliteprospects.com/player/6668/andrew-ladd,2015-16,nhl,Andrew Ladd,LW,FW,0,0.0,0
Tomas Hertl (C/LW),San Jose Sharks,81,21,25,46,0.57,26,16,https://www.eliteprospects.com/player/56038/tomas-hertl,2015-16,nhl,Tomas Hertl,C/LW,FW,0,0.0,0
Shayne Gostisbehere (D),Philadelphia Flyers,64,17,29,46,0.72,24,8,https://www.eliteprospects.com/player/122787/shayne-gostisbehere,2015-16,nhl,Shayne Gostisbehere,D,DEF,0,0.0,0
Marcus Johansson (C/LW),Washington Capitals,74,17,29,46,0.62,16,12,https://www.eliteprospects.com/player/6225/marcus-johansson,2015-16,nhl,Marcus Johansson,C/LW,FW,0,0.0,0
Jiri Hudler (LW),totals,72,16,30,46,0.64,27,-1,https://www.eliteprospects.com/player/6665/jiri-hudler,2015-16,nhl,Jiri Hudler,LW,FW,0,0.0,0
Dylan Larkin (C),Detroit Red Wings,80,23,22,45,0.56,34,11,https://www.eliteprospects.com/player/177693/dylan-larkin,2015-16,nhl,Dylan Larkin,C,FW,0,0.0,0
David Backes (RW/C),St. Louis Blues,79,21,24,45,0.57,83,4,https://www.eliteprospects.com/player/11435/david-backes,2015-16,nhl,David Backes,RW/C,FW,David Backes,3.0,1
Tomas Tatar (LW/RW),Detroit Red Wings,81,21,24,45,0.56,24,4,https://www.eliteprospects.com/player/17750/tomas-tatar,2015-16,nhl,Tomas Tatar,LW/RW,FW,0,0.0,0
Nazem Kadri (C),Toronto Maple Leafs,76,17,28,45,0.59,73,-15,https://www.eliteprospects.com/player/14728/nazem-kadri,2015-16,nhl,Nazem Kadri,C,FW,0,0.0,0
T.J. Brodie (D),Calgary Flames,70,6,39,45,0.64,18,4,https://www.eliteprospects.com/player/19170/t.j.-brodie,2015-16,nhl,T.J. Brodie,D,DEF,0,0.0,0
Anthony Duclair (W/C),Arizona Coyotes,81,20,24,44,0.54,49,12,https://www.eliteprospects.com/player/98665/anthony-duclair,2015-16,nhl,Anthony Duclair,W/C,FW,0,0.0,0
Joe Colborne (C/W),Calgary Flames,73,19,25,44,0.60,27,-9,https://www.eliteprospects.com/player/18593/joe-colborne,2015-16,nhl,Joe Colborne,C/W,FW,0,0.0,0
Kevin Shattenkirk (D),St. Louis Blues,72,14,30,44,0.61,51,-14,https://www.eliteprospects.com/player/11460/kevin-shattenkirk,2015-16,nhl,Kevin Shattenkirk,D,DEF,0,0.0,0
Mikael Granlund (C),Minnesota Wild,82,13,31,44,0.54,20,-12,https://www.eliteprospects.com/player/16037/mikael-granlund,2015-16,nhl,Mikael Granlund,C,FW,0,0.0,0
Andrei Markov (D),Montréal Canadiens,82,5,39,44,0.54,38,-6,https://www.eliteprospects.com/player/8579/andrei-markov,2015-16,nhl,Andrei Markov,D,DEF,0,0.0,0
Torey Krug (D),Boston Bruins,81,4,40,44,0.54,33,9,https://www.eliteprospects.com/player/37747/torey-krug,2015-16,nhl,Torey Krug,D,DEF,0,0.0,0
J.T. Miller (C/W),New York Rangers,82,22,21,43,0.52,46,10,https://www.eliteprospects.com/player/38624/j.t.-miller,2015-16,nhl,J.T. Miller,C/W,FW,0,0.0,0
Joel Ward (RW),San Jose Sharks,79,21,22,43,0.54,28,-15,https://www.eliteprospects.com/player/11014/joel-ward,2015-16,nhl,Joel Ward,RW,FW,0,0.0,0
Chris Kreider (LW),New York Rangers,79,21,22,43,0.54,58,10,https://www.eliteprospects.com/player/37998/chris-kreider,2015-16,nhl,Chris Kreider,LW,FW,0,0.0,0
Rickard Rakell (W/C),Anaheim Ducks,72,20,23,43,0.60,19,-1,https://www.eliteprospects.com/player/17435/rickard-rakell,2015-16,nhl,Rickard Rakell,W/C,FW,0,0.0,0
Nino Niederreiter (RW/LW),Minnesota Wild,82,20,23,43,0.52,36,9,https://www.eliteprospects.com/player/17679/nino-niederreiter,2015-16,nhl,Nino Niederreiter,RW/LW,FW,0,0.0,0
Jean-Gabriel Pageau (C),Ottawa Senators,82,19,24,43,0.52,26,17,https://www.eliteprospects.com/player/45134/jean-gabriel-pageau,2015-16,nhl,Jean-Gabriel Pageau,C,FW,0,0.0,0
Gustav Nyquist (C/W),Detroit Red Wings,82,17,26,43,0.52,34,-2,https://www.eliteprospects.com/player/6223/gustav-nyquist,2015-16,nhl,Gustav Nyquist,C/W,FW,0,0.0,0
Teddy Purcell (LW/RW),totals,76,14,29,43,0.57,12,-11,https://www.eliteprospects.com/player/14179/teddy-purcell,2015-16,nhl,Teddy Purcell,LW/RW,FW,0,0.0,0
Dougie Hamilton (D),Calgary Flames,82,12,31,43,0.52,46,-14,https://www.eliteprospects.com/player/45596/dougie-hamilton,2015-16,nhl,Dougie Hamilton,D,DEF,0,0.0,0
Duncan Keith (D),Chicago Blackhawks,67,9,34,43,0.64,26,13,https://www.eliteprospects.com/player/9012/duncan-keith,2015-16,nhl,Duncan Keith,D,DEF,0,0.0,0
Sam Reinhart (C/RW),Buffalo Sabres,79,23,19,42,0.53,8,-8,https://www.eliteprospects.com/player/95032/sam-reinhart,2015-16,nhl,Sam Reinhart,C/RW,FW,0,0.0,0
Charlie Coyle (C/RW),Minnesota Wild,82,21,21,42,0.51,16,1,https://www.eliteprospects.com/player/60251/charlie-coyle,2015-16,nhl,Charlie Coyle,C/RW,FW,0,0.0,0
